Primers,Treatment,CT
Exons 3-4,Control,21.98532486
Exons 3-4,Control,22.16820335
Exons 3-4,Control,21.93877411
Exons 3-4,1uM,21.11066055
Exons 3-4,1uM,22.00004387
Exons 3-4,1uM,21.69875526
Exons 3-4,5uM,26.59928703
Exons 3-4,5uM,24.92941666
Exons 3-4,5uM,25.99593544
Exons 3-4,10uM,27.43070412
Exons 3-4,10uM,27.50779724
Exons 3-4,10uM,27.48458099
Exons 3-5 set 1,Control,22.84227562
Exons 3-5 set 1,Control,22.86161423
Exons 3-5 set 1,Control,23.03180885
Exons 3-5 set 1,1uM,22.70864105
Exons 3-5 set 1,1uM,22.8103466
Exons 3-5 set 1,1uM,22.68678665
Exons 3-5 set 1,5uM,22.19057655
Exons 3-5 set 1,5uM,22.19683838
Exons 3-5 set 1,5uM,22.17519188
Exons 3-5 set 1,10uM,21.43091393
Exons 3-5 set 1,10uM,21.30605698
Exons 3-5 set 1,10uM,21.36269951
Exons 3-5 set 2,Control,22.52292061
Exons 3-5 set 2,Control,22.45115089
Exons 3-5 set 2,Control,22.42980194
Exons 3-5 set 2,1uM,22.41130066
Exons 3-5 set 2,1uM,22.23965263
Exons 3-5 set 2,1uM,22.69706345
Exons 3-5 set 2,5uM,23.92726135
Exons 3-5 set 2,5uM,21.54785919
Exons 3-5 set 2,5uM,22.59960556
Exons 3-5 set 2,10uM,22.51480675
Exons 3-5 set 2,10uM,20.6162262
Exons 3-5 set 2,10uM,20.72902298
HPRT,Control,20.41647148
HPRT,Control,20.41434669
HPRT,Control,20.41399956
HPRT,1uM,19.80630875
HPRT,1uM,19.76132965
HPRT,1uM,19.76650047
HPRT,5uM,20.15436363
HPRT,5uM,20.13357544
HPRT,5uM,20.27215767
HPRT,10uM,20.28563499
HPRT,10uM,19.99601555
HPRT,10uM,20.65374184
