ModelID,ProfileID,ProfileType
ACH-000447,PR-Vd2mq2,rna
ACH-000447,PR-P7ivEQ,dna
ACH-000844,PR-edUTwR,rna
ACH-000844,PR-QzzYAo,dna
ACH-002261,PR-2lOuz3,dna
ACH-000957,PR-01r7OM,rna
ACH-000957,PR-f2NT4P,dna
ACH-000375,PR-4DTcWS,rna
ACH-000375,PR-wbX0XD,dna
ACH-001369,PR-PRcndq,rna
ACH-001369,PR-3vjLBF,dna
ACH-001818,PR-wALKMR,rna
ACH-001818,PR-0kBhJF,dna
ACH-000418,PR-CA7cP6,rna
ACH-000418,PR-jxcWCl,dna
ACH-000552,PR-YQSFEe,rna
ACH-000552,PR-97KrpJ,dna
ACH-002357,PR-bhMYSp,dna
ACH-000040,PR-BaVv7U,rna
ACH-000040,PR-562g0G,dna
ACH-002981,PR-Tq1gQE,rna
ACH-002277,PR-rIEjXG,dna
ACH-001613,PR-ZiYs08,rna
ACH-001613,PR-GOqi1p,dna
ACH-001517,PR-VxDQTg,rna
ACH-001517,PR-EuQ6MV,dna
ACH-002311,PR-nMEXwD,dna
ACH-001358,PR-T6ueCA,dna
ACH-000491,PR-fzrmuo,rna
ACH-000491,PR-DRBE6q,dna
ACH-002070,PR-U8eLqk,rna
ACH-002070,PR-6BgR9L,dna
ACH-000158,PR-JLWxbY,rna
ACH-000158,PR-fOsxTk,dna
ACH-002223,PR-NSdezC,dna
ACH-000666,PR-H8e5Hb,rna
ACH-000666,PR-sgXEkc,dna
ACH-002375,PR-C99sfc,dna
ACH-001430,PR-BXcm6p,rna
ACH-001430,PR-qiEHVF,dna
ACH-000237,PR-eIoI0L,rna
ACH-000237,PR-hM4hT6,dna
ACH-001331,PR-unkPlv,dna
ACH-000142,PR-xkLrBf,rna
ACH-000142,PR-FLLEIF,dna
ACH-001719,PR-CLUusD,rna
ACH-001719,PR-nHAA3n,dna
ACH-000771,PR-Jqb8cS,rna
ACH-000771,PR-T65sdf,dna
ACH-000201,PR-tjmA5S,rna
ACH-000201,PR-da9eNd,dna
ACH-000871,PR-X8xxer,rna
ACH-000871,PR-6yfakc,dna
ACH-001086,PR-pI7d1A,rna
ACH-001086,PR-INrz6w,dna
ACH-000910,PR-hjIWZF,rna
ACH-000910,PR-lujyGD,dna
ACH-000198,PR-ycUfSH,rna
ACH-000198,PR-ceaLPG,dna
ACH-002192,PR-mZFuZt,dna
ACH-001970,PR-PiTdiv,rna
ACH-001970,PR-u26ps6,dna
ACH-000115,PR-s0i1bu,rna
ACH-000115,PR-ZLhvp0,dna
ACH-000498,PR-AjiZTn,rna
ACH-000498,PR-3MR99B,dna
ACH-002364,PR-1fyy3l,dna
ACH-002215,PR-aX3Sfy,dna
ACH-001794,PR-O7UjdR,rna
ACH-001794,PR-FlwBPL,dna
ACH-002235,PR-f3aeaA,dna
ACH-000984,PR-5JruUz,rna
ACH-000984,PR-ZQMIEy,dna
ACH-001100,PR-frZBxr,rna
ACH-001100,PR-2UB6KF,dna
ACH-000867,PR-WZ9vDj,rna
ACH-000867,PR-2kNtFF,dna
ACH-000219,PR-zbbol8,rna
ACH-000219,PR-YYirlb,dna
ACH-000396,PR-lw3V4j,rna
ACH-000396,PR-If3Zof,dna
ACH-000377,PR-J0Axfh,rna
ACH-000377,PR-XROOQD,dna
ACH-000750,PR-HEYOH9,rna
ACH-000750,PR-6U5hLz,dna
ACH-001374,PR-CXgB39,rna
ACH-001374,PR-RPURmp,dna
ACH-000413,PR-xv5eP1,rna
ACH-001300,PR-JQ1rzX,rna
ACH-001300,PR-VURGSl,dna
ACH-000808,PR-pQ2gs3,rna
ACH-000808,PR-whKOqh,dna
ACH-002785,PR-02XmLG,rna
ACH-002785,PR-sR52JX,dna
ACH-001433,PR-IRQ2ce,dna
ACH-001737,PR-43bz8T,rna
ACH-001737,PR-rg1VGI,dna
ACH-000674,PR-8TtCLZ,rna
ACH-000674,PR-6SYPcz,dna
ACH-001021,PR-N6yb3y,dna
ACH-000936,PR-Q9uNdS,rna
ACH-000936,PR-8octmu,dna
ACH-000051,PR-0oGaGk,rna
ACH-000051,PR-AfhuNj,dna
ACH-002227,PR-ClnFLO,dna
ACH-002058,PR-882Px5,dna
ACH-002091,PR-rwtCag,dna
ACH-001353,PR-27AsBr,rna
ACH-001353,PR-dsHkxo,dna
ACH-000819,PR-6awX5n,rna
ACH-000819,PR-1KE6K3,dna
ACH-000116,PR-GxfIvz,rna
ACH-000875,PR-MxTNki,rna
ACH-000875,PR-vxER4h,dna
ACH-000570,PR-PEUSpj,rna
ACH-000570,PR-ygFawj,dna
ACH-000505,PR-vm60tT,rna
ACH-000505,PR-y7DmB5,dna
ACH-001138,PR-nRs8Pi,dna
ACH-000316,PR-uc6NbL,rna
ACH-000316,PR-D9grN4,dna
ACH-002043,PR-D9cXTV,rna
ACH-002043,PR-9lI3dy,dna
ACH-002233,PR-EGztqb,dna
ACH-000841,PR-baeuRn,rna
ACH-000841,PR-jXeXvf,dna
ACH-002069,PR-T5GgCW,rna
ACH-002069,PR-XxqTX3,dna
ACH-000718,PR-kj5h82,rna
ACH-000718,PR-aSvuxu,dna
ACH-000818,PR-8UOyEX,rna
ACH-000818,PR-d8Xeu3,dna
ACH-000405,PR-MqdvhI,rna
ACH-000405,PR-8gZHSw,dna
ACH-002133,PR-mg1MNZ,dna
ACH-000294,PR-A2ryTk,rna
ACH-000294,PR-xLaSFy,dna
ACH-001333,PR-EGrnmr,rna
ACH-001333,PR-4gFIC1,dna
ACH-001669,PR-cc2JHs,rna
ACH-001669,PR-nDWlTv,dna
ACH-001310,PR-cor0lW,rna
ACH-001310,PR-XDaSGk,dna
ACH-000211,PR-zhRtPD,rna
ACH-000211,PR-HBKcFU,dna
ACH-000072,PR-bMBX1I,rna
ACH-000072,PR-TCCkqZ,dna
ACH-000747,PR-kCzPyo,rna
ACH-000747,PR-BhaMSr,dna
ACH-000098,PR-UyCDjX,rna
ACH-000098,PR-hzeifo,dna
ACH-001128,PR-IUEFt6,rna
ACH-001128,PR-chTfP9,dna
ACH-002131,PR-ELdKN5,dna
ACH-002134,PR-xpWLRd,dna
ACH-000291,PR-rgeHwh,rna
ACH-000291,PR-LTIJeY,dna
ACH-002096,PR-ZMmdCl,dna
ACH-000775,PR-UdaMAH,rna
ACH-000775,PR-xpRCE9,dna
ACH-000213,PR-4yrbNH,rna
ACH-000213,PR-3sPq2a,dna
ACH-000743,PR-dGKuD9,rna
ACH-000743,PR-AL364w,dna
ACH-000631,PR-KYN314,rna
ACH-000631,PR-OFRo5c,dna
ACH-000699,PR-LpcVGK,rna
ACH-000699,PR-pm2bNm,dna
ACH-000126,PR-wfZ79Z,rna
ACH-000126,PR-qikTao,dna
ACH-000499,PR-WI2NDh,rna
ACH-000499,PR-1B5abd,dna
ACH-001625,PR-N9X5XM,rna
ACH-001625,PR-7lYHs6,dna
ACH-000296,PR-Od05uC,rna
ACH-000296,PR-s9g3cg,dna
ACH-000931,PR-k0J8JP,rna
ACH-000278,PR-P5yLUL,rna
ACH-000278,PR-ZYtjVT,dna
ACH-000677,PR-3noEom,rna
ACH-000677,PR-UOSXFI,dna
ACH-001977,PR-PdACxk,rna
ACH-001977,PR-sTH0JD,dna
ACH-001569,PR-jI7d91,rna
ACH-001569,PR-LWqJ8q,dna
ACH-001685,PR-Zd9cwX,rna
ACH-001685,PR-kuOzy5,dna
ACH-000634,PR-rbII0n,rna
ACH-000634,PR-SeFuI3,dna
ACH-000169,PR-UMsViz,rna
ACH-000169,PR-0qGhSp,dna
ACH-000716,PR-96ardQ,rna
ACH-000716,PR-1sOqpV,dna
ACH-002154,PR-mhrt9c,dna
ACH-002168,PR-5Aegb2,dna
ACH-001519,PR-ktBnpW,rna
ACH-001519,PR-w6rzl9,dna
ACH-001131,PR-00UtU3,dna
ACH-002103,PR-sYRyfT,dna
ACH-001861,PR-jtwYoH,rna
ACH-001861,PR-urSizP,dna
ACH-001418,PR-8MkrYb,rna
ACH-001418,PR-ybBLMg,dna
ACH-001489,PR-u8S23q,dna
ACH-000315,PR-qyxjJd,rna
ACH-000315,PR-IfyIyr,dna
ACH-000295,PR-7t73Eo,rna
ACH-000295,PR-LXdkYi,dna
ACH-002835,PR-xDOZvL,rna
ACH-002835,PR-tTViqO,dna
ACH-000692,PR-wHsQNb,rna
ACH-000692,PR-ktQIpp,dna
ACH-002259,PR-72oXyh,dna
ACH-001416,PR-D1mVVv,rna
ACH-001416,PR-fK9BDe,dna
ACH-001513,PR-rsRp0u,rna
ACH-001513,PR-b6SuFY,dna
ACH-000751,PR-60lGxp,rna
ACH-000751,PR-qapH05,dna
ACH-002353,PR-XnNruP,dna
ACH-002178,PR-rCh6Mh,dna
ACH-001394,PR-w3FZzN,rna
ACH-001394,PR-ql2TEI,dna
ACH-000839,PR-POuPl0,rna
ACH-000839,PR-c659kW,dna
ACH-000144,PR-qbnXAd,rna
ACH-000144,PR-oXrdOg,dna
ACH-000381,PR-ZdTyF2,rna
ACH-000381,PR-O6ph9B,dna
ACH-002135,PR-TQcwbW,dna
ACH-002360,PR-Ro0oLp,dna
ACH-001680,PR-1mxODI,dna
ACH-000022,PR-hXqy9s,rna
ACH-000022,PR-a0tOiq,dna
ACH-000075,PR-j5qZgy,rna
ACH-000075,PR-LWnUTV,dna
ACH-001031,PR-725KuH,rna
ACH-001031,PR-a9NsUm,dna
ACH-000366,PR-nkEpkd,rna
ACH-000366,PR-h4toeM,dna
ACH-001802,PR-2RtWG6,rna
ACH-001802,PR-jbp3GW,dna
ACH-001518,PR-VeocjK,rna
ACH-001518,PR-psx3Il,dna
ACH-001617,PR-4QSpSI,rna
ACH-001617,PR-llr0IA,dna
ACH-000241,PR-i1T3z0,rna
ACH-000241,PR-3yujxl,dna
ACH-000256,PR-v5BGRz,rna
ACH-000256,PR-xLm7Mh,dna
ACH-000163,PR-Ptg4Qi,rna
ACH-000163,PR-XeLdka,dna
ACH-002109,PR-fBKnqX,dna
ACH-000500,PR-1tswkQ,rna
ACH-000500,PR-DOinrY,dna
ACH-001540,PR-oIMkeK,rna
ACH-001540,PR-f1OPax,dna
ACH-000031,PR-kae4Ed,rna
ACH-000031,PR-vaaJsg,dna
ACH-002387,PR-yVIatm,dna
ACH-001384,PR-Xr49Zy,rna
ACH-001384,PR-ZQyKh4,dna
ACH-000019,PR-QbgDTJ,rna
ACH-000019,PR-VLTXhP,dna
ACH-002052,PR-sbjG3E,dna
ACH-000050,PR-3RD5tJ,rna
ACH-000050,PR-qmif4b,dna
ACH-000833,PR-CUG5qc,rna
ACH-000833,PR-A7rYFR,dna
ACH-000059,PR-zP37KL,rna
ACH-000059,PR-8vXkr9,dna
ACH-000368,PR-nSA4F7,rna
ACH-000368,PR-dRCp1n,dna
ACH-001442,PR-sI2lKl,rna
ACH-001442,PR-h8BzuB,dna
ACH-001345,PR-QqnKf7,rna
ACH-001345,PR-UrpBYx,dna
ACH-000737,PR-oy4Ymg,rna
ACH-000996,PR-a5IfIZ,rna
ACH-000996,PR-OeifWS,dna
ACH-000502,PR-ZoUwzd,rna
ACH-000502,PR-452U9P,dna
ACH-002048,PR-PiVerQ,rna
ACH-002048,PR-LZhV7k,dna
ACH-000851,PR-x8rjfa,rna
ACH-000851,PR-4lF8e0,dna
ACH-001846,PR-12qkb6,rna
ACH-001846,PR-DNRFgC,dna
ACH-001541,PR-skeXpP,rna
ACH-001541,PR-EDZlOB,dna
ACH-001130,PR-MdYnGF,dna
ACH-000014,PR-q6QIQQ,rna
ACH-000112,PR-bZ7Np7,rna
ACH-000112,PR-eawROX,dna
ACH-000087,PR-39HBc7,rna
ACH-000087,PR-bFkp19,dna
ACH-002166,PR-7wM9aM,dna
ACH-000814,PR-lm1TFX,rna
ACH-000814,PR-x3dWKC,dna
ACH-000961,PR-piAFzi,rna
ACH-000961,PR-W63IgE,dna
ACH-002117,PR-KaeQoW,dna
ACH-000215,PR-Yx5Qnd,rna
ACH-000215,PR-7B4jAS,dna
ACH-000103,PR-kpBxri,rna
ACH-000103,PR-L5V3oJ,dna
ACH-000659,PR-9anLVr,rna
ACH-000659,PR-g2OgAz,dna
ACH-002101,PR-7B1C9M,dna
ACH-000029,PR-pOBrMJ,rna
ACH-000029,PR-cQHv2j,dna
ACH-000971,PR-0QFNfM,rna
ACH-000971,PR-YmJ7mI,dna
ACH-002350,PR-JToJzQ,dna
ACH-001688,PR-rAn6HZ,rna
ACH-001688,PR-CKo1cd,dna
ACH-000150,PR-1Oypwt,rna
ACH-000150,PR-Zoo4ok,dna
ACH-000145,PR-LDzg6K,rna
ACH-000145,PR-STBMsm,dna
ACH-000342,PR-oHZEkB,rna
ACH-000342,PR-bI4Uy3,dna
ACH-000832,PR-IXiGZw,rna
ACH-000832,PR-bv1kx8,dna
ACH-000431,PR-JxzNBd,rna
ACH-000431,PR-ntXWoU,dna
ACH-000951,PR-I5YGjU,rna
ACH-000951,PR-3aWe62,dna
ACH-001081,PR-HhxI8n,dna
ACH-000854,PR-ocxsJi,rna
ACH-001814,PR-DaW5O4,rna
ACH-001814,PR-qOxoEw,dna
ACH-000779,PR-TEBAID,rna
ACH-000779,PR-t1P1Sr,dna
ACH-002040,PR-Koodhd,rna
ACH-002040,PR-BD4v1E,dna
ACH-000487,PR-MSeqXm,rna
ACH-000487,PR-oxwSU8,dna
ACH-000397,PR-U9XS3G,rna
ACH-000397,PR-jMdExQ,dna
ACH-000880,PR-XoClA2,rna
ACH-000880,PR-84shel,dna
ACH-001336,PR-99oiVW,rna
ACH-001336,PR-JLqFyB,dna
ACH-000305,PR-Qw2Ht3,rna
ACH-000305,PR-s9Eho8,dna
ACH-000208,PR-Mqol4R,rna
ACH-000208,PR-BidGw1,dna
ACH-001363,PR-K8jbg4,dna
ACH-000738,PR-PHjsFe,rna
ACH-000738,PR-XDGHfi,dna
ACH-002090,PR-5rHKiV,dna
ACH-002244,PR-7hHZ69,dna
ACH-002218,PR-ktkgBR,dna
ACH-000131,PR-q52RyG,rna
ACH-000131,PR-CiXXaA,dna
ACH-002257,PR-Tek4yt,dna
ACH-000280,PR-82ZqvV,rna
ACH-000280,PR-PDWrO9,dna
ACH-002237,PR-uMouS2,dna
ACH-000074,PR-vPv1yo,rna
ACH-000074,PR-0c2Lny,dna
ACH-000290,PR-7pZBap,rna
ACH-000290,PR-s9uzxe,dna
ACH-000199,PR-avlBdo,rna
ACH-000199,PR-DrDDw1,dna
ACH-000161,PR-HrGr0E,rna
ACH-000161,PR-8xU5Cp,dna
ACH-001034,PR-swYFJE,rna
ACH-001034,PR-EgVxjj,dna
ACH-001060,PR-9GGMGl,rna
ACH-001060,PR-bcH5U5,dna
ACH-000742,PR-0vINre,rna
ACH-000102,PR-Vz1NIO,rna
ACH-000102,PR-3zSvim,dna
ACH-000974,PR-wl3guH,rna
ACH-000974,PR-K4GcyS,dna
ACH-000303,PR-FCTHEg,rna
ACH-000303,PR-jcuIuZ,dna
ACH-000541,PR-EH33kC,rna
ACH-000541,PR-g4oKyy,dna
ACH-000723,PR-2v3g3G,rna
ACH-000723,PR-1dX3q2,dna
ACH-000615,PR-6nTedt,rna
ACH-000615,PR-fAUVnh,dna
ACH-000049,PR-IHVTqn,rna
ACH-002197,PR-nMG9sD,dna
ACH-001032,PR-NZKUk9,rna
ACH-001032,PR-WH8Zs5,dna
ACH-000868,PR-jC0ol4,rna
ACH-000868,PR-dRGv9A,dna
ACH-000943,PR-iNkGCw,rna
ACH-000943,PR-rsoNmY,dna
ACH-001510,PR-dwBsSq,rna
ACH-001510,PR-YazqZR,dna
ACH-000149,PR-Fojb0w,rna
ACH-000149,PR-3qZd3C,dna
ACH-000623,PR-3q5Wwz,rna
ACH-000623,PR-vf1ybd,dna
ACH-000097,PR-jkJgrz,rna
ACH-000097,PR-hJcExB,dna
ACH-000008,PR-bKcagB,rna
ACH-000008,PR-5uZoTw,dna
ACH-002206,PR-20INxP,dna
ACH-000331,PR-rIEJbj,rna
ACH-000331,PR-FgeHco,dna
ACH-001557,PR-sip3Lc,rna
ACH-001557,PR-RaUmVV,dna
ACH-001460,PR-CDvrD3,rna
ACH-001460,PR-NTPVwY,dna
ACH-002029,PR-XEZhmI,rna
ACH-002029,PR-ZwQriH,dna
ACH-002098,PR-buq1qQ,dna
ACH-002344,PR-FFGmUw,dna
ACH-000828,PR-aRWG44,rna
