Depmap ID,"CRISPR (DepMap Public 23Q2+Score, Chronos)",Cell Line Name,Primary Disease,Lineage,Lineage Subtype,Expression Public 23Q2,Mutations_Prioritized
ACH-000001,-0.2111672668517355,NIHOVCAR3,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,5.434628227636725,Other
ACH-001301,-0.1650215568745027,COGN278,Neuroblastoma,Peripheral Nervous System,Neuroblastoma,5.697106574476975,Other
ACH-001302,0.0531114241776641,COGN305,Neuroblastoma,Peripheral Nervous System,Neuroblastoma,5.92955431573285,Other
ACH-001303,-0.3758363130930392,NB1643,Neuroblastoma,Peripheral Nervous System,Neuroblastoma,5.596637034102074,Other
ACH-001306,-0.0948940158679197,8305C,Anaplastic Thyroid Cancer,Thyroid,Anaplastic Thyroid Cancer,5.496014873437763,Other
ACH-001307,-0.030801780564034,8505C,Anaplastic Thyroid Cancer,Thyroid,Anaplastic Thyroid Cancer,5.468583317006828,Other
ACH-001310,-0.2890901876616291,HA1E,Non-Cancerous,Kidney,Non-Cancerous,5.598722499676621,Other
ACH-001318,0.0808235460097267,PLCPRF5,Hepatocellular Carcinoma,Liver,Hepatocellular Carcinoma,5.877253453876608,Other
ACH-001322,-0.1747135612626859,CME1,Synovial Sarcoma,Soft Tissue,Synovial Sarcoma,5.192983169973992,Other
ACH-001328,-0.0293396419679007,A431,Cutaneous Squamous Cell Carcinoma,Skin,Cutaneous Squamous Cell Carcinoma,5.229587922740652,Other
ACH-001329,-0.0853948062052327,ANGMCSS,Diffuse Glioma,CNS/Brain,Diffuse Glioma,6.041111535369152,Other
ACH-001331,-0.1127468426562186,BICR10,Head and Neck Squamous Cell Carcinoma,Head and Neck,Head and Neck Squamous Cell Carcinoma,,Other
ACH-001332,0.0121615550680452,BICR78,Head and Neck Squamous Cell Carcinoma,Head and Neck,Head and Neck Squamous Cell Carcinoma,4.863938450423972,Other
ACH-001333,-0.1172497475100643,C33A,Cervical Squamous Cell Carcinoma,Cervix,Cervical Squamous Cell Carcinoma,5.380244590478185,Other
ACH-001334,-0.1245122269960201,C4I,Cervical Squamous Cell Carcinoma,Cervix,Cervical Squamous Cell Carcinoma,6.361241988464982,Other
ACH-001335,-0.1784966702171226,C4II,Cervical Squamous Cell Carcinoma,Cervix,Cervical Squamous Cell Carcinoma,5.873074932223972,Other
ACH-001336,0.0819042342480488,CASKI,Cervical Squamous Cell Carcinoma,Cervix,Cervical Squamous Cell Carcinoma,5.57228336665041,Other
ACH-001338,-0.1086322218894059,CHP134,Neuroblastoma,Peripheral Nervous System,Neuroblastoma,6.88325423134128,Other
ACH-001340,-0.03254255614707,COV413A,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,4.727375938594897,Other
ACH-001341,-0.0190065468850693,DOTC24510,Mixed Cervical Carcinoma,Cervix,Mixed Cervical Carcinoma,5.065658470931991,Other
ACH-001344,0.0321969711835915,GIMEN,Neuroblastoma,Peripheral Nervous System,Neuroblastoma,4.969933274697856,Other
ACH-001345,-0.1921101308043672,GP5D,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma,5.438625538088378,Other
ACH-001346,-0.0897300009040235,H103,Head and Neck Squamous Cell Carcinoma,Head and Neck,Head and Neck Squamous Cell Carcinoma,5.966015097404102,Other
ACH-001347,-0.0466532845043272,H157,Head and Neck Squamous Cell Carcinoma,Head and Neck,Head and Neck Squamous Cell Carcinoma,7.679198570566922,Other
ACH-001353,0.0469693882096725,JOPACA1,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma,7.695506709992468,Other
ACH-001354,-0.1806789622160018,LAN2,Neuroblastoma,Peripheral Nervous System,Neuroblastoma,5.7309116243181,Other
ACH-001356,-0.016925907737601,MB1,Anaplastic Thyroid Cancer,Thyroid,Anaplastic Thyroid Cancer,4.7489978500981485,Other
ACH-001360,0.0136313063616209,MS751,Cervical Squamous Cell Carcinoma,Cervix,Cervical Squamous Cell Carcinoma,5.20006486151431,Other
ACH-001366,-0.0479275853897576,NGP,Neuroblastoma,Peripheral Nervous System,Neuroblastoma,5.243745234733984,Other
ACH-001367,-0.4385740632529616,NMB,Neuroblastoma,Peripheral Nervous System,Neuroblastoma,5.907852071845964,Other
ACH-001300,-0.3055557196955961,CHLA15,Neuroblastoma,Peripheral Nervous System,Neuroblastoma,5.526381862561924,Other
ACH-001295,-0.0209397124064795,Y79,Retinoblastoma,Eye,Retinoblastoma,5.447579196548882,Other
ACH-001289,-0.0967771852011661,COGAR359,Embryonal Tumor,CNS/Brain,Embryonal Tumor,5.523561956057013,Other
ACH-001283,-0.0136593127843681,TC106,Ewing Sarcoma,Bone,Ewing Sarcoma,5.578334948681608,Other
ACH-001134,-0.1247584474372328,MYLA,T-Lymphoblastic Leukemia/Lymphoma,Lymphoid,T-Lymphoblastic Leukemia/Lymphoma,5.39746072605472,Other
ACH-001137,-0.3513075880078598,NCIH1993,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer,,Other
ACH-001145,0.0533989610360549,OC316,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,5.444269502413482,Other
ACH-001151,-0.1048749193190501,OVCAR5,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,5.6940444130862025,Other
ACH-001163,0.0188632608839961,CCLFPEDS0001T,Renal Cell Carcinoma,Kidney,Renal Cell Carcinoma,5.526694845541976,Other
ACH-001164,-0.1271220639923721,CCLFPEDS0003T,Undifferentiated Pleomorphic Sarcoma/Malignant Fibrous Histiocytoma/High-Grade Spindle Cell Sarcoma,Soft Tissue,Undifferentiated Pleomorphic Sarcoma/Malignant Fibrous Histiocytoma/High-Grade Spindle Cell Sarcoma,5.195347598322219,Other
ACH-001172,-0.0382770716282198,U251MGDM,Diffuse Glioma,CNS/Brain,Diffuse Glioma,5.205548911173033,Other
ACH-001183,-0.1577229431852287,RT11284,Bladder Urothelial Carcinoma,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,5.357903838552492,Other
ACH-001184,-0.1413385803867881,SCMCRM2,Rhabdomyosarcoma,Soft Tissue,Rhabdomyosarcoma,5.771093251699539,Other
ACH-001188,-0.1644404382132735,SHSY5Y,Neuroblastoma,Peripheral Nervous System,Neuroblastoma,4.635173946674924,Other
ACH-001190,-0.1792393106504118,SKMEL2,Melanoma,Skin,Melanoma,5.292781749227846,Other
ACH-001192,-0.1488341641598869,SKNEP1,Ewing Sarcoma,Bone,Ewing Sarcoma,6.660637740008126,Other
ACH-001193,-0.2295826095975781,SKPNDW,Ewing Sarcoma,Bone,Ewing Sarcoma,6.137298580921138,Other
ACH-001194,-0.0614467544392107,SKRC31,Renal Cell Carcinoma,Kidney,Renal Cell Carcinoma,5.609991295212678,Other
ACH-001368,-0.1716491068610704,OACM51,Esophagogastric Adenocarcinoma,Esophagus/Stomach,Esophagogastric Adenocarcinoma,5.368419155081396,Other
ACH-001196,-0.2852603306876892,SMSCTR,Rhabdomyosarcoma,Soft Tissue,Rhabdomyosarcoma,5.287620044112067,Other
ACH-001205,-0.3587905581224936,TC32,Ewing Sarcoma,Bone,Ewing Sarcoma,,Other
ACH-001211,0.0157619994413329,TTC549,Embryonal Tumor,CNS/Brain,Embryonal Tumor,5.498570012544255,Other
ACH-001212,-0.0168582015566186,TTC642,Embryonal Tumor,CNS/Brain,Embryonal Tumor,,Other
ACH-001228,-0.1446506710445383,UPCISCC152,Head and Neck Squamous Cell Carcinoma,Head and Neck,Head and Neck Squamous Cell Carcinoma,5.163096138436012,Other
ACH-001229,-0.1193262779400958,UPCISCC154,Head and Neck Squamous Cell Carcinoma,Head and Neck,Head and Neck Squamous Cell Carcinoma,6.926592510051067,Other
ACH-001232,-0.1999767337552814,UW228,Embryonal Tumor,CNS/Brain,Embryonal Tumor,5.6959938131099,Other
ACH-001233,-0.0282438805377037,VMRCLCD,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer,,Other
ACH-001239,-0.0983317282182428,WM2664,Melanoma,Skin,Melanoma,6.804647329694112,Other
ACH-001270,-0.1783994645048233,127399,Synovial Sarcoma,Soft Tissue,Synovial Sarcoma,5.072105800480419,Other
ACH-001275,-0.2039390806352557,SYO1,Synovial Sarcoma,Soft Tissue,Synovial Sarcoma,4.88508622529017,Other
ACH-001277,-0.2395019004069531,YAMATO,Synovial Sarcoma,Soft Tissue,Synovial Sarcoma,4.802193216941825,Other
ACH-001278,-0.1218010410439436,BIN67,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,5.460087240116833,Other
ACH-001279,-0.1657231544900979,SCCOHT1,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,6.558573776240628,Other
ACH-001280,-0.2932570809594341,SCS214,Synovial Sarcoma,Soft Tissue,Synovial Sarcoma,4.682011390800693,Other
ACH-001197,-0.2312174953157897,SMZ1,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma,5.200457271428572,Other
ACH-001370,-0.1752627368180684,OCIP5X,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,8.705494158460198,Other
ACH-001374,-0.446241316063918,PA1,Ovarian Germ Cell Tumor,Ovary/Fallopian Tube,Ovarian Germ Cell Tumor,5.216066783087033,Other
