Sample	Total	AS_neg	AS_pos	AS_total	SI	Histology
BS_1NPD7PVG	13576	165	72	237	0.0174572775486152	GNG
BS_23W9EPFE	8511	755	591	1346	0.158148278698155	GNG
BS_258RRGDM	12931	41	96	137	0.0105946949191865	GNG
BS_27FYYPJG	5386	179	130	309	0.0573709617526922	GNG
BS_27QE6BV7	12727	267	166	433	0.0340221576176632	GNG
BS_2AR3AP0N	14201	38	51	89	0.00626716428420534	GNG
BS_2D1R9SBY	9263	1069	792	1861	0.20090683363921	GNG
BS_2QCQYY6M	5446	829	547	1376	0.252662504590525	GNG
BS_3PYESPHA	12072	85	105	190	0.0157388999337309	GNG
BS_3TJHY996	10201	192	156	348	0.0341143025193608	GNG
BS_3XY76V8T	14402	74	63	137	0.0095125676989307	GNG
BS_478TN841	13063	111	116	227	0.0173773252698461	GNG
BS_4Y2JAQTS	11567	503	534	1037	0.0896515950548976	GNG
BS_55JW3HFM	19280	69	113	182	0.00943983402489626	GNG
BS_55X1W2MR	3161	471	286	757	0.239481176842771	GNG
BS_593HEWBF	11637	166	60	226	0.0194208129242932	GNG
BS_5JM573JC	13069	832	674	1506	0.115234524447165	GNG
BS_5K3R0F5D	13421	62	67	129	0.00961180239922509	GNG
BS_680K119G	13399	58	54	112	0.00835883274871259	GNG
BS_699TN5RN	12489	107	153	260	0.0208183201217071	GNG
BS_6HXD39AM	11628	192	221	413	0.0355177158582731	GNG
BS_6NTXGQAC	9623	244	361	605	0.0628702067962174	GNG
BS_77CDMEY4	14011	202	96	298	0.0212690029262722	GNG
BS_7N0B2CY1	10808	95	68	163	0.0150814211695041	GNG
BS_912NX4Y0	13816	179	150	329	0.0238129704690214	GNG
BS_92VDQ0NE	19242	72	156	228	0.0118490801371999	GNG
BS_9H7A00PV	21850	510	680	1190	0.0544622425629291	GNG
BS_AD4JPN9Q	15261	78	45	123	0.00805976017298997	GNG
BS_AKRHBPNZ	11530	109	145	254	0.0220294882914137	GNG
BS_B7X8VXQ3	9963	66	69	135	0.013550135501355	GNG
BS_C0NEVC2B	9779	204	165	369	0.0377339196236834	GNG
BS_CC6RREE4	13685	294	257	551	0.0402630617464377	GNG
BS_CM14SRVX	19934	461	371	832	0.041737734523929	GNG
BS_DGWXNSPK	11716	200	163	363	0.0309832707408672	GNG
BS_DMZP9G1H	13656	74	62	136	0.00995899238429994	GNG
BS_DZFV0CFA	1643	314	167	481	0.292757151552039	GNG
BS_ERJAJ0KA	15030	100	160	260	0.0172987358616101	GNG
BS_F0ZP45KB	10912	633	479	1112	0.101906158357771	GNG
BS_F4E8R9VY	9970	288	196	484	0.0485456369107322	GNG
BS_FAQQ0GCQ	16230	78	178	256	0.0157732593961799	GNG
BS_GMF4ABXJ	17929	659	850	1509	0.0841653187573205	GNG
BS_GTZCFGRZ	11626	243	261	504	0.0433511095819714	GNG
BS_H0TJS3RZ	9868	412	277	689	0.0698216457235509	GNG
BS_J9M83K8T	6161	254	165	419	0.0680084401882811	GNG
BS_JX4QBM9G	13851	423	344	767	0.0553750631723341	GNG
BS_K57A4A9D	8370	297	174	471	0.0562724014336918	GNG
BS_KPT2WPHW	14754	121	122	243	0.016470109800732	GNG
BS_KVV7001W	15925	123	100	223	0.0140031397174254	GNG
BS_M4NVX721	16322	55	59	114	0.00698443818159539	GNG
BS_MF47B9ZW	8902	407	315	722	0.0811053695798697	GNG
BS_NT9NZYFD	15698	129	147	276	0.0175818575614728	GNG
BS_P277RYX5	10343	161	176	337	0.0325824228947114	GNG
BS_PKW05VZV	12992	94	115	209	0.0160868226600985	GNG
BS_PQ7CQFYR	8488	296	274	570	0.0671536286522149	GNG
BS_QF5VVZX5	9516	93	122	215	0.0225935266918873	GNG
BS_QV51J756	13691	92	101	193	0.0140968519465342	GNG
BS_RGSMX7QD	11937	166	125	291	0.0243779844181955	GNG
BS_RPKA4GF9	4971	259	141	400	0.0804667069000201	GNG
BS_RVSEDNJ4	10015	205	145	350	0.0349475786320519	GNG
BS_S9929Z8B	11812	142	142	284	0.0240433457500847	GNG
BS_SW6YC2DG	1809	174	121	295	0.163073521282477	GNG
BS_SW8C9Y5Y	7765	374	190	564	0.0726336123631681	GNG
BS_TG93XC55	17299	180	179	359	0.0207526446615411	GNG
BS_V1J03963	5842	269	272	541	0.0926052721670661	GNG
BS_V4XCTG09	4893	281	155	436	0.0891068873901492	GNG
BS_VMMJYN8Z	18133	28	44	72	0.00397066122539017	GNG
BS_W97QQYKQ	16247	113	108	221	0.013602511232843	GNG
BS_WERNRP82	739	125	84	209	0.282814614343708	GNG
BS_WRQHPSXQ	13699	442	170	612	0.0446747937805679	GNG
BS_X2EDW2ZB	11093	495	448	943	0.0850085639592536	GNG
BS_Y7H24JZG	6764	214	218	432	0.0638675340035482	GNG
BS_YBGZ4BRP	2201	367	192	559	0.25397546569741	GNG
BS_ZHRGDRBW	21606	246	313	559	0.0258724428399519	GNG
BS_ZJY7Y34M	10473	229	152	381	0.0363792609567459	GNG
BS_ZK6WE17T	11529	160	280	440	0.0381646283285628	GNG
BS_ZZWMD6FA	16501	87	94	181	0.0109690321798679	GNG
