Splice ID	Case	Type	Tumor_PSI	Mean_PSI	Sample	Histology
MORF4L2:103678499-103678620_103678498-103678600_103684680-103684729	A3SS	Inclusion	0.703	0.438310924369748	BS_0S8E7590	Diffuse midline glioma
RPL3:39316706-39317021_39316705-39316841_39317460-39317629	A3SS	Inclusion	0.28300000000000003	0.0542615384615385	BS_0S8E7590	Diffuse midline glioma
SYNJ1:32634861-32634884_32634860-32634881_32638907-32639125	A3SS	Skipping	0.757	0.877	BS_0S8E7590	Diffuse midline glioma
ERGIC3:35556955-35557109_35556972-35557109_35556206-35556271	A3SS	Inclusion	0.019	0.00990361445783133	BS_0S8E7590	Diffuse midline glioma
PEG3:56824262-56824741_56824261-56824427_56826387-56826463	A3SS	Inclusion	0.335	0.175326530612245	BS_0S8E7590	Diffuse midline glioma
LAIR1:54360916-54361243_54360915-54361209_54364294-54364330	A3SS	Inclusion	0.214	0.0837222222222222	BS_0S8E7590	Diffuse midline glioma
MEIS3:47414717-47414866_47414716-47414815_47415050-47415101	A3SS	Inclusion	0.879	0.696325396825397	BS_0S8E7590	Diffuse midline glioma
ZNF746:149493989-149494115_149493988-149494070_149494203-149494503	A3SS	Inclusion	0.748	0.519666666666667	BS_0S8E7590	Diffuse midline glioma
HSF4:67167720-67167947_67167823-67167947_67167474-67167599	A3SS	Inclusion	0.624	0.402372340425532	BS_0S8E7590	Diffuse midline glioma
HMGN1:39345830-39347292_39345829-39345958_39347378-39347483	A3SS	Skipping	0.429	0.730050632911392	BS_0S8E7590	Diffuse midline glioma
FAM133B:92577655-92577717_92577654-92577676_92578149-92578182	A3SS	Skipping	0.614	0.827838709677419	BS_0S8E7590	Diffuse midline glioma
CLINT1:157789363-157789567_157789362-157789513_157791702-157791995	A3SS	Inclusion	0.726	0.480135338345865	BS_0S8E7590	Diffuse midline glioma
P2RX7:121162271-121162520_121162423-121162520_121160901-121160974	A3SS	Inclusion	0.389	0.140128712871287	BS_0S8E7590	Diffuse midline glioma
DTNA:34887766-34891276_34890299-34891276_34884727-34884776	A3SS	Skipping	0.45799999999999996	0.695432835820895	BS_0S8E7590	Diffuse midline glioma
ELF2:139071866-139072039_139071865-139072003_139073453-139073567	A3SS	Inclusion	0.7290000000000001	0.378790697674419	BS_0S8E7590	Diffuse midline glioma
LARP7:112647651-112647834_112647689-112647834_112647198-112647549	A3SS	Inclusion	0.317	0.1308671875	BS_0S8E7590	Diffuse midline glioma
SPP1:87980046-87980434_87980392-87980434_87977058-87977097	A3SS	Skipping	0.778	0.925229007633588	BS_0S8E7590	Diffuse midline glioma
SPP1:87980046-87981798_87981474-87981798_87977058-87977097	A3SS	Skipping	0.894	0.993064516129032	BS_0S8E7590	Diffuse midline glioma
ADGRG1:57659395-57659681_57659412-57659681_57657372-57657491	A3SS	Inclusion	0.521	0.382406015037594	BS_0S8E7590	Diffuse midline glioma
NECAP1:8091769-8092784_8092675-8092784_8090194-8090299	A3SS	Skipping	0.682	0.86661403508772	BS_0S8E7590	Diffuse midline glioma
FAM149A:186149566-186149704_186149592-186149704_186149172-186149283	A3SS	Inclusion	0.7929999999999999	0.554466101694915	BS_0S8E7590	Diffuse midline glioma
PLD3:40366384-40366510_40366418-40366510_40365552-40365585	A3SS	Inclusion	0.802	0.387625	BS_0S8E7590	Diffuse midline glioma
CHCHD7:56216389-56216506_56216432-56216506_56214597-56214667	A3SS	Inclusion	0.49200000000000005	0.314910447761194	BS_0S8E7590	Diffuse midline glioma
TATDN3:212812227-212812328_212812247-212812328_212807735-212807848	A3SS	Inclusion	0.429	0.21534375	BS_0S8E7590	Diffuse midline glioma
TATDN3:212812227-212812328_212812250-212812328_212807735-212807848	A3SS	Inclusion	0.5770000000000001	0.257104166666667	BS_0S8E7590	Diffuse midline glioma
CSDE1:114732604-114732868_114732603-114732816_114733731-114733857	A3SS	Inclusion	0.019	0.00748529411764706	BS_0S8E7590	Diffuse midline glioma
ABCD4:74292748-74293248_74292747-74292869_74295147-74295198	A3SS	Skipping	0.512	0.792730337078652	BS_0S8E7590	Diffuse midline glioma
DENND5A:9141940-9143485_9141939-9142108_9144096-9144278	A3SS	Skipping	0.8029999999999999	0.941298701298701	BS_0S8E7590	Diffuse midline glioma
DENND5A:9142722-9143485_9142721-9142845_9144096-9144278	A3SS	Skipping	0.757	0.892483870967742	BS_0S8E7590	Diffuse midline glioma
NCKIPSD:48682045-48682156_48682044-48682135_48682347-48682552	A3SS	Inclusion	0.752	0.521504273504273	BS_0S8E7590	Diffuse midline glioma
BEND5:48758900-48759366_48758899-48759284_48761336-48761470	A3SS	Inclusion	0.519	0.334572519083969	BS_0S8E7590	Diffuse midline glioma
TRAPPC14:100155671-100155919_100155670-100155825_100156385-100156549	A3SS	Inclusion	0.42700000000000005	0.201036363636364	BS_0S8E7590	Diffuse midline glioma
TMX2:57737786-57738026_57737912-57738026_57737607-57737668	A3SS	Inclusion	0.161	0.0752290076335878	BS_0S8E7590	Diffuse midline glioma
TMX2:57737836-57738026_57737912-57738026_57737607-57737668	A3SS	Inclusion	0.315	0.149186567164179	BS_0S8E7590	Diffuse midline glioma
TIAL1:119580471-119580846_119580470-119580538_119581921-119582009	A3SS	Skipping	0.17600000000000002	0.585945054945055	BS_0S8E7590	Diffuse midline glioma
EFNA1:155133503-155133780_155133729-155133780_155131338-155131634	A3SS	Skipping	0.478	0.772021978021978	BS_0S8E7590	Diffuse midline glioma
GPNMB:23266481-23266615_23266516-23266615_23260455-23260773	A3SS	Inclusion	0.40700000000000003	0.253825	BS_0S8E7590	Diffuse midline glioma
SERBP1:67424888-67424977_67424887-67424959_67425082-67425223	A3SS	Inclusion	0.8440000000000001	0.525833333333333	BS_0S8E7590	Diffuse midline glioma
MIGA1:77783238-77783351_77783242-77783351_77779648-77779736	A3SS	Skipping	0.677	0.822753246753247	BS_0S8E7590	Diffuse midline glioma
RPL22L1:170868013-170868201_170868012-170868134_170868297-170868387	A3SS	Inclusion	0.5710000000000001	0.267458646616541	BS_0S8E7590	Diffuse midline glioma
SEMA3B:50273913-50274057_50273915-50274057_50273758-50273828	A3SS	Inclusion	0.609	0.442663461538462	BS_0S8E7590	Diffuse midline glioma
RASGEF1B:81448069-81448284_81448068-81448281_81456650-81456788	A3SS	Skipping	0.21600000000000003	0.431644859813084	BS_0S8E7590	Diffuse midline glioma
SMYD5:73219952-73220190_73220050-73220190_73218860-73218969	A3SS	Inclusion	0.22699999999999998	0.104544444444444	BS_0S8E7590	Diffuse midline glioma
EIF4A1:7577344-7577487_7577433-7577487_7577055-7577165	A3SS	Inclusion	0.995	0.984545454545454	BS_0S8E7590	Diffuse midline glioma
RYK:134191849-134191983_134191848-134191974_134195081-134195182	A3SS	Skipping	0.442	0.598145038167939	BS_0S8E7590	Diffuse midline glioma
PQBP1:48902233-48902795_48902731-48902795_48901929-48902042	A3SS	Skipping	0.795	0.91916	BS_0S8E7590	Diffuse midline glioma
PCBP2:53468777-53468832_53468779-53468832_53467220-53467293	A3SS	Skipping	0.879	0.918439393939395	BS_0S8E7590	Diffuse midline glioma
COL20A1:63309755-63309915_63309757-63309915_63309332-63309497	A3SS	Inclusion	0.41100000000000003	0.278406976744186	BS_0S8E7590	Diffuse midline glioma
CERS4:8251044-8251249_8251075-8251249_8241340-8241457	A3SS	Inclusion	0.6759999999999999	0.373285714285714	BS_0S8E7590	Diffuse midline glioma
SUPT20H:37022011-37023044_37022010-37022317_37024034-37024193	A3SS	Skipping	0.597	0.7982	BS_0S8E7590	Diffuse midline glioma
HDAC4:239126456-239126694_239126455-239126679_239134244-239134443	A3SS	Inclusion	0.67	0.343204545454545	BS_0S8E7590	Diffuse midline glioma
NRG3:82865411-82865437_82865413-82865437_82738576-82738650	A3SS	Skipping	0.32799999999999996	0.503056179775281	BS_0S8E7590	Diffuse midline glioma
RHOA:49359140-49362626_49359139-49360382_49368427-49368548	A3SS	Skipping	0.965	0.991244897959184	BS_0S8E7590	Diffuse midline glioma
MAGI1:65375745-65375948_65375744-65375945_65379260-65379554	A3SS	Skipping	0.408	0.625175675675676	BS_0S8E7590	Diffuse midline glioma
CEP70:138572859-138572984_138572858-138572932_138591853-138591956	A3SS	Inclusion	0.541	0.24879674796748	BS_0S8E7590	Diffuse midline glioma
CD200:112347558-112347830_112347562-112347830_112344961-112345288	A3SS	Skipping	0.753	0.873490566037736	BS_0S8E7590	Diffuse midline glioma
TGFA:70465616-70465736_70465615-70465733_70514858-70514912	A3SS	Skipping	0.35100000000000003	0.609920634920635	BS_0S8E7590	Diffuse midline glioma
AZIN1:102836256-102836541_102836255-102836390_102838743-102838916	A3SS	Inclusion	0.098	0.0264180327868852	BS_0S8E7590	Diffuse midline glioma
ENY2:109340444-109340563_109340488-109340563_109339319-109339390	A3SS	Inclusion	0.114	0.0361320754716981	BS_0S8E7590	Diffuse midline glioma
POMT1:131518698-131518957_131518836-131518957_131518444-131518537	A3SS	Inclusion	0.242	0.0763394495412844	BS_0S8E7590	Diffuse midline glioma
CAMTA2:4982089-4982227_4982088-4982160_4982756-4982892	A3SS	Inclusion	0.36	0.199288288288288	BS_0S8E7590	Diffuse midline glioma
RHBDF1:59732-60098_59731-59826_60215-60279	A3SS	Inclusion	0.32899999999999996	0.102448717948718	BS_0S8E7590	Diffuse midline glioma
ARRDC1:137614032-137614214_137614139-137614214_137613614-137613769	A3SS	Skipping	0.836	0.920285714285715	BS_0S8E7590	Diffuse midline glioma
SCRN2:47839444-47839858_47839443-47839643_47840190-47840372	A3SS	Inclusion	0.3	0.121655913978495	BS_0S8E7590	Diffuse midline glioma
SFXN3:101036667-101036808_101036722-101036808_101036485-101036561	A3SS	Inclusion	0.201	0.0705576923076923	BS_0S8E7590	Diffuse midline glioma
SLC43A3:57425541-57425709_57425540-57425670_57425988-57426316	A3SS	Inclusion	0.249	0.1165	BS_0S8E7590	Diffuse midline glioma
RSRC2:122518839-122519051_122518838-122519029_122520503-122520581	A3SS	Inclusion	0.75	0.492797872340426	BS_0S8E7590	Diffuse midline glioma
MUS81:65865017-65865145_65865114-65865145_65864719-65864815	A3SS	Skipping	0.638	0.8925	BS_0S8E7590	Diffuse midline glioma
SEPTIN7:35832798-35832900_35832803-35832900_35831491-35831496	A3SS	Skipping	0.8079999999999999	0.879136000000001	BS_0S8E7590	Diffuse midline glioma
THY1:119420051-119420448_119420050-119420386_119420868-119420929	A3SS	Inclusion	0.028999999999999998	0.0126489361702128	BS_0S8E7590	Diffuse midline glioma
MYL6:56159587-56160148_56159974-56160148_56158683-56158711	A3SS	Skipping	0.9329999999999999	0.976622047244094	BS_0S8E7590	Diffuse midline glioma
GMIP:19635415-19635721_19635414-19635569_19636706-19636796	A3SS	Skipping	0.287	0.5823375	BS_0S8E7590	Diffuse midline glioma
USP36:78795652-78797902_78795651-78797879_78798399-78798551	A3SS	Inclusion	0.619	0.399281818181818	BS_0S8E7590	Diffuse midline glioma
ERCC5:102854143-102854374_102854287-102854374_102853756-102853872	A3SS	Inclusion	0.27399999999999997	0.133401785714286	BS_0S8E7590	Diffuse midline glioma
SMOC1:70030242-70032366_70030244-70032366_70023202-70023447	A3SS	Skipping	0.365	0.466283582089552	BS_0S8E7590	Diffuse midline glioma
VEGFB:64237420-64237655_64237520-64237655_64237186-64237222	A3SS	Inclusion	0.893	0.722278195488722	BS_0S8E7590	Diffuse midline glioma
SYNE3:95436820-95436981_95436819-95436966_95439032-95439162	A3SS	Inclusion	0.665	0.430227272727273	BS_0S8E7590	Diffuse midline glioma
