Splice ID	Case	Type	Tumor_PSI	Mean_PSI	Sample	Histology
ENPP2:119582418-119582602_119582429-119582602_119580115-119580167	A5SS	Inclusion	0.8590000000000001	0.691457627118644	BS_30VC3R2Q	H3 WT
PCMT1:149802200-149802416_149802199-149802369_149810615-149811420	A5SS	Skipping	0.431	0.556219512195122	BS_30VC3R2Q	H3 WT
PGAP2:3824270-3824455_3824269-3824364_3825019-3825128	A5SS	Skipping	0.268	0.514711340206185	BS_30VC3R2Q	H3 WT
CCDC159:11346531-11346634_11346530-11346627_11349653-11349687	A5SS	Skipping	0.222	0.445731092436975	BS_30VC3R2Q	H3 WT
C12orf57:6944476-6944652_6944475-6944565_6945770-6946002	A5SS	Skipping	0.81	0.888540983606558	BS_30VC3R2Q	H3 WT
DCAF11:24115382-24115749_24115381-24115726_24116916-24117044	A5SS	Skipping	0.634	0.786767857142857	BS_30VC3R2Q	H3 WT
HHLA3:70354798-70355111_70354797-70355107_70366443-70366537	A5SS	Skipping	0.209	0.389712962962963	BS_30VC3R2Q	H3 WT
COX4I1:85804937-85805153_85804936-85805104_85805732-85805864	A5SS	Inclusion	0.032	0.0152454545454545	BS_30VC3R2Q	H3 WT
RPL35A:197951159-197951328_197951158-197951311_197954002-197954147	A5SS	Inclusion	0.013000000000000001	0.00776923076923077	BS_30VC3R2Q	H3 WT
PIK3R6:8838296-8838655_8838563-8838655_8837802-8837871	A5SS	Skipping	0.185	0.41	BS_30VC3R2Q	H3 WT
SHANK2:70490276-70490387_70490302-70490387_70485313-70487720	A5SS	Skipping	0.794	0.89	BS_30VC3R2Q	H3 WT
TPP1:6616315-6616859_6616660-6616859_6616004-6616074	A5SS	Skipping	0.6759999999999999	0.927444444444445	BS_30VC3R2Q	H3 WT
SLC25A19:75288388-75288591_75288501-75288591_75286632-75286802	A5SS	Inclusion	0.758	0.492476923076923	BS_30VC3R2Q	H3 WT
CCDC136:128801186-128801509_128801185-128801473_128804649-128804761	A5SS	Skipping	0.505	0.734266666666666	BS_30VC3R2Q	H3 WT
TCF25:89908966-89909107_89908965-89909083_89910590-89910663	A5SS	Skipping	0.603	0.77086	BS_30VC3R2Q	H3 WT
MEF2A:99671520-99671669_99671519-99671657_99674392-99674612	A5SS	Inclusion	0.228	0.107714285714286	BS_30VC3R2Q	H3 WT
JMJD8:683861-684155_683909-684155_683684-683781	A5SS	Skipping	0.795	0.875782051282051	BS_30VC3R2Q	H3 WT
LINC01322:165382795-165382959_165382794-165382907_165460451-165460632	A5SS	Inclusion	0.659	0.487125	BS_30VC3R2Q	H3 WT
AEBP1:44111507-44111772_44111506-44111630_44111853-44112050	A5SS	Inclusion	0.027999999999999997	0.0114677419354839	BS_30VC3R2Q	H3 WT
ZNF34:144780228-144780280_144780231-144780280_144778438-144778525	A5SS	Skipping	0.747	0.837163265306122	BS_30VC3R2Q	H3 WT
CHROMR:178426366-178426661_178426365-178426505_178430694-178430889	A5SS	Skipping	0.364	0.569925925925926	BS_30VC3R2Q	H3 WT
