splicing_event	histology	type
SNX7:98662697-98662816_98661809-98661911_98684884-98685067	HGG	skipping
MIR9-1HG:156416769-156416864_156414653-156414753_156421554-156421809	HGG	skipping
TPT1:45337467-45337553_45336898-45337388_45338659-45338776	HGG	skipping
SNHG16:76558374-76559043_76557777-76557857_76561287-76561398	HGG	skipping
SNHG29:16439528-16439703_16439062-16439414_16440184-16440253	HGG	skipping
SNHG29:16439581-16439692_16439326-16439414_16440184-16440253	HGG	skipping
SNHG29:16439581-16439703_16439077-16439414_16440184-16440253	HGG	skipping
NME1:51154225-51154444_51153575-51153662_51155650-51155780	HGG	skipping
ZDHHC20:21381901-21381945_21381433-21381549_21382919-21383009	HGG	skipping
RNASE1:20802249-20802319_20801345-20802093_20802796-20802855	HGG	skipping
RNASE1:20802249-20802331_20801459-20802093_20802796-20802848	HGG	skipping
ELOC:73964487-73964625_73959764-73959818_73972076-73972252	HGG	skipping
DBI:119367559-119367644_119366988-119367060_119368187-119368305	HGG	skipping
ADGRE5:14396342-14396473_14390923-14391079_14397657-14397804	HGG	skipping
SNHG16:76558945-76559043_76557756-76557857_76561287-76561398	HGG	skipping
WBP1:74459438-74459552_74458473-74458671_74459642-74459745	HGG	skipping
WBP1:74459478-74459562_74458449-74458671_74459642-74459745	HGG	skipping
CENPX:82019510-82019694_82019292-82019381_82019857-82019909	HGG	skipping
ZNF542P:56374686-56374825_56373530-56373623_56376866-56379553	EPN	skipping
AP4M1:100102246-100102393_100101879-100101968_100102674-100102781	EPN	skipping
USP21:161160329-161160506_161159520-161159678_161160619-161160992	EPN	skipping
USP21:161160366-161160506_161159449-161159678_161160619-161161240	EPN	skipping
SLC10A7:146256826-146256936_146256490-146256520_146258691-146258837	EPN	skipping
DNAJC5:63931109-63931182_63930850-63931022_63931464-63936031	EPN	skipping
GUSB:65974919-65975071_65974525-65974704_65976014-65976202	EPN	skipping
LSAMP:115834562-115834597_115809793-115810414_115841844-115841993	EPN	skipping
PPP4R3A:91466261-91466416_91465249-91465419_91470836-91470995	EPN	skipping
SPIRE1:12459755-12459928_12454345-12454483_12463350-12463493	EPN	skipping
GOLGA2:128267194-128267259_128266286-128266325_128267457-128267517	EPN	skipping
NCAM1:113221296-113221325_113214368-113214511_113231644-113231795	EPN	skipping
LRRC23:6905845-6905954_6905584-6905759_6906408-6906455	EPN	skipping
SHC1:154973293-154973508_154970031-154970199_154974247-154974395	EPN	skipping
EPN2:19285620-19285790_19282949-19283714_19309884-19309997	EPN	skipping
PPP4R1:9562922-9563046_9561979-9562075_9563377-9563550	EPN	skipping
ELP2:36139419-36139613_36138794-36138872_36141136-36141201	EPN	skipping
ZNF542P:56374686-56374757_56373530-56373623_56376866-56377366	EPN	skipping
MRPS31P4:52629219-52629359_52627437-52627578_52632421-52632494	EPN	skipping
CIRBP:1273494-1273715_1271980-1272051_1274306-1274440	EPN	skipping
CIRBP:1273601-1273715_1271980-1272051_1274306-1274440	EPN	skipping
AKT3:243564285-243564387_243563719-243563848_243572925-243573048	EPN	skipping
SCRIB:143793257-143793340_143792975-143793083_143793899-143793962	EPN	skipping
MYL6:56159498-56159622_56158683-56158711_56159974-56160148	EPN	skipping
CDC42SE1:151056656-151056786_151055582-151055993_151059478-151059773	EPN	skipping
TAF6:100118518-100118649_100114053-100114268_100118879-100119354	EPN	skipping
SMARCA4:11039458-11039553_11034913-11035132_11041297-11041560	EPN	skipping
U2AF1L4:35743155-35743345_35742530-35742803_35743808-35743904	EPN	skipping
DNAJC21:34949543-34949677_34945721-34945803_34950169-34950257	EPN	skipping
TM2D3:101651696-101651773_101650003-101650161_101652270-101652381	EPN	skipping
TMEM11:21211067-21211227_21198255-21198840_21214090-21214163	EPN	skipping
PHF8:53993601-53993903_53992735-53992839_53995692-53995782	EPN	skipping
THTPA:23556743-23557034_23556270-23556343_23558694-23558898	EPN	skipping
THTPA:23556743-23557039_23556270-23556343_23558694-23558859	EPN	skipping
THTPA:23556743-23557304_23556006-23556343_23558694-23559574	EPN	skipping
PAM:103025134-103025334_103019789-103019843_103028181-103028238	EPN	skipping
ZMIZ2:44760151-44760228_44759280-44759460_44760424-44760593	EPN	skipping
FAM47E-STBD1:76256178-76256523_76251720-76251820_76263703-76263843	EPN	skipping
GNPDA1:142012288-142012339_142011911-142012041_142012994-142013030	EPN	skipping
TCERG1:146510067-146510160_146509144-146509245_146510440-146510765	EPN	skipping
ALG14:95041493-95041612_95027128-95027260_95064865-95065017	EPN	skipping
DGUOK:73938910-73939022_73926825-73927052_73946718-73946906	EPN	skipping
TAF6:100118518-100118653_100114053-100114268_100118879-100119298	EPN	skipping
CLASP1:121445449-121445496_121430072-121430177_121447336-121447507	EPN	skipping
KCNMA1:76974487-76974573_76969973-76970067_77011966-77012043	EPN	skipping
SPATS2L:200378141-200378371_200329430-200329480_200389222-200389283	EPN	skipping
ST7:117098613-117098815_117020217-117020629_117099761-117099844	EPN	skipping
PI4KB:151310211-151310255_151307573-151307801_151315572-151316509	EPN	skipping
ATXN2L:28836326-28836490_28835932-28836122_28836727-28837237	EPN	skipping
PSMC5:63827829-63827923_63827445-63827514_63828137-63828209	EPN	skipping
PSMC5:63827851-63827923_63827459-63827514_63828137-63828209	EPN	skipping
ANKMY1:240526229-240526445_240525684-240525849_240529036-240529509	EPN	skipping
ZMYND12:42449918-42450059_42439855-42440025_42455887-42456022	EPN	skipping
NRG3:82984783-82984854_82978949-82979120_82985097-82985605	EPN	skipping
CFAP44:113373411-113373556_113366038-113366309_113379305-113379551	EPN	skipping
PPP6R2:50388986-50389111_50372071-50372150_50393892-50394135	EPN	skipping
EMC10:50481861-50481947_50480883-50480977_50482148-50483351	EPN	skipping
NUTM2A-AS1:87307957-87308060_87287958-87288495_87326629-87326672	EPN	skipping
GKAP1:83768818-83768970_83753257-83753359_83780381-83780404	EPN	skipping
MAP3K7:90544552-90544632_90536336-90536401_90547257-90547387	EPN	skipping
PPP2R5C:101917831-101917947_101912400-101912473_101925140-101925307	EPN	skipping
TMEM11:21210936-21211227_21197953-21198840_21214090-21214161	EPN	skipping
UBE2D4:43928014-43928111_43926437-43926556_43938430-43938494	EPN	skipping
SMAD4:51077307-51077419_51076637-51076776_51078255-51079470	EPN	skipping
THNSL2:88185328-88185479_88182947-88183073_88185897-88186626	EPN	skipping
NELL2:44875507-44875639_44875224-44875353_44875814-44875900	EPN	skipping
FAAP20:2192845-2192975_2189712-2189781_2193638-2193910	EPN	skipping
ENSG00000268434:45780214-45780381_45779777-45779869_45782192-45782250	EPN	skipping
PTPRZ1:122012648-122012821_122010333-122011309_122019123-122019268	EPN	skipping
EIF4G3:20997601-20997633_20981047-20981227_21002712-21002808	EPN	skipping
KLC1:103692359-103692425_103686862-103687211_103700654-103700727	EPN	skipping
SNCAIP:122336788-122336904_122312182-122312284_122391088-122391176	EPN	skipping
TP73-AS1:3742430-3742517_3739457-3740387_3742803-3742858	EPN	skipping
ADAM15:155061904-155061975_155060762-155060832_155062244-155062369	EPN	skipping
RPGR:38287094-38287245_38276586-38276772_38290958-38291024	EPN	skipping
PRR3:30558150-30558212_30557294-30557450_30561833-30562124	EPN	skipping
GPM6B:13807650-13807769_13785621-13785808_13938506-13938638	EPN	skipping
BRCC3:155099315-155099389_155090783-155090839_155116056-155116183	EPN	skipping
MOV10:112686966-112687106_112674736-112675049_112688934-112689138	EPN	skipping
CDC42SE1:151056651-151056786_151055676-151055993_151059478-151059615	EPN	skipping
TKFC:61335840-61335937_61333548-61334731_61337940-61338083	EPN	skipping
JMJD6:76721263-76721356_76720359-76720498_76721797-76721933	EPN	skipping
LMBR1L:49106545-49106746_49105923-49105957_49106960-49107045	EPN	skipping
