splicing_event	histology	type
MYH14:50224154-50224177_50223246-50223349_50225584-50225677	CPG	skipping
CD44:35198121-35198246_35189834-35190065_35214851-35214914	CPG	skipping
CD44:35211246-35211449_35189834-35190065_35214851-35214861	CPG	skipping
MINK1:4892402-4892512_4892148-4892234_4892655-4892768	CPG	skipping
RAC1:6398662-6398718_6391923-6392041_6400125-6400188	CPG	skipping
MAP2:209723595-209723687_209709913-209710254_209725708-209725790	CPG	skipping
ENAH:225504991-225505053_225500991-225501070_225507950-225508017	CPG	skipping
EPB41L2:130878104-130878250_130869562-130870126_130885095-130885268	CPG	skipping
CCDC91:28225795-28225861_28190445-28190641_28257201-28257245	CPG	skipping
ARFGAP2:47172710-47172751_47172280-47172333_47173425-47173482	CPG	skipping
INF2:104715284-104715340_104714202-104714856_104718794-104719603	CPG	skipping
KIAA1217:24542693-24542770_24536773-24536893_24544980-24545103	CPG	skipping
NF2:29683020-29683064_29681438-29681601_29694751-29694811	CPG	skipping
ARHGAP17:24927684-24927732_24919394-24920260_24930783-24931160	CPG	skipping
VPS39:42192066-42192098_42191495-42191560_42199895-42199961	CPG	skipping
FGFR1:38423025-38423175_38421796-38421941_38424508-38424699	CPG	skipping
CD44:35198121-35198246_35189834-35190065_35208104-35208206	CPG	skipping
CD44:35206112-35206243_35189834-35190065_35208104-35208137	CPG	skipping
CD44:35209965-35210054_35189834-35190065_35211245-35211253	CPG	skipping
STON2:81324017-81324187_81276900-81278739_81370987-81371185	CPG	skipping
SLK:104010816-104010908_104008176-104008356_104018159-104018289	CPG	skipping
FGFR2:121518682-121518829_121517318-121517463_121519978-121520169	CPG	skipping
YAP1:102209517-102209564_102205892-102206074_102223621-102223752	CPG	skipping
BAIAP2:81110914-81110959_81108474-81108509_81115769-81116224	CPG	skipping
DNM2:10796061-10796199_10795371-10795439_10797379-10797518	CPG	skipping
YAP1:102209517-102209564_102205892-102206086_102223621-102223752	CPG	skipping
FLNB:58141858-58141929_58138281-58138529_58142649-58142752	CPG	skipping
FLNB:58141858-58141896_58138281-58138529_58142649-58142752	CPG	skipping
ZNF542P:56374686-56374825_56373530-56373623_56376866-56379553	EPN	skipping
ZNF542P:56374686-56374757_56373530-56373623_56376866-56377366	EPN	skipping
MYL6:56159498-56159622_56158683-56158711_56159974-56160148	EPN	skipping
TAF6:100118518-100118649_100114053-100114268_100118879-100119354	EPN	skipping
USP21:161160329-161160506_161159520-161159678_161160619-161160992	EPN	skipping
USP21:161160366-161160506_161159449-161159678_161160619-161161240	EPN	skipping
PAM:103025134-103025334_103019789-103019843_103028181-103028238	EPN	skipping
FAM47E-STBD1:76256178-76256523_76251720-76251820_76263703-76263843	EPN	skipping
GNPDA1:142012288-142012339_142011911-142012041_142012994-142013030	EPN	skipping
TCERG1:146510067-146510160_146509144-146509245_146510440-146510765	EPN	skipping
PPP4R3A:91466261-91466416_91465249-91465419_91470836-91470995	EPN	skipping
DGUOK:73938910-73939022_73926825-73927052_73946718-73946906	EPN	skipping
TAF6:100118518-100118653_100114053-100114268_100118879-100119298	EPN	skipping
CLASP1:121445449-121445496_121430072-121430177_121447336-121447507	EPN	skipping
LRRC23:6905845-6905954_6905584-6905759_6906408-6906455	EPN	skipping
ANKMY1:240526229-240526445_240525684-240525849_240529036-240529509	EPN	skipping
LSAMP:115834562-115834597_115809793-115810414_115841844-115841993	EPN	skipping
PTPRZ1:122012648-122012821_122010333-122011309_122019123-122019268	EPN	skipping
PPP4R1:9562922-9563046_9561979-9562075_9563377-9563550	EPN	skipping
ADAM15:155061904-155061975_155060762-155060832_155062244-155062369	EPN	skipping
LMBR1L:49106545-49106746_49105923-49105957_49106960-49107045	EPN	skipping
PDZD11:70289522-70289593_70289254-70289354_70289859-70289945	EPN	skipping
DMPK:45780323-45780381_45779777-45779869_45782192-45782552	EPN	skipping
MAP3K7:90544552-90544632_90536336-90536401_90547257-90547387	EPN	skipping
SMARCA4:11039458-11039553_11034913-11035132_11041306-11041560	EPN	skipping
NCAM1:113236301-113236315_113235032-113235164_113255876-113256001	EPN	skipping
EMC10:50481861-50481947_50480883-50480977_50482148-50483351	EPN	skipping
NPTN:73597022-73597369_73591965-73592137_73633124-73633244	MB	skipping
CDCA7:173359255-173359491_173358711-173358837_173363225-173363462	MB	skipping
CDCA7:173359343-173359491_173358711-173358837_173363225-173363462	MB	skipping
ZFYVE21:103729793-103729846_103729090-103729182_103732619-103732762	MB	skipping
MAN2A2:90916586-90916660_90916122-90916256_90918193-90918388	MB	skipping
EPB41:29058589-29058645_29053103-29053312_29060421-29060484	MB	skipping
CASK:41557032-41557100_41555599-41555635_41559778-41559847	MB	skipping
STX16:58659623-58659634_58651271-58652087_58667489-58667597	MB	skipping
PARP6:72249245-72249314_72242619-72242699_72250019-72250092	MB	skipping
SMG7:183547103-183547252_183545965-183546337_183549207-183549288	MB	skipping
MEAF6:37496547-37496604_37495873-37495918_37501803-37501996	MB	skipping
OCRL:129584344-129584367_129576316-129576552_129587001-129587118	MB	skipping
DLG1:197075837-197075870_197069216-197069260_197076585-197076682	MB	skipping
MSI2:57650650-57650673_57627228-57627303_57652098-57652161	MB	skipping
EYA3:28027789-28027926_28017153-28017239_28035543-28035680	MB	skipping
GOLGA4:37361243-37361305_37355100-37355187_37366079-37366879	MB	skipping
KLC1:103684986-103685036_103679383-103679545_103687080-103687211	MB	skipping
ZEB2:144518293-144518446_144517277-144517419_144519938-144520361	MB	skipping
NEO1:73274692-73274724_73273810-73274005_73278130-73278199	MB	skipping
MAP4K4:101860825-101860986_101859642-101859864_101864929-101865036	MB	skipping
ADD1:2926639-2926675_2926013-2926112_2928170-2929307	MB	skipping
ADD1:2926642-2926675_2926013-2926112_2928170-2928523	MB	skipping
MACF1:39465095-39465112_39463611-39463686_39468614-39468732	MB	skipping
MBNL1:152446704-152446757_152445281-152445539_152447619-152447773	MB	skipping
SLC44A2:10642897-10643021_10642366-10642451_10643278-10644130	MB	skipping
ASPH:61682439-61682483_61680967-61681036_61684038-61684188	MB	skipping
ACBD5:27223207-27223239_27219722-27219857_27223337-27223452	MB	skipping
SEC24C:73762098-73762166_73760712-73760849_73763489-73763555	MB	skipping
SH3GLB1:86728403-86728489_86724312-86724405_86734601-86734691	MB	skipping
AP2M1:184180562-184180650_184180168-184180251_184180848-184180984	MB	skipping
AP2M1:184180645-184180741_184180168-184180251_184180848-184180984	MB	skipping
PPFIA1:70349923-70350039_70348188-70348420_70354300-70354452	MB	skipping
APLP2:130137256-130137291_130135562-130135715_130140397-130140483	MB	skipping
WNK1:880721-880999_878211-878361_881691-881789	MB	skipping
MAPK9:180247663-180247728_180246544-180247510_180248972-180249138	MB	skipping
NCOR2:124374413-124374463_124372021-124372610_124378236-124378384	MB	skipping
MYCBP2:77118340-77118495_77097369-77099013_77121372-77121495	MB	skipping
MYCBP2:77118340-77118519_77097369-77099013_77121372-77121495	MB	skipping
SLAIN1:77743016-77743165_77719531-77719671_77744282-77744432	MB	skipping
FERMT2:52861014-52861034_52860340-52860465_52864400-52864622	MB	skipping
TCF12:57252421-57252492_57251168-57251423_57253261-57253468	MB	skipping
NFIB:14102422-14102510_14081842-14088326_14120439-14120624	MB	skipping
MED24:40034916-40034972_40033344-40033456_40035116-40035349	MB	skipping
IMPDH1:128393722-128393738_128392276-128393028_128394277-128394361	MB	skipping
PSMA3-AS1:58293066-58293138_58291634-58291707_58297954-58298084	MB	skipping
MBNL2:97356796-97356849_97346803-97347067_97357481-97357635	MB	skipping
STRADA:63723298-63723326_63714005-63714108_63726637-63726695	MB	skipping
HNRNPA1:54283079-54283234_54282799-54282874_54283811-54283967	MB	skipping
ALAS1:52198672-52198848_52198093-52198255_52199209-52199440	MB	skipping
TNIK:171107183-171107206_171101448-171101633_171108064-171108162	MB	skipping
TCERG1:146468341-146468403_146463550-146463793_146469543-146469744	MB	skipping
DOCK7:62544947-62545039_62543655-62543745_62552731-62552761	MB	skipping
MBD1:50275370-50275444_50275128-50275245_50275599-50275728	MB	skipping
TEAD2:49355959-49355970_49355302-49355419_49357251-49357314	MB	skipping
DVL1:1337018-1337055_1336411-1336515_1337976-1338183	MB	skipping
MAP4K4:101871494-101871685_101870294-101870415_101873646-101873764	MB	skipping
WNK1:879573-880031_877093-878361_880720-880814	MB	skipping
SCRIB:143791666-143791740_143791388-143791440_143791875-143791913	MB	skipping
TBC1D1:38053106-38053225_38049617-38049898_38054198-38054338	MB	skipping
CTNNB1:41224190-41224321_41224020-41224081_41224525-41224711	MB	skipping
TBC1D1:38051899-38052060_38049617-38049898_38054198-38054338	MB	skipping
OSBPL8:76459859-76459895_76450850-76450988_76487509-76487618	MB	skipping
OSBPL8:76459859-76459895_76450900-76450979_76487509-76487618	MB	skipping
TCF3:1615285-1615520_1612206-1612433_1615685-1615804	MB	skipping
BIN1:127052255-127052362_127051153-127051243_127059010-127059155	MB	skipping
KIF21B:200983056-200983094_200980959-200981096_200984858-200984972	MB	skipping
CHL1:398227-398385_394692-394872_399016-399148	MB	skipping
TRRAP:98945747-98945800_98942948-98943017_98948220-98948340	MB	skipping
NHSL1:138441983-138442114_138430392-138433680_138447000-138447193	MB	skipping
NLGN3:71148846-71148905_71147549-71148206_71153476-71153536	MB	skipping
MPDZ:13143466-13143564_13139986-13140149_13147547-13147658	MB	skipping
ABLIM1:114453379-114453483_114451623-114451671_114465697-114465827	MB	skipping
AFTPH:64581190-64581273_64579485-64579546_64585421-64585545	MB	skipping
MYO10:16738136-16738398_16711159-16711245_16741803-16741880	ATRT	skipping
TMEM94:75457294-75457477_75456649-75456751_75471799-75471929	ATRT	skipping
CCNDBP1:43194081-43194137_43192742-43192803_43194414-43194461	ATRT	skipping
CADM2:85979164-85979283_85961468-85961647_86065604-86065730	ATRT	skipping
PDZD2:32100862-32100963_32098596-32098634_32101104-32101239	ATRT	skipping
RABGAP1L:174877392-174877605_174811831-174811960_174957456-174957549	ATRT	skipping
DMD:31177932-31177970_31173538-31173604_31178668-31178805	ATRT	skipping
UGP2:63842059-63842204_63840953-63841232_63856305-63856433	ATRT	skipping
FN1:215392931-215393203_215391631-215391814_215394527-215394719	ATRT	skipping
ANK3:60145968-60146021_60138516-60139087_60166590-60166653	ATRT	skipping
DST:56464685-56464756_56463564-56463764_56466077-56466195	GNG	skipping
G3BP2:75653983-75654081_75648638-75648741_75655065-75655246	GNG	skipping
RAP1GAP:21603658-21603912_21602803-21602913_21606065-21606197	GNG	skipping
RAP1GAP:21603835-21603912_21602803-21602913_21606065-21606197	GNG	skipping
KCNAB2:6041831-6041872_6040516-6040645_6072754-6072788	GNG	skipping
AAK1:69495985-69496080_69457996-69466551_69505568-69505673	GNG	skipping
TNK2:195869497-195869541_195867360-195868709_195870113-195870168	GNG	skipping
KIAA1217:24494500-24494604_24473227-24474060_24495146-24495196	GNG	skipping
MPRIP:17164109-17167915_17161239-17161356_17171717-17171865	GNG	skipping
R3HDM1:135616668-135616757_135604855-135605016_135621493-135621608	GNG	skipping
PKP4:158533438-158533534_158533179-158533316_158577270-158577383	GNG	skipping
PPFIA2:81284241-81284303_81281256-81281450_81294834-81295035	GNG	skipping
APLP2:130137256-130137291_130135562-130135715_130140397-130140483	GNG	skipping
SETD5:9436850-9436888_9435727-9435906_9440455-9440698	GNG	skipping
MEF2A:99703362-99703385_99690240-99690428_99706728-99706855	GNG	skipping
CSNK1A1:149517794-149517877_149513069-149513209_149520289-149520388	GNG	skipping
ATP2B4:203733223-203733400_203727394-203727571_203739545-203739644	GNG	skipping
