Gene_Symbol	type	file
A1CF	CosmicCensus	Census_allTue Sep 17 18_59_30 2019.tsv
AAK1	Kinase	Kincat_Hsap.08.02.txt, PfamKinase
AATK	Kinase	PfamKinase
ABCG2	TumorSuppressorGene	TumorSuppressorGene.txt
ABI1	CosmicCensus	Census_allTue Sep 17 18_59_30 2019.tsv
ABI2	TumorSuppressorGene	TumorSuppressorGene.txt
ABL1	Kinase, CosmicCensus, Oncogene	Kincat_Hsap.08.02.txt, Census_allTue Sep 17 18_59_30 2019.tsv, PfamKinase, OncoKBv20240704
ABL2	Kinase, CosmicCensus, Oncogene	Kincat_Hsap.08.02.txt, Census_allTue Sep 17 18_59_30 2019.tsv, PfamKinase, OncoKBv20240704
ABRAXAS1	TumorSuppressorGene	OncoKBv20240704
AC008770.3	TranscriptionFactor	addTF_JL.tsv
AC023509.3	TranscriptionFactor	addTF_JL.tsv
AC092835.1	TranscriptionFactor	addTF_JL.tsv
AC138696.1	TranscriptionFactor	addTF_JL.tsv
ACHE	TumorSuppressorGene	TumorSuppressorGene.txt
ACK	Kinase	Kincat_Hsap.08.02.txt
ACKR3	CosmicCensus, Oncogene, TumorSuppressorGene	Census_allTue Sep 17 18_59_30 2019.tsv, OncoKBv20240704
ACSL3	CosmicCensus	Census_allTue Sep 17 18_59_30 2019.tsv
ACSL6	CosmicCensus	Census_allTue Sep 17 18_59_30 2019.tsv
ACTG1	TumorSuppressorGene	OncoKBv20240704
ACTR2	Kinase	Kincat_Hsap.08.02.txt
ACTR2B	Kinase	Kincat_Hsap.08.02.txt
ACVR1	CosmicCensus, Kinase, Oncogene	Census_allTue Sep 17 18_59_30 2019.tsv, PfamKinase, OncoKBv20240704
ACVR1B	Kinase, TumorSuppressorGene	PfamKinase, OncoKBv20240704
ACVR1C	TumorSuppressorGene, Kinase	TumorSuppressorGene.txt, PfamKinase
ACVR2A	CosmicCensus, Kinase	Census_allTue Sep 17 18_59_30 2019.tsv, PfamKinase
ACVR2B	Kinase	PfamKinase
ACVRL1	Kinase	PfamKinase
ACY1	TumorSuppressorGene	TumorSuppressorGene.txt
ADAMTS18	TumorSuppressorGene	TumorSuppressorGene.txt
ADAMTS8	TumorSuppressorGene	TumorSuppressorGene.txt
ADAMTS9	TumorSuppressorGene	TumorSuppressorGene.txt
ADAMTS9-AS2	TumorSuppressorGene	TumorSuppressorGene.txt
ADARB1	TumorSuppressorGene	TumorSuppressorGene.txt
ADCK1	Kinase	Kincat_Hsap.08.02.txt
ADCK2	Kinase	Kincat_Hsap.08.02.txt
ADCK3	Kinase	Kincat_Hsap.08.02.txt
ADCK4	Kinase	Kincat_Hsap.08.02.txt
ADCK5	Kinase	Kincat_Hsap.08.02.txt
ADHFE1	Oncogene	OncoKBv20240704
ADNP	TranscriptionFactor	addTF_JL.tsv
ADNP2	TranscriptionFactor	addTF_JL.tsv
ADPRH	TumorSuppressorGene	TumorSuppressorGene.txt
AEBP1	TranscriptionFactor	addTF_JL.tsv
AEBP2	TranscriptionFactor	addTF_JL.tsv
AFAP1L2	TumorSuppressorGene	TumorSuppressorGene.txt
AFDN	CosmicCensus	Census_allTue Sep 17 18_59_30 2019.tsv
AFF1	CosmicCensus	Census_allTue Sep 17 18_59_30 2019.tsv
AFF3	CosmicCensus	Census_allTue Sep 17 18_59_30 2019.tsv
AFF4	CosmicCensus, Oncogene	Census_allTue Sep 17 18_59_30 2019.tsv, OncoKBv20240704
AGO1	Oncogene	OncoKBv20240704
AGTR1	TumorSuppressorGene	TumorSuppressorGene.txt
AHCTF1	TranscriptionFactor	addTF_JL.tsv
AHCYL1	TumorSuppressorGene	TumorSuppressorGene.txt
AHDC1	TranscriptionFactor	addTF_JL.tsv
AHNAK	TumorSuppressorGene	TumorSuppressorGene.txt
AHR	TumorSuppressorGene, TranscriptionFactor	TumorSuppressorGene.txt, addTF_JL.tsv
AHRR	TumorSuppressorGene, TranscriptionFactor	TumorSuppressorGene.txt, addTF_JL.tsv
AIF1	TumorSuppressorGene	TumorSuppressorGene.txt
AIM2	TumorSuppressorGene	TumorSuppressorGene.txt
AIMP1	TumorSuppressorGene	TumorSuppressorGene.txt
AIMP2	TumorSuppressorGene	TumorSuppressorGene.txt
AIP	TumorSuppressorGene	TumorSuppressorGene.txt
AIRE	TranscriptionFactor	addTF_JL.tsv
AJAP1	TumorSuppressorGene	TumorSuppressorGene.txt
AJUBA	TumorSuppressorGene	OncoKBv20240704
AKAP12	TumorSuppressorGene	TumorSuppressorGene.txt
AKAP8	TranscriptionFactor	addTF_JL.tsv
AKAP8L	TranscriptionFactor	addTF_JL.tsv
AKAP9	CosmicCensus	Census_allTue Sep 17 18_59_30 2019.tsv
AKNA	TranscriptionFactor	addTF_JL.tsv
AKR1B1	TumorSuppressorGene	TumorSuppressorGene.txt
AKT1	Kinase, CosmicCensus, Oncogene	Kincat_Hsap.08.02.txt, Census_allTue Sep 17 18_59_30 2019.tsv, PfamKinase, OncoKBv20240704
AKT2	Kinase, CosmicCensus, Oncogene	Kincat_Hsap.08.02.txt, Census_allTue Sep 17 18_59_30 2019.tsv, PfamKinase, OncoKBv20240704
AKT3	Kinase, CosmicCensus, Oncogene	Kincat_Hsap.08.02.txt, Census_allTue Sep 17 18_59_30 2019.tsv, PfamKinase, OncoKBv20240704
ALDH18A1	Kinase	PfamKinase
ALDH1A2	TumorSuppressorGene	TumorSuppressorGene.txt
ALDH1L2	Oncogene	OncoKBv20240704
ALDH2	CosmicCensus, TumorSuppressorGene	Census_allTue Sep 17 18_59_30 2019.tsv, OncoKBv20240704
ALK	Kinase, CosmicCensus, Oncogene	Kincat_Hsap.08.02.txt, Census_allTue Sep 17 18_59_30 2019.tsv, PfamKinase, OncoKBv20240704
ALK1	Kinase	Kincat_Hsap.08.02.txt
ALK2	Kinase	Kincat_Hsap.08.02.txt
ALK4	Kinase	Kincat_Hsap.08.02.txt
ALK7	Kinase	Kincat_Hsap.08.02.txt
ALOX12B	Oncogene, TumorSuppressorGene	OncoKBv20240704
ALOX15	TumorSuppressorGene	TumorSuppressorGene.txt
ALOX15B	TumorSuppressorGene	TumorSuppressorGene.txt
ALPK1	Kinase	PfamKinase
ALPK2	Kinase	PfamKinase
ALPK3	Kinase	PfamKinase
ALPL	TumorSuppressorGene	TumorSuppressorGene.txt
ALX1	TranscriptionFactor	addTF_JL.tsv
ALX3	TranscriptionFactor	addTF_JL.tsv
ALX4	TranscriptionFactor	addTF_JL.tsv
AMER1	TumorSuppressorGene, CosmicCensus	TumorSuppressorGene.txt, Census_allTue Sep 17 18_59_30 2019.tsv, OncoKBv20240704
AMH	TumorSuppressorGene	TumorSuppressorGene.txt
AMHR2	Kinase	PfamKinase
AMPKa1	Kinase	Kincat_Hsap.08.02.txt
AMPKa2	Kinase	Kincat_Hsap.08.02.txt
ANAPC1	TumorSuppressorGene	TumorSuppressorGene.txt
ANGPTL4	TumorSuppressorGene	TumorSuppressorGene.txt
ANHX	TranscriptionFactor	addTF_JL.tsv
ANK1	CosmicCensus	Census_allTue Sep 17 18_59_30 2019.tsv
ANKK1	Kinase	PfamKinase
ANKRD11	TumorSuppressorGene	OncoKBv20240704
ANKRD26	Oncogene	OncoKBv20240704
ANKRD3	Kinase	Kincat_Hsap.08.02.txt
ANKZF1	TranscriptionFactor	addTF_JL.tsv
ANP32A	TumorSuppressorGene	TumorSuppressorGene.txt
ANPa	Kinase	Kincat_Hsap.08.02.txt
ANPb	Kinase	Kincat_Hsap.08.02.txt
ANXA1	TumorSuppressorGene	TumorSuppressorGene.txt
ANXA7	TumorSuppressorGene	TumorSuppressorGene.txt
APAF1	TumorSuppressorGene	TumorSuppressorGene.txt
APC	TumorSuppressorGene, CosmicCensus	TumorSuppressorGene.txt, Census_allTue Sep 17 18_59_30 2019.tsv, OncoKBv20240704
APITD1	TumorSuppressorGene	TumorSuppressorGene.txt
APLNR	Oncogene, TumorSuppressorGene	OncoKBv20240704
APOBEC3B	CosmicCensus	Census_allTue Sep 17 18_59_30 2019.tsv
AR	CosmicCensus, TranscriptionFactor, Oncogene	Census_allTue Sep 17 18_59_30 2019.tsv, addTF_JL.tsv, OncoKBv20240704
ARAF	Kinase, CosmicCensus, Oncogene	Kincat_Hsap.08.02.txt, Census_allTue Sep 17 18_59_30 2019.tsv, PfamKinase, OncoKBv20240704
ARAFps	Kinase	Kincat_Hsap.08.02.txt
ARF1	TumorSuppressorGene	TumorSuppressorGene.txt
ARG1	TumorSuppressorGene	TumorSuppressorGene.txt
ARGFX	TranscriptionFactor	addTF_JL.tsv
ARHGAP26	CosmicCensus, Oncogene, TumorSuppressorGene	Census_allTue Sep 17 18_59_30 2019.tsv, OncoKBv20240704
ARHGAP29	TumorSuppressorGene	TumorSuppressorGene.txt
ARHGAP35	TranscriptionFactor, Oncogene, TumorSuppressorGene	addTF_JL.tsv, OncoKBv20240704
ARHGAP5	CosmicCensus	Census_allTue Sep 17 18_59_30 2019.tsv
ARHGEF10	CosmicCensus	Census_allTue Sep 17 18_59_30 2019.tsv
ARHGEF10L	CosmicCensus	Census_allTue Sep 17 18_59_30 2019.tsv
ARHGEF12	TumorSuppressorGene, CosmicCensus, Oncogene	TumorSuppressorGene.txt, Census_allTue Sep 17 18_59_30 2019.tsv, OncoKBv20240704
ARHGEF28	Oncogene	OncoKBv20240704
ARID1A	TumorSuppressorGene, CosmicCensus	TumorSuppressorGene.txt, Census_allTue Sep 17 18_59_30 2019.tsv, OncoKBv20240704
