RNA	S433	S482	S448
-0.920857954	-2.003573451	-1.775036485	-0.537402661
1.570409721	0.769580065	0.829279403	0.548339938
0.143534776	0.866885565	-0.077112394	0.922303585
-0.44941545	-0.192078932	-0.102886877	0.938193642
-0.323644538	-0.469177136	-1.247921908	-0.474528158
	-1.18741568	-1.338977231	-1.130253409
-0.938751517	-1.310687965	0.38519946	-1.648878235
0.071870091	-0.018865983	-0.181475188	-0.171659491
	1.275642027	1.302751793	1.151802574
0.59388767	-0.559280098	-0.320783158	-0.795848136
	-0.561948946	-0.460902256	-0.038669604
-0.042785767	-1.467221811	-0.763809105	-1.562579323
0.272982881	-0.149531225	0.734353504	0.127835701
-0.098339385	-0.368699842	-0.408309039	-0.175336775
-1.480525522	-1.318694817	-1.458447961	-0.988745688
2.019270795	1.591810582	1.446181213	1.520049674
0.29950131	-1.477731015	-0.844106754	-0.245179935
-1.112608017	-0.27749988	-0.253336514	-0.299882315
-0.930601112	0.050279111	-0.619433456	0.907907673
-0.246333235	-0.963043251	-1.873816303	-1.172892968
	-0.36467767	-1.178554087	-0.618008002
	-0.497099179	-1.295181375	-1.411583747
-0.625071868	-0.986397536	-1.735086936	-0.808327566
1.042056185	-1.065255444	-0.554147153	-1.394293394
1.530028192	2.113180709	0.386813374	0.78919817
-1.153378969	-1.266932051	-1.684663819	-2.063773235
-0.034852642	-0.106230398	-0.205209523	0.162963353
	0.372988526	-0.883282932	-0.005923438
-0.558112446	0.780408521	0.622476576	0.780703541
-0.461961027	0.57991764	-0.428533929	1.175951428
-0.221672744	0.106514425	0.044397857	-0.491875439
-0.138199229	-0.610348603	0.805801651	-0.220717413
	0.909202081	0.653530905	1.158848952
1.109112253	1.155602854	0.818946015	2.318238863
-1.033686567	0.049225731	0.297263922	-0.045524055
1.167608517	0.311044762	-1.5539947	-1.022244289
1.197215353	1.726546516	1.662780944	1.755185347
1.81534861	0.711659419	0.608063148	1.054194192
0.448411862	-0.101029871	0.893865808	0.059593576
0.140451365	0.271525133	-0.179073561	0.209462853
2.612134975	1.132090679	1.768859606	1.476706048
-0.170943247	-1.733554852	-0.487590455	-1.951710001
-0.717414487	-0.75971406	-0.970145266	-0.568585797
-0.314236739	-1.943632564	-1.356854951	-1.027289678
-1.487558168	-1.389388633	-1.15072851	-1.044228042
-0.935630907	-1.824297551	-1.273771762	-1.825824941
-0.17495965	0.903779547	0.811940452	0.568707351
0.615790568	0.955083956	1.153722423	1.203553848
-1.433980139	-1.69536138	-0.138456903	-1.218349087
	-1.010489074	-0.767912453	0.594041774
-0.114122834	0.624421182	0.892944948	0.980688091
-0.875653669	-0.702801657	-0.771842384	-1.150373513
-0.863347728	0.265837049	0.061615557	0.219809686
-0.429905093	-0.086926244	0.806771936	-0.405719818
-0.493233877	0.125441512	-0.021945653	-0.618506191
0.589637693	-0.513304067	-0.434226268	-0.41523453
1.585083389	1.14581474	0.33079452	1.005720649
1.749816142	0.931555304	1.078011094	1.07103577
	0.313658976	0.303812567	0.322399557
-0.328608691	-0.039462374	-0.438643408	0.085628346
-0.550611467	0.0772295	-0.079225186	0.17489766
0.344364908	1.702306865	1.742220837	1.331453934
-0.413082475	0.280451594	0.781346611	0.195797179
1.202106448	0.613557134	0.761835384	0.654733326
0.829481336	0.631954222	0.803694214	0.318990142
-0.00891796	-1.372832065	-0.959523941	-1.204511019
0.214284457	-0.998312392	-1.024320565	-1.350870713
	-0.327442173	-0.867484869	-1.952371308
0.006499555	0.083597206	0.112195456	0.264333959
-1.132892798	-0.412592225	-0.138512522	-0.780788968
-0.62053691	-0.683943071	-1.182698756	-0.892068584
0.522736631	0.817070724	1.690171849	1.262745306
0.260897268	-0.208122135	-1.055612892	-0.618017488
-0.836168615	-1.053293065	-0.03680548	-0.591069003
0.576593733	1.489273174	1.285158986	1.36834989
-0.042304653	-0.16098471	-0.069555997	-0.190472239
-0.9812544	-1.339668324	-1.442695988	-1.078205658
0.337885284	0.477263156	0.268914691	-0.164303995
	-0.56830227	-1.138625505	-0.769854006
-1.450369756	-1.526545076	-1.142716413	-1.709675031
	0.235154474	0.437717231	-0.348429984
-1.101802636	0.796185081	0.818386973	0.678610668
0.174398472	0.410437379	0.769809083	-0.14289738
0.824366428	0.953765765	0.12492634	0.154468723
0.063585892	0.140384669	0.245178326	0.070025299
0.01530438	0.293074394	-0.267736994	0.059323658
	-0.769350876	1.25790301	-0.13756142
0.530814086	-0.41994214	-0.500488882	-0.357491991
-0.777459474	-0.509750403	-0.70332085	-0.94997242
0.294003953	0.309403728	1.11221301	0.807169987
-0.00098105	-1.256915876	-1.576931501	-1.881590316
-0.273975865	0.680928577	0.197128847	0.137036372
0.617092928	0.792175635	1.168879435	1.182083664
0.156882118	-1.320462164	-0.592899192	-0.454545318
-0.406312577	0.776996641	-0.571811625	0.639218538
0.706157788	-0.082077074	1.473558377	-0.213404694
0.648428321	-0.796745615	-0.539763029	-1.073542405
0.959128904	2.608043261	1.232268835	1.314943453
0.483653404	0.84025228	0.659502133	0.546606213
-0.279939696	-0.632184895	-1.986234865	-0.206131303
-0.518653432	-0.010939042	0.764451648	-0.098672805
1.943216335	1.501586139	1.685691397	1.215522938
0.923912248	1.393514179	1.210764711	1.110690496
2.065490034	0.995519621	1.047749949	0.802602942
-1.184525473	0.586273947	0.389727606	0.628329711
0.696290994	1.028373736	1.349694611	0.917937392
-1.550567707	-0.866684243	0.225529666	0.926797115
2.264257182	1.741833056	1.192320819	1.435011551
0.87682719	1.337391339	1.139361406	1.222056476
0.686343189	1.21174413	1.082155724	0.656094632
	0.246845739	0.410974116	0.353251304
-0.125806705	-0.551931454	0.681321593	-0.210108972
1.284370789	1.165040151	1.940155289	1.774972344
-0.488808697	-0.951273733	0.346138336	-0.06070063
2.005080433	-0.578631003	-0.970546447	-0.353707552
-0.333364681	-0.126034092	0.405597736	0.416452117
2.263790964	-1.014313485	-0.455484882	-1.320734858
-0.86981626	-1.23382948	-1.78761219	-1.388748449
-0.491327056	-0.893147132	-0.526296945	-0.861994324
-0.268472454	-0.108469921	0.274695829	-0.403250487
-0.851563781	-1.679830421	-1.257796493	-2.01307109
-0.393575933	-0.466658255	-0.440106625	1.252157463
1.526419979	1.265311431	1.141775401	1.283434519
0.627961375	0.174647594	-0.57646357	0.096441803
0.576660003	1.174447865	1.395903588	1.38143929
-0.153531587	0.317622652	0.225902113	0.350846406
-0.28700893	0.879660853	-0.319296583	0.846159555
-0.090749384	-0.341385869	-0.4491092	-0.516968229
1.472447235	0.999158353	1.543553318	1.810073471
0.235317972	-0.978296322	-0.052326056	0.200934662
-0.241537629	-0.385382031	-0.146106382	-0.50516929
-0.679303186	-0.283548878	-0.472130022	-0.1443509
	1.116075385	1.464563097	1.161677914
-2.69779048	-0.581184182	-0.247793469	0.540351958
0.003449009	0.533496175	0.759682625	0.339197571
-0.488124401	-0.404635708	-1.173318828	-0.219092076
	-1.514852615	-1.46970389	-1.699879534
-0.520287449	-1.320709582	-1.436991193	-1.298665315
0.227868799	1.380062705	-0.421954982	0.694207954
0.503994773	-0.736125143	-1.473190009	-0.136624782
-0.410739447	-0.914227481	-0.726199329	-0.679530638
-0.217778375	-0.716608606	-0.393323718	-0.989649691
-1.053860831	-1.08775605	-0.785015423	-0.879476575
0.444656519	0.842314105	0.921305833	0.275284987
-0.333809328	-1.732941857	-1.692925218	-1.641223487
1.52135392	1.529080528	1.22767167	1.551745876
