pathway	pval	padj	direction	genes
HALLMARK_INTERFERON_ALPHA_RESPONSE	3.6636477990545615e-11	1.8684603775178262e-9	down	UBA7,SP110,IFI44,CSF1,RIPK2,TRIM5,MX1,IFI44L,PLSCR1,IL4R,CASP1,CASP8,SAMD9L,TRIM14,IFI27,HERC6,TDRD7,OASL,WARS1,DHX58,RSAD2,TRIM21
HALLMARK_INTERFERON_GAMMA_RESPONSE	2.1178818006929734e-8	5.400598591767082e-7	down	SP110,IFI44,CIITA,RIPK2,MX1,ARL4A,UPP1,IFI44L,PLSCR1,IL4R,CD38,FAS,CASP1,XAF1,CASP8,SAMD9L,TRIM14,ST3GAL5,IFI27,HERC6,TDRD7,OASL,STAT3,WARS1,DHX58,CD40,IL18BP,RSAD2,TRIM21,IL10RA,IRF9,CMKLR1
HALLMARK_INFLAMMATORY_RESPONSE	6.670995565265073e-6	1.1340692460950625e-4	down	CALCRL,CSF1,AXL,P2RX7,RIPK2,IL4R,PTPRE,BEST1,OLR1,NLRP3,IRAK2,TLR1,CD40,TLR2,IL10RA,CMKLR1,CLEC5A,MET,CD55,SLC7A2,RNF144B,PCDH7,LPAR1,OSM,IRF1,ATP2B1,IL6,ABI1
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	4.803361328378749e-5	6.124285693682905e-4	down	ABI3BP,TNC,PRRX1,NTM,POSTN,IL32,COL16A1,PLOD2,FAS,MYL9,DAB2,WIPF1,MYLK,APLP1,CD44,MFAP5,SLIT2,SGCB
HALLMARK_E2F_TARGETS	2.0093626978395763e-4	0.0020495499517963678	up	EZH2,MELK,GINS1,KIF2C,CHEK1,MKI67,DONSON,WDR90,DCLRE1B,CDC25A,LUC7L3,CDCA3,CDKN3,MXD3,BRCA1,ILF3,ING3,RAD51AP1,TMPO,DEPDC1,ESPL1,GINS3,BIRC5,NUP153,CDC25B,LIG1,TBRG4,CENPE,PAN2,EXOSC8,DIAPH3
HALLMARK_TNFA_SIGNALING_VIA_NFKB	2.98716227079499e-4	0.0025390879301757418	down	TNC,CSF1,CCNL1,RIPK2,PTPRE,EFNA1,OLR1,CCL4,DNAJB4,SLC2A6,MAP3K8,SERPINB8,FOSL1,DRAM1,TLR2,SMAD3,CD44
HALLMARK_ALLOGRAFT_REJECTION	0.004665151020780016	0.03398895743711154	down	CSF1,RIPK2,C2,MAP3K7,IL4R,FAS,CD4,PTPRC,CCL4,NLRP3,TLR1,FYB1,WARS1,RPS3A,CD40
HALLMARK_G2M_CHECKPOINT	0.0064182136262163425	0.03883896935295835	up	EZH2,KIF2C,CHEK1,MKI67,CDC45,KIF23,CCNF,CDC25A,DBF4,NUSAP1,CDC7,HIRA,CDKN3,CCNT1,CENPA,ILF3,NSD2,TMPO,ESPL1,SLC38A1,BIRC5,SMC2,EWSR1,TROAP,CDC25B,CUL3,ODF2,TPX2,CENPE,KMT5A,ARID4A,DTYMK,XPO1,CHAF1A,ATRX,AURKB,ORC5,CUL5,PRPF4B,PML,MEIS2,PRC1,NUP98,STIL,RBL1,CASP8AP2,EFNA5,BARD1,YTHDC1
HALLMARK_HEME_METABOLISM	0.0068539357681691206	0.03883896935295835	up	EPB41,ADD1,SYNJ1,RBM38,PPOX,CROCCP2,OSBP2,KAT2B,GAPVD1,TSPAN5,RANBP10,ATP6V0A1,MBOAT2,RBM5,BTRC,AGPAT4,PICALM,MXI1,EZH1,HTRA2,ANK1,USP15,DCAF10,LAMP2,PIGQ,TFDP2,SLC6A9,TRAK2,MARCHF8,RIOK3
HALLMARK_ANDROGEN_RESPONSE	0.00932428730066448	0.047553865233388844	down	ELOVL5,HSD17B14,STK39,CDC14B,PTK2B,CAMKK2,DBI,PLPP1,ACTN1,MAP7
HALLMARK_OXIDATIVE_PHOSPHORYLATION	0.010552275776026916	0.04892418768885207	up	SLC25A11,OGDH,NDUFS2,ATP5MF,ALAS1,IDH2,IDH3B,AIFM1,DLST,NDUFA8,VDAC3,RETSAT
