pathway	pval	padj	direction	genes
KEGG_RIBOSOME	5.0327357045308115e-11	8.907942197019537e-9	down	RPS11,RPS24,RPL21,RPL30,RPS27,RPL27,MRPL13,RPL23,RPL9,RPS3A,RPL17,RPS3,RPL10,RPL35A,RPL5,RPS18,RPL34,RPSA,RPL23A,RPL26,RPS25,RPL10A,RPL22,RPS7,RPL12
KEGG_PARKINSONS_DISEASE	6.243795204903382e-10	5.525758756339493e-8	down	SLC6A3,UQCRH,NDUFA5,NDUFS5,UQCRB,ATP5PO,VDAC3,ATP5PD,COX7A2,NDUFS4,ATP5PF,COX6C,NDUFB4,ATP5MC1,NDUFB5,NDUFV2,ATP5MC3,ATP5F1C,NDUFB6,NDUFA6,ATP5PB,ATP5MC2,NDUFA4,SDHC
KEGG_OXIDATIVE_PHOSPHORYLATION	1.3564763623680948e-9	8.00321053797176e-8	down	UQCRH,NDUFA5,NDUFS5,UQCRB,ATP6V1G1,ATP5PO,ATP5PD,ATP5MG,COX7A2,NDUFS4,ATP5PF,COX6C,NDUFB4,ATP5MC1,NDUFB5,NDUFV2,ATP5MC3,ATP6V1D,ATP5F1C,NDUFB6,NDUFA6,ATP5PB,ATP5MC2,NDUFA4,SDHC,ATP6V0E1
KEGG_PROTEASOME	1.83946654530729e-8	8.139639462984758e-7	down	POMP,SEM1,PSMA2,PSMA3,PSMC6,PSMA6,PSMD14,PSMA1,PSMB7,PSMD4,PSMB1,PSMB3,PSMA5,PSMD13,PSMD6,PSMB4,PSMC2,PSMB6,PSMD7,PSMD1
KEGG_SPLICEOSOME	2.8046147519194217e-8	9.928336221794753e-7	down	SNRPE,SF3B6,SNRPD2,SNRPF,SNRPB2,SYF2,PPIH,ZMAT2,HNRNPA1,SNRPD1,HNRNPC,PHF5A,NCBP2,SNRNP27,HNRNPA3
KEGG_ALZHEIMERS_DISEASE	9.73266220957435e-8	2.871135351824433e-6	down	UQCRH,NDUFA5,NDUFS5,UQCRB,ATP5PO,ATP5PD,COX7A2,NDUFS4,ATP5PF,COX6C,CALM2,NDUFB4,ATP5MC1,NDUFB5,NDUFV2,ATP5MC3,ATP5F1C,NDUFB6,NDUFA6,CACNA1F,ATP5PB,ATP5MC2,NDUFA4,SDHC,NDUFB3,ATP2A1,CACNA1S
KEGG_HUNTINGTONS_DISEASE	1.8758415164325202e-5	4.7431992629793724e-4	down	POLR2K,UQCRH,NDUFA5,NDUFS5,UQCRB,ATP5PO,VDAC3,ATP5PD,DNAI1,COX7A2,NDUFS4,ATP5PF,COX6C,POLR2G,NDUFB4,ATP5MC1,NDUFB5,NDUFV2,ATP5MC3,ATP5F1C,DNAI2,NDUFB6,NDUFA6,DNAH3,ATP5PB,ATP5MC2,NDUFA4,SDHC
KEGG_OOCYTE_MEIOSIS	1.259518384745249e-4	0.0027866844262488637	down	CDC20,BUB1,SGO1,RBX1,CALM2,CDC26,ANAPC10
KEGG_HOMOLOGOUS_RECOMBINATION	3.658139134183795e-4	0.005886278425004833	down	SEM1,RPA3,SSBP1
KEGG_MISMATCH_REPAIR	3.658139134183795e-4	0.005886278425004833	down	EXO1,RPA3,SSBP1
KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION	3.0395841750805597e-4	0.005886278425004833	down	CCNA2,BUB1,CCNA1,CDC26,ANAPC10
KEGG_RNA_DEGRADATION	6.476906629820814e-4	0.0095534372789857	down	MPHOSPH6,EXOSC8,LSM1,C1D,HSPD1
KEGG_PROTEIN_EXPORT	7.584045166483008e-4	0.01032596918821148	down	SEC61G,SRP9,SRP14,SRP54,SPCS2
KEGG_LONG_TERM_DEPRESSION	0.0013884574123825357	0.017554068713693485	up	GRM5,GRIA3,PLA2G2A,PLA2G5,PRKCG,PRKG2
