pathway	pval	padj	direction	genes
KEGG_RIBOSOME	5.0011980792882e-24	8.652072677168585e-22	up	RPL21,RPS18,RPL26,RPL9,RPS7,RPS27,RPL22,RPS3A,RPL12,RPL30,RPS25,RPS24,RPL3,RPL23A,RPL27,RPL15,RPL10A,RPSA,RPL35A,RPS3,RPL5,RPL19,RPL17,RPS11,RPL34,MRPL13,RPL23,RPL10
KEGG_OXIDATIVE_PHOSPHORYLATION	2.328404876561598e-16	2.0140702182257824e-14	up	ATP6V0E1,SDHD,COX6C,ATP5MC1,NDUFB3,NDUFA5,UQCRB,NDUFA4,ATP5PF,SDHC,ATP5PD,ATP5MG,COX7A2,NDUFB5,NDUFB6,NDUFS5,ATP5MC2,UQCRH,ATP5PO,ATP6V1D,ATP5PB,ATP5MC3,NDUFA6,NDUFB4,ATP5F1C,NDUFS4,ATP6V1G1,ATP6V0A4,SDHA,NDUFV2
KEGG_PARKINSONS_DISEASE	3.2809434451924177e-13	1.8920107200609608e-11	up	SDHD,COX6C,ATP5MC1,NDUFB3,NDUFA5,UQCRB,NDUFA4,ATP5PF,SDHC,ATP5PD,COX7A2,VDAC1,NDUFB5,NDUFB6,NDUFS5,ATP5MC2,UBE2L3,UQCRH,ATP5PO,ATP5PB,ATP5MC3,NDUFA6,NDUFB4,ATP5F1C,NDUFS4,VDAC3,SDHA,NDUFV2
KEGG_ALZHEIMERS_DISEASE	3.233189760398661e-12	1.3983545713724207e-10	up	SDHD,COX6C,ATP5MC1,NDUFB3,NDUFA5,CALM2,UQCRB,NDUFA4,ATP5PF,SDHC,ATP5PD,COX7A2,NDUFB5,NDUFB6,NDUFS5,ATP5MC2,UQCRH,ATP5PO,ATP5PB,ATP5MC3,NDUFA6,NDUFB4,ATP5F1C,NDUFS4
KEGG_PROTEASOME	8.519139718682596e-11	2.9476223426641782e-9	up	PSMA2,POMP,SEM1,PSMC1,PSMA3,PSMA6,PSMB6,PSMC6,PSMA1,PSMB1,PSMB3,PSMA5,PSMD13,PSMB4,PSMB7,PSMC2,PSMD14,PSMD4,PSMD7
KEGG_SPLICEOSOME	1.8541792212006306e-8	5.346216754461818e-7	up	HNRNPA1,SNRPE,ZMAT2,SF3B6,HNRNPC,SNRPD2,SNRPF,HNRNPA3,SNRPB2,NCBP2,HNRNPK,SNRNP27,SYF2,PHF5A,PPIH,SNRPD1
KEGG_HUNTINGTONS_DISEASE	4.5299716371762023e-8	1.1195501331878328e-6	up	SDHD,COX6C,ATP5MC1,NDUFB3,NDUFA5,UQCRB,NDUFA4,ATP5PF,SDHC,POLR2K,ATP5PD,COX7A2,VDAC1,NDUFB5,NDUFB6,NDUFS5,ATP5MC2,POLR2G,UQCRH,ATP5PO,ATP5PB,ATP5MC3,NDUFA6,NDUFB4,ATP5F1C,NDUFS4
KEGG_PROTEIN_EXPORT	4.461698535884696e-4	0.009648423083850655	up	SPCS2,SEC61G,SRP9,SRP14,SRP54
KEGG_NOTCH_SIGNALING_PATHWAY	8.703897367582783e-4	0.016730824939909125	down	NCOR2,NOTCH1,CREBBP,EP300
KEGG_HOMOLOGOUS_RECOMBINATION	0.001976036306933516	0.03418542810994983	up	SEM1,SSBP1,RPA3
KEGG_RNA_DEGRADATION	0.002282402674496648	0.03589596933526546	up	C1D,HSPD1,MPHOSPH6,LSM1,EXOSC8
KEGG_GLYCOLYSIS_GLUCONEOGENESIS	0.0024917917879527887	0.0359233316096527	up	ADH5,ALDH1A3,BPGM,LDHC,ADH1A
