pathway	pval	padj	direction	genes
KEGG_RIBOSOME	1.9124358554618472e-14	3.3085140299489957e-12	up	RPS3A,RPL22,RPS7,RPS11,RPL9,RPL21,RPS27,RPL35A,RPS18,RPL10A,RPS24,RPS3,RPSA,RPL5,RPL30,RPL12,RPL27,RPL10,RPL19,RPL26,RPL23A,RPL3,RPL17,RPL34,RPL23,RPS25,RPL15,RPL3L
KEGG_PARKINSONS_DISEASE	4.339950511615604e-8	2.502704795031665e-6	up	SLC6A3,NDUFA5,ATP5MC1,UQCRH,VDAC3,COX7A2,ATP5PF,NDUFA4,ATP5PD,ATP5PO,ATP5MC3,VDAC1,NDUFS5,UQCRB,ATP5PB,ATP5F1C,NDUFS4,NDUFB3,NDUFB4,SDHC,NDUFA6,NDUFB6,ATP5MC2,SDHD,COX6C,UBE2L3,COX6B2
KEGG_SPLICEOSOME	4.2854731977441127e-8	2.502704795031665e-6	up	HNRNPA1,SNRPE,HNRNPA3,HNRNPC,SNRPB2,SNRPD1,SNRPD2,SNRPF,SF3B6,HNRNPK,PPIH,PHF5A,NCBP2,ZMAT2,SYF2,SNRNP27
KEGG_ALZHEIMERS_DISEASE	3.086927174787698e-6	1.3350960030956795e-4	up	CACNA1F,NDUFA5,ATP5MC1,CACNA1S,UQCRH,CALM2,COX7A2,ATP5PF,NDUFA4,ATP5PD,ATP5PO,ATP5MC3,NDUFS5,UQCRB,ATP5PB,ATP5F1C,NDUFS4,NDUFB3,NDUFB4,SDHC,NDUFA6,NDUFB6,ATP5MC2,SDHD
KEGG_PROTEASOME	1.308541420393279e-5	4.527553314560745e-4	up	PSMA2,PSMA6,PSMC1,PSMC6,PSMD14,SEM1,PSMA3,PSMB7,PSMB3,PSMA1,PSMA5,POMP,PSMB1,PSMC2,PSMB4,PSMD4,PSMD13,PSMD6,PSMB6
KEGG_OXIDATIVE_PHOSPHORYLATION	1.8109250823433125e-5	5.221500654089884e-4	up	NDUFA5,ATP5MC1,UQCRH,COX7A2,ATP6V1G1,ATP5PF,NDUFA4,ATP5PD,ATP5PO,ATP5MC3,ATP5MG,NDUFS5,UQCRB,ATP5PB,ATP5F1C,NDUFS4,NDUFB3,NDUFB4,SDHC,NDUFA6,NDUFB6,ATP5MC2,SDHD,COX6C,COX6B2,NDUFB5,NDUFV2,ATP6V1D
KEGG_LEISHMANIA_INFECTION	2.798371424010475e-4	0.006915975090768746	down	FCGR2C,TNF,HLA-DQA2,CR1,FCGR3B,IL12A,IL10,HLA-DOB
KEGG_LONG_TERM_DEPRESSION	3.307918034645315e-4	0.007153372749920494	down	GRIA3,PLA2G2A,GRM5,PLA2G5,PRKCG
KEGG_HUNTINGTONS_DISEASE	9.113609083975488e-4	0.01751838190586399	up	NDUFA5,ATP5MC1,UQCRH,VDAC3,COX7A2,ATP5PF,NDUFA4,ATP5PD,ATP5PO,ATP5MC3,VDAC1,POLR2K,NDUFS5,POLR2G,UQCRB,ATP5PB,ATP5F1C,NDUFS4,NDUFB3,NDUFB4,SDHC,NDUFA6,NDUFB6,ATP5MC2,SDHD
KEGG_OOCYTE_MEIOSIS	0.001629658244407805	0.028193087628255026	up	CDC20,BUB1,SGO1,CALM2,RBX1,SKP1,CDC26,ANAPC10
