gene,control-XX,control-FB,control-BR,control-BC,control-BS,NC_pub,NC_pub,NC_pub,SRR4787052
ENSG00000000003_TSPAN6,5.10,17.90,6.23,6.80,5.51,0.00,0.00,0.00,8.10
ENSG00000000005_TNMD,0.00,0.19,0.06,0.09,0.24,0.00,0.00,0.00,0.04
ENSG00000000419_DPM1,14.94,13.64,16.38,25.29,16.15,3.01,3.68,1.71,8.09
ENSG00000000457_SCYL3,1.41,2.37,2.51,6.36,2.58,3.30,5.68,0.64,2.94
ENSG00000000460_C1orf112,1.82,1.64,1.07,3.92,1.03,10.93,17.62,7.42,2.70
ENSG00000000938_FGR,3.57,3.39,3.53,5.71,11.74,0.00,8.79,2.04,0.89
ENSG00000000971_CFH,17.42,0.82,1.87,8.11,11.54,0.00,0.18,0.00,1.16
ENSG00000001036_FUCA2,15.90,13.34,15.08,16.26,13.93,2.33,9.50,5.85,5.85
ENSG00000001084_GCLC,21.97,7.34,17.70,24.91,11.04,7.97,13.47,5.13,10.25
ENSG00000001167_NFYA,7.85,11.96,7.95,15.36,4.90,16.89,13.98,4.54,14.87
ENSG00000001460_STPG1,13.00,9.84,19.67,19.25,13.40,1.78,4.54,0.88,3.36
ENSG00000001461_NIPAL3,39.70,9.76,66.30,139.85,49.09,3.01,5.46,0.98,7.31
ENSG00000001497_LAS1L,16.43,23.01,22.69,27.21,17.42,5.90,20.35,2.15,13.36
ENSG00000001561_ENPP4,17.01,0.90,4.69,17.30,12.92,0.49,1.83,2.47,3.00
ENSG00000001617_SEMA3F,9.51,24.91,6.06,8.12,20.04,0.00,0.15,0.00,11.05
ENSG00000001626_CFTR,0.21,1.00,1.61,0.74,1.91,0.52,11.04,0.08,0.29
ENSG00000001629_ANKIB1,16.50,7.65,6.30,21.32,10.64,7.84,10.82,3.78,68.21
ENSG00000001630_CYP51A1,34.18,47.10,44.34,37.61,36.58,0.62,5.12,1.80,42.65
ENSG00000001631_KRIT1,10.46,3.20,5.78,27.08,10.70,19.79,67.51,10.38,13.72
ENSG00000002016_RAD52,4.09,11.56,13.71,7.80,4.34,18.54,30.88,5.99,16.33
ENSG00000002079_MYH16,0.03,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.03
ENSG00000002330_BAD,120.15,152.18,146.82,94.58,99.91,0.00,0.75,0.32,53.24
ENSG00000002549_LAP3,39.74,18.56,23.48,40.33,30.56,28.82,107.63,40.81,10.99
ENSG00000002586_CD99,54.94,39.79,41.88,65.37,62.26,15.95,8.88,7.28,8.40
ENSG00000002586_PAR_Y_CD99,54.94,39.79,41.88,65.37,62.26,15.95,8.88,7.28,8.40
ENSG00000002587_HS3ST1,0.51,6.61,7.95,13.20,5.57,2.03,7.29,0.87,3.42
ENSG00000002726_AOC1,0.00,0.27,0.05,0.14,0.00,0.00,0.05,0.00,0.06
ENSG00000002745_WNT16,0.11,0.35,0.43,1.08,0.17,0.00,0.17,0.12,0.26
ENSG00000002746_HECW1,1.34,11.81,11.27,8.02,3.27,0.00,0.01,0.08,31.17
ENSG00000002822_MAD1L1,26.71,21.36,27.59,17.02,11.67,3.68,8.79,1.42,13.74
ENSG00000002834_LASP1,30.64,196.95,69.47,41.77,36.37,13.60,16.79,7.50,66.32
ENSG00000002919_SNX11,16.40,18.45,21.59,15.90,18.69,11.38,21.35,2.27,5.40
ENSG00000002933_TMEM176A,55.43,2.87,15.83,10.75,38.38,2.26,55.12,18.24,0.67
ENSG00000003056_M6PR,39.51,48.73,59.22,69.15,53.21,29.19,89.57,25.81,25.71
ENSG00000003096_KLHL13,1.34,9.01,3.09,6.36,3.04,0.00,0.00,0.01,8.71
ENSG00000003137_CYP26B1,0.81,14.28,37.27,36.96,24.09,0.00,0.00,0.00,4.12
ENSG00000003147_ICA1,6.36,21.83,21.34,27.94,18.17,5.54,12.18,3.02,18.04
ENSG00000003249_DBNDD1,25.51,100.25,100.41,50.75,43.70,0.00,0.00,0.00,26.40
ENSG00000003393_ALS2,5.15,15.76,17.70,78.74,22.28,5.71,5.39,1.21,20.05
ENSG00000003400_CASP10,1.66,0.70,2.03,1.22,1.65,18.60,17.20,5.34,1.26
ENSG00000003402_CFLAR,20.02,12.73,15.53,36.23,18.15,42.23,67.58,10.40,24.06
ENSG00000003436_TFPI,3.50,1.74,0.42,2.04,2.57,0.12,0.37,0.05,3.49
