sample	cluster	color
"BS_15ETQ0E4"	1	#053061
"BS_31TF0P1N"	1	#053061
"BS_850BAHH9"	1	#053061
"BS_996ZS2A4"	1	#053061
"BS_DHA5FMVW"	1	#053061
"BS_GAGRGSSX"	1	#053061
"BS_GJNCYABP"	1	#053061
"BS_M4923M40"	1	#053061
"BS_MMNRZ1EQ"	1	#053061
"BS_N0877CX1"	1	#053061
"BS_PGHK1JRW"	1	#053061
"BS_QX12J6W1"	1	#053061
"BS_S71RJ8DH"	1	#053061
"BS_WVW3W6ZB"	1	#053061
"BS_1HFK0SXV"	1	#053061
"BS_78QX3XDF"	1	#053061
"BS_7T1J3KET"	1	#053061
"BS_8D0NYM46"	1	#053061
"BS_ABYF92Z9"	1	#053061
"BS_B53Z0T1Q"	1	#053061
"BS_BHR08WGW"	1	#053061
"BS_C0XFDP38"	1	#053061
"BS_C3P5BC92"	1	#053061
"BS_D5NQV7N5"	1	#053061
"BS_E054DFJN"	1	#053061
"BS_EMMF4PZX"	1	#053061
"BS_GC3CH9TY"	1	#053061
"BS_JX7S9MY7"	1	#053061
"BS_KND4B5CW"	1	#053061
"BS_NGY0TE6S"	1	#053061
"BS_PRR8K9GE"	1	#053061
"BS_YH05F9DB"	1	#053061
"BS_ZF34SJGN"	1	#053061
"BS_23W9EPFE"	1	#053061
"BS_5JM573JC"	1	#053061
"BS_6NTXGQAC"	1	#053061
"BS_F4E8R9VY"	1	#053061
"BS_MF47B9ZW"	1	#053061
"BS_PQ7CQFYR"	1	#053061
"BS_QF5VVZX5"	1	#053061
"BS_052PZFMK"	1	#053061
"BS_0RQ4P069"	1	#053061
"BS_0VXZCRJS"	1	#053061
"BS_0ZA67BBC"	1	#053061
"BS_2EN3X6HB"	1	#053061
"BS_2JP7RBMB"	1	#053061
"BS_3AC3SRWH"	1	#053061
"BS_45J79YTF"	1	#053061
"BS_49CJNZ06"	1	#053061
"BS_4PPHAQXF"	1	#053061
"BS_4PWDGEB0"	1	#053061
"BS_58YXHGAJ"	1	#053061
"BS_5GNQC2FF"	1	#053061
"BS_5VPM0F36"	1	#053061
"BS_6DCSD5Y6"	1	#053061
"BS_6M2053M0"	1	#053061
"BS_7GJT4A6A"	1	#053061
"BS_8ZS9F31R"	1	#053061
"BS_8ZY4GST0"	1	#053061
"BS_97M1E2DW"	1	#053061
"BS_9CA93S6D"	1	#053061
"BS_A0DYVX9J"	1	#053061
"BS_BMMY0H73"	1	#053061
"BS_C41DJZ1F"	1	#053061
"BS_C6ZZ3FY5"	1	#053061
"BS_C83TK159"	1	#053061
"BS_DFGS950G"	1	#053061
"BS_DRY58DTF"	1	#053061
"BS_F0JB4EAK"	1	#053061
"BS_FCDAH728"	1	#053061
"BS_FX2P2WEG"	1	#053061
"BS_FYRDYBMZ"	1	#053061
"BS_G3NN392N"	1	#053061
"BS_GXTFW99H"	1	#053061
"BS_H97S5SQN"	1	#053061
"BS_HWGWYCY7"	1	#053061
"BS_JB43XBCQ"	1	#053061
"BS_JQVAWTTM"	1	#053061
"BS_JRYJGYC4"	1	#053061
"BS_K17VQECG"	1	#053061
"BS_KBEX4RT2"	1	#053061
"BS_MB7WN0ZB"	1	#053061
"BS_MDBT7S5Z"	1	#053061
"BS_NB9XXBW6"	1	#053061
"BS_NEVYM2FP"	1	#053061
"BS_NPA6CZQF"	1	#053061
"BS_NR3P3GN2"	1	#053061
"BS_P9JP6JFA"	1	#053061
"BS_PGK832G2"	1	#053061
"BS_PS0P3QJ3"	1	#053061
"BS_PXCPK5XS"	1	#053061
"BS_PZVHMSYN"	1	#053061
"BS_Q13FQ8FV"	1	#053061
"BS_QB84TBA3"	1	#053061
"BS_QNNX91SM"	1	#053061
"BS_R5SNFB5B"	1	#053061
"BS_R7NTZR4C"	1	#053061
"BS_RCCN63K6"	1	#053061
"BS_RX1YTZ7F"	1	#053061
"BS_RXN5T5YT"	1	#053061
"BS_SNVM7CZT"	1	#053061
"BS_T1YHK6B7"	1	#053061
"BS_T3DGY9J9"	1	#053061
"BS_TV5B86ZD"	1	#053061
"BS_TXZ7KHTQ"	1	#053061
"BS_VVTHDRBD"	1	#053061
"BS_W1385R8Y"	1	#053061
"BS_W4DB5RP1"	1	#053061
"BS_W4H1D4Y6"	1	#053061
"BS_WH8G4VFB"	1	#053061
"BS_X0XXN9BK"	1	#053061
"BS_X4X1SFSE"	1	#053061
"BS_XM1AHBDJ"	1	#053061
"BS_XZM79E42"	1	#053061
"BS_YDEVMD24"	1	#053061
"BS_ZD5HN296"	1	#053061
"BS_ZV1P6W9C"	1	#053061
"BS_0X9EGHY2"	1	#053061
"BS_2WPQ8YCW"	1	#053061
"BS_47SJZ3PH"	1	#053061
"BS_6N3AFF66"	1	#053061
"BS_6VF6VPCG"	1	#053061
"BS_7H4RFCW9"	1	#053061
"BS_94MT16N2"	1	#053061
"BS_9755PSCS"	1	#053061
"BS_9F09XV62"	1	#053061
"BS_9SJWWYQ4"	1	#053061
"BS_AVYNZHSB"	1	#053061
"BS_B0SVFK4P"	1	#053061
"BS_B6M763JS"	1	#053061
"BS_B7GEH89C"	1	#053061
"BS_BC936YNZ"	1	#053061
"BS_CS170P7T"	1	#053061
"BS_E1CGF3KV"	1	#053061
"BS_E3EJHXQV"	1	#053061
"BS_EXYHZ6D4"	1	#053061
"BS_G5QBBHDV"	1	#053061
"BS_HV8PFRBR"	1	#053061
"BS_J6VKB1VE"	1	#053061
"BS_JG9JZTA9"	1	#053061
"BS_N5B2CZMH"	1	#053061
"BS_PN2CE34A"	1	#053061
"BS_S50KQEXV"	1	#053061
"BS_T4JFN54G"	1	#053061
"BS_V3REENH9"	1	#053061
"BS_W3R88RFP"	1	#053061
"BS_XKKB4MZV"	1	#053061
"BS_YG0A13JH"	1	#053061
"BS_YY5B2XDD"	1	#053061
"BS_YZ2Z1Q6Y"	1	#053061
"BS_ZTWGFWTX"	1	#053061
"BS_ZVX2GRD6"	1	#053061
"BS_44A3ES23"	1	#053061
"BS_8T7DZV2F"	1	#053061
"BS_CHDGRYHJ"	1	#053061
"BS_H4B5Y6S0"	1	#053061
"BS_HKZENFDA"	1	#053061
"BS_JTMXAMB7"	1	#053061
"BS_KYF0Q0E7"	1	#053061
"BS_M84H3KXA"	1	#053061
"BS_TW8DQH8J"	1	#053061
"BS_Z7PKVY9J"	1	#053061
"BS_C7N3J4NW"	1	#053061
"BS_1QNTEZPS"	2	#2166ac
"BS_4E1G7E3G"	2	#2166ac
"BS_6G6C7VPX"	2	#2166ac
"BS_90B22NGP"	2	#2166ac
"BS_9FHSNVS0"	2	#2166ac
"BS_J483EMFP"	2	#2166ac
"BS_K25F4J3V"	2	#2166ac
"BS_MVW01FPB"	2	#2166ac
"BS_P7EY9DXG"	2	#2166ac
"BS_1EBQ3T20"	2	#2166ac
"BS_1EN5V3XW"	2	#2166ac
"BS_52MPKTJH"	2	#2166ac
"BS_84XCR9GG"	2	#2166ac
"BS_8ZD6J47V"	2	#2166ac
"BS_9XVACXP0"	2	#2166ac
"BS_DS438CXE"	2	#2166ac
"BS_E60JZ9Z3"	2	#2166ac
"BS_FEV5A0HN"	2	#2166ac
"BS_JVW2JJ39"	2	#2166ac
"BS_KP735TJ6"	2	#2166ac
"BS_M1PVEHCM"	2	#2166ac
"BS_M8EA6R2A"	2	#2166ac
"BS_MKM0EEN1"	2	#2166ac
"BS_MX23ZY0Y"	2	#2166ac
"BS_PNYN0AYD"	2	#2166ac
"BS_SD8YBRBR"	2	#2166ac
"BS_WKESC3XN"	2	#2166ac
"BS_XG0DBWVT"	2	#2166ac
"BS_N6NE6B3W"	2	#2166ac
"BS_ZRM0W01M"	2	#2166ac
"BS_09Z7TC35"	2	#2166ac
"BS_1AYRM596"	2	#2166ac
"BS_1BWP5MCT"	2	#2166ac
