gene	splice_event	avg_dpsi	stdev_dpsi	freq	coord	str	flip
TAZ	TAZ_154414101-154414190	-0.306463414634146	0.0619233790910088	41		chrX:154414101-154414190	+	0
ZNF185	ZNF185_152936418-152936513	-0.320842105263158	0.12067921811236	19		chrX:152936418-152936513	+	0
PAK3	PAK3_111103159-111103306	-0.739323943661972	0.137088686065198	71		chrX:111103159-111103306	+	0
ATG4A	ATG4A_108126793-108127094	-0.281	0.112683696179241	27		chrX:108126793-108127094	+	0
GPRASP1	GPRASP1_102652175-102652265	-0.500357142857143	0.0792945891478849	14		chrX:102652175-102652265	+	0
ARMCX5-GPRASP2	ARMCX5-GPRASP2_102600920-102601032	-0.619594594594595	0.123931535637728	37		chrX:102600920-102601032	+	0
KDM6A	KDM6A_45060022-45060156	-0.839916666666667	0.171774315579943	72		chrX:45060022-45060156	+	1
KDM6A	KDM6A_45060609-45060764	-0.445631578947369	0.0290697400509316	38		chrX:45060609-45060764	+	0
CASK	CASK_41555600-41555635	-0.543493333333333	0.0195160179072206	75		chrX:41555600-41555635	-	0
TRAPPC2	TRAPPC2_13720428-13720497	-0.303975	0.131513767925059	40		chrX:13720428-13720497	-	0
ARSA	ARSA_50627556-50627792	-0.282176470588235	0.0348291291205238	51		chr22:50627556-50627792	-	0
SBF1	SBF1_50457034-50457111	-0.489696202531645	0.0848205276361287	79		chr22:50457034-50457111	-	0
HDAC10	HDAC10_50250427-50250523	-0.433414285714286	0.113135995227642	70		chr22:50250427-50250523	-	0
CDPF1	CDPF1_46247106-46247221	-0.466039215686275	0.0149371493723718	51		chr22:46247106-46247221	-	0
CDPF1	CDPF1_46247110-46247221	-0.438621212121212	0.0910436522776114	66		chr22:46247110-46247221	-	0
CDPF1	CDPF1_46247125-46247221	-0.479326086956521	0.0161204553944857	46		chr22:46247125-46247221	-	0
PACSIN2	PACSIN2_42876888-42877010	-0.367522388059701	0.0790662089661024	67		chr22:42876888-42877010	-	0
AL022238.4	AL022238.4_40401593-40401675	-0.237714285714286	0.0223753454645081	28		chr22:40401593-40401675	+	0
RBFOX2	RBFOX2_35752613-35752655	-0.351533333333333	0.149956596895171	15		chr22:35752613-35752655	-	0
RBFOX2	RBFOX2_35756105-35756144	-0.236183673469388	0.0257889458468383	49		chr22:35756105-35756144	-	0
PISD	PISD_31625763-31626016	-0.205	5.62368179945458e-17	39		chr22:31625763-31626016	-	0
