BRCC3	BRCC3_155072327-155072343	-0.2856	0.105475417213508	45	chrX:155072327-155072343	+
BRCC3	BRCC3_155099315-155099389	-0.196491803278689	0.0586996941930761	61	chrX:155099315-155099389	+
FAM3A	FAM3A_154507811-154507861	0.156105263157895	0.0993405448930552	19	chrX:154507811-154507861	-
FAM3A	FAM3A_154507811-154507882	0.264238095238095	0.118614461496862	21	chrX:154507811-154507882	-
FAM3A	FAM3A_154512314-154512411	-0.132444444444444	0.13987166453461	36	chrX:154512314-154512411	-
TAZ	TAZ_154414101-154414190	-0.275924528301887	0.107896290849594	53	chrX:154414101-154414190	+
RPL10	RPL10_154400464-154400626	0.119285714285714	0.018291293791622	7	chrX:154400464-154400626	+
ARHGAP4	ARHGAP4_153910171-153910404	-0.139396551724138	0.00926971990941646	58	chrX:153910171-153910404	-
L1CAM	L1CAM_153863368-153863379	0.710685185185185	0.259136725336046	54	chrX:153863368-153863379	-
L1CAM	L1CAM_153873228-153873242	0.762822222222222	0.251937788937963	45	chrX:153873228-153873242	-
PDZD4	PDZD4_153807897-153808139	0.804950819672131	0.114421068314873	61	chrX:153807897-153808139	-
ZNF185	ZNF185_152932873-152932971	-0.182	2.84087373469499e-17	22	chrX:152932873-152932971	+
ZNF185	ZNF185_152936418-152936513	-0.230478260869565	0.0900882746710224	23	chrX:152936418-152936513	+
MTMR1	MTMR1_150712342-150712365	0.790220338983051	0.234169925613756	59	chrX:150712342-150712365	+
MTMR1	MTMR1_150712730-150712753	0.365	5.60747306672777e-17	50	chrX:150712730-150712753	+
MTMR1	MTMR1_150714479-150714529	0.603079365079365	0.19877011373876	63	chrX:150714479-150714529	+
LINC00632	LINC00632_140713517-140716289	-0.258777777777778	0.348292229491533	18	chrX:140713517-140716289	+
ATP11C	ATP11C_139731651-139731755	-0.0484842105263158	0.411295096813631	95	chrX:139731651-139731755	-
ATP11C	ATP11C_139732435-139732525	0.8768	0.219818326241749	30	chrX:139732435-139732525	-
MCF2	MCF2_139613216-139613263	-0.678565217391304	0.0614642270571221	46	chrX:139613216-139613263	-
HS6ST2	HS6ST2_132669113-132669199	0.24784	0.109986241563813	25	chrX:132669113-132669199	-
SLC25A14	SLC25A14_130340107-130340353	0.427818181818182	0.154590422508967	44	chrX:130340107-130340353	+
ELF4	ELF4_130069300-130069677	0.2	1	1	chrX:130069300-130069677	-
STAG2	STAG2_123961786-123961856	0.229475	0.104283387938828	40	chrX:123961786-123961856	+
STAG2	STAG2_123962079-123962106	-0.134181818181818	0.0288299087123708	11	chrX:123962079-123962106	+
