gene	splice_event	avg_dpsi	stdev_dpsi	freq	coord	str	flip
FAM3A	FAM3A_154507811-154507882	0.303	0.0671853778734629	17		chrX:154507811-154507882	-	0
L1CAM	L1CAM_153863368-153863379	0.769396825396826	0.217944099053725	63		chrX:153863368-153863379	-	0
L1CAM	L1CAM_153873228-153873242	0.78601724137931	0.222135764664616	58		chrX:153873228-153873242	-	1
PDZD4	PDZD4_153807897-153808139	0.793714285714286	0.123678685686876	77		chrX:153807897-153808139	-	1
MTMR1	MTMR1_150712342-150712365	0.790890410958904	0.140664056220233	73		chrX:150712342-150712365	+	0
MTMR1	MTMR1_150714479-150714529	0.621837837837838	0.176726088423604	74		chrX:150714479-150714529	+	0
ATP11C	ATP11C_139732435-139732525	0.892333333333333	0.121924984127069	39		chrX:139732435-139732525	-	0
TMEM255A	TMEM255A_120285625-120285696	0.556896551724138	0.0922980849158251	58		chrX:120285625-120285696	-	0
GPRASP1	GPRASP1_102651687-102651908	0.486235294117647	0.108588978153727	17		chrX:102651687-102651908	+	0
GPRASP1	GPRASP1_102652175-102652265	0.324333333333333	0.0955942815584001	6		chrX:102652175-102652265	+	0
ARMCX5-GPRASP2	ARMCX5-GPRASP2_102600920-102601032	0.488833333333333	0.222866252866302	6		chrX:102600920-102601032	+	0
ARMCX5-GPRASP2	ARMCX5-GPRASP2_102601464-102601509	0.544186666666667	0.138918379043365	75		chrX:102601464-102601509	+	0
DIAPH2	DIAPH2_96763100-96763120	0.569728571428572	0.119138930157564	70		chrX:96763100-96763120	+	0
ATP7A	ATP7A_77962623-77962814	0.576477611940298	0.101975837632634	67		chrX:77962623-77962814	+	0
COX7B	COX7B_77901744-77901867	0.426333333333333	0.0457420302712214	3		chrX:77901744-77901867	+	0
KANTR	KANTR_53094400-53094474	0.415727272727273	0.107682023484973	11		chrX:53094400-53094474	+	0
KDM6A	KDM6A_45060609-45060764	0.5288125	0.128265208492706	32		chrX:45060609-45060764	+	0
CASK	CASK_41622617-41622634	0.544089743589743	0.0261127355590133	78		chrX:41622617-41622634	-	0
GK	GK_30674302-30674466	0.341730769230769	0.0827747037669747	52		chrX:30674302-30674466	+	0
SCML1	SCML1_17744071-17744219	0.891173913043478	0.0891905087994422	46		chrX:17744071-17744219	+	1
HDAC10	HDAC10_50250427-50250523	0.325	0.130107647738325	2		chr22:50250427-50250523	-	0
PHF21B	PHF21B_44933473-44933518	0.882542857142857	0.0751224480073498	70		chr22:44933473-44933518	-	1
PACSIN2	PACSIN2_42876888-42877010	0.2625	0.0445477272147525	2		chr22:42876888-42877010	-	0
PACSIN2	PACSIN2_42880617-42880622	0.454050632911392	0.0481168179815666	79		chr22:42880617-42880622	-	0
CYP2D7	CYP2D7_42141512-42141675	0.515636363636364	0.129712198907638	11		chr22:42141512-42141675	-	0
CYP2D7	CYP2D7_42141534-42141675	0.506666666666667	0.143357996468684	12		chr22:42141534-42141675	-	0
CYP2D7	CYP2D7_42141625-42141675	0.4351	0.189476735599211	10		chr22:42141625-42141675	-	0
MPST	MPST_37023752-37023927	0.759028985507246	0.11801918725042	69		chr22:37023752-37023927	+	0
RFPL3S	RFPL3S_32377261-32377349	0.571	0.123648695909015	3		chr22:32377261-32377349	-	0
PISD	PISD_31623684-31623849	0.474723684210526	0.107613951844447	76		chr22:31623684-31623849	-	0
PISD	PISD_31625763-31626016	0.457411764705882	0.155891412056409	17		chr22:31625763-31626016	-	0
GAL3ST1	GAL3ST1_30565077-30565201	0.920761904761905	0.0392987337733734	21		chr22:30565077-30565201	-	1
AP1B1	AP1B1_29339754-29339774	0.394577464788732	0.111440395596138	71		chr22:29339754-29339774	-	0
GGT5	GGT5_24225546-24225652	0.439393939393939	0.13942021450321	33		chr22:24225546-24225652	-	0
CBY1	CBY1_38665546-38665685	0.477	0.14732437201032	18		chr22:38665546-38665685	+	0
RNF185	RNF185_31196936-31197157	0.46802380952381	0.136171428559244	42		chr22:31196936-31197157	+	0
TRPM2	TRPM2_44427010-44427111	0.316	0.0155563491861041	2		chr21:44427010-44427111	+	0
LCA5L	LCA5L_39428172-39428503	0.733176470588235	0.159085368314514	17		chr21:39428172-39428503	-	0
HLCS	HLCS_36947333-36948287	0.679852941176471	0.15882239601497	34		chr21:36947333-36948287	-	1
