Gene	Exon_coord	Upstream_exon_coord	Downstream_exon_coord	dPSI	Site	Preference
AARS1	70262346-70262484	70261043-70261157	70264957-70265102	0.966928571428571	Skipping
AARS1	70262346-70262524	70261043-70261157	70264957-70265102	0.980821428571428	Skipping
AASS	122081500-122081595	122078861-122079712	122086011-122086115	0.9475	Skipping
AASS	122101371-122101438	122098744-122098866	122101620-122101680	0.860551282051283	Skipping
AASS	122115074-122115222	122113597-122113720	122116632-122116760	0.973875	Skipping
AATF	36986617-36986731	36953769-36953907	36988518-36988692	0.961222222222222	Skipping
ABCA1	104804626-104804720	104803283-104803316	104806240-104806430	0.978958333333333	Skipping
ABCA1	104884427-104884568	104883038-104883157	104889101-104889195	0.879493212669683	Skipping
ABCA1	104903614-104903771	104889101-104889195	104927934-104928139	0.918055944055944	Skipping
ABCB10	229547499-229547701	229542236-229542371	229549233-229549434	0.858142857142857	Skipping
ABCC3	50675631-50675775	50675361-50675476	50675882-50676090	0.860583333333333	Skipping
ABCC5	183949753-183949881	183947323-183947510	183949971-183950125	0.857666666666667	Skipping
ABCC5	183963385-183963588	183961510-183961654	183965184-183965257	0.898714285714286	Skipping
ABCF2	151214879-151215082	151211483-151214191	151215603-151215732	0.975823529411765	Skipping
ABHD14A-ACY1	51980393-51980628	51978258-51978374	51984046-51984158	0.88560606060606	Skipping
ABHD14A	51980393-51980628	51978258-51978374	51980835-51981196	0.920083333333334	Skipping
ABHD14B	51971460-51971698	51969083-51970184	51973964-51974021	0.772268292682927	Skipping
ABHD14B	51971460-51971892	51969942-51970184	51973964-51974031	0.695664634146341	Skipping
ABI1	26759062-26759235	26751597-26751783	26763879-26763960	0.785004273504274	Skipping
ABI1	26759062-26759235	26751597-26751783	26765217-26765318	0.852824034334764	Skipping
ABI1	26759062-26759235	26755654-26755741	26765217-26765318	0.836653846153846	Skipping
ABI1	26759062-26759238	26751597-26751783	26763879-26763960	0.801748936170213	Skipping
ABI1	26759062-26759238	26751597-26751783	26765217-26765318	0.892021459227467	Skipping
ABI1	26759062-26759238	26755654-26755741	26765217-26765318	0.877423076923077	Skipping
ABI1	26768852-26768992	26765217-26765318	26770244-26770345	0.967090909090909	Skipping
ABI2	203366877-203367044	203328279-203328631	203380207-203380306	0.965898477157359	Skipping
ABI2	203394700-203394846	203391043-203391143	203395655-203395780	0.814862804878049	Skipping
ABI2	203394700-203394846	203391043-203391143	203395658-203395780	0.907644859813084	Skipping
ABI3BP	100926302-100926481	100902617-100902686	100993305-100993421	0.9605	Skipping
ABL1	130862763-130863035	130854800-130855096	130872128-130872213	0.959555555555555	Skipping
ABL1	130874868-130875052	130872859-130873037	130878414-130878567	0.969	Skipping
ABLIM1	114453379-114453483	114451623-114451671	114465697-114465827	0.273191222570533	Skipping
ABLIM1	114473879-114473956	114472976-114473132	114487957-114487993	0.959138888888889	Skipping
ACAA1	38129290-38129388	38125825-38126700	38131595-38131638	0.949714285714286	Skipping
ACAA1	38129290-38129388	38127630-38127866	38131595-38131638	0.968851851851852	Skipping
ACAA2	49802687-49802853	49797465-49797594	49813468-49813533	0.971833333333333	Skipping
ACACA	37206783-37206879	37205764-37205872	37207656-37207800	0.946878048780488	Skipping
