<<<<<<< HEAD
geneset	sample_id	gsva_score
DNA Repair all genes	CTRL1	-0.2219808293621403
DNA Repair all genes	CTRL2	0.15375678014839023
DNA Repair all genes	CTRL3	0.3451517633329825
DNA Repair all genes	Treated1	-0.34964573943892674
DNA Repair all genes	Treated2	-0.039986823874211375
DNA Repair all genes	Treated3	-0.019211645468357005
Homologous Recombination	CTRL1	-0.12997998706014757
Homologous Recombination	CTRL2	0.11439834469165489
Homologous Recombination	CTRL3	0.3349358601673982
Homologous Recombination	Treated1	-0.4092226857554748
Homologous Recombination	Treated2	0.032825265340910945
Homologous Recombination	Treated3	-0.13852497291686372
Mismatch Repair	CTRL1	-0.25985447964096037
Mismatch Repair	CTRL2	0.14853395760756685
Mismatch Repair	CTRL3	0.3719369101600498
Mismatch Repair	Treated1	-0.45771465852508475
Mismatch Repair	Treated2	-0.309734126674955
Mismatch Repair	Treated3	-0.08166251672377509
Base Excision Repair	CTRL1	-0.0897935907693424
Base Excision Repair	CTRL2	0.19773995710235462
Base Excision Repair	CTRL3	0.42902916049058193
Base Excision Repair	Treated1	-0.46751873554114115
Base Excision Repair	Treated2	-0.32806546782026436
Base Excision Repair	Treated3	-0.07483327167458728
Nucleotide Excision Repair	CTRL1	0.026774777468058092
Nucleotide Excision Repair	CTRL2	0.05966966538872749
Nucleotide Excision Repair	CTRL3	0.22343361745739818
Nucleotide Excision Repair	Treated1	-0.29294952056852874
Nucleotide Excision Repair	Treated2	-0.2328399088986991
Nucleotide Excision Repair	Treated3	0.13665944945735292
Non-homologous End Joining	CTRL1	-0.5087927492205103
Non-homologous End Joining	CTRL2	-0.3568135899412199
Non-homologous End Joining	CTRL3	0.06215575500605758
Non-homologous End Joining	Treated1	0.21497709174406165
Non-homologous End Joining	Treated2	0.43685694327143093
Non-homologous End Joining	Treated3	0.3316557255368231
=======
sample_id	geneset	gsva_score
CTRL1	DNA Repair all genes	-0.2219808293621403
CTRL2	DNA Repair all genes	0.15375678014839023
CTRL3	DNA Repair all genes	0.3451517633329825
Treated1	DNA Repair all genes	-0.34964573943892674
Treated2	DNA Repair all genes	-0.039986823874211375
Treated3	DNA Repair all genes	-0.019211645468357005
CTRL1	Homologous Recombination	-0.12997998706014757
CTRL2	Homologous Recombination	0.11439834469165489
CTRL3	Homologous Recombination	0.3349358601673982
Treated1	Homologous Recombination	-0.4092226857554748
Treated2	Homologous Recombination	0.032825265340910945
Treated3	Homologous Recombination	-0.13852497291686372
CTRL1	Mismatch Repair	-0.25985447964096037
CTRL2	Mismatch Repair	0.14853395760756685
CTRL3	Mismatch Repair	0.3719369101600498
Treated1	Mismatch Repair	-0.45771465852508475
Treated2	Mismatch Repair	-0.309734126674955
Treated3	Mismatch Repair	-0.08166251672377509
CTRL1	Base Excision Repair	-0.0897935907693424
CTRL2	Base Excision Repair	0.19773995710235462
CTRL3	Base Excision Repair	0.42902916049058193
Treated1	Base Excision Repair	-0.46751873554114115
Treated2	Base Excision Repair	-0.32806546782026436
Treated3	Base Excision Repair	-0.07483327167458728
CTRL1	Nucleotide Excision Repair	0.026774777468058092
CTRL2	Nucleotide Excision Repair	0.05966966538872749
CTRL3	Nucleotide Excision Repair	0.22343361745739818
Treated1	Nucleotide Excision Repair	-0.29294952056852874
Treated2	Nucleotide Excision Repair	-0.2328399088986991
Treated3	Nucleotide Excision Repair	0.13665944945735292
CTRL1	Non-homologous End Joining	-0.5087927492205103
CTRL2	Non-homologous End Joining	-0.3568135899412199
CTRL3	Non-homologous End Joining	0.06215575500605758
Treated1	Non-homologous End Joining	0.21497709174406165
Treated2	Non-homologous End Joining	0.43685694327143093
Treated3	Non-homologous End Joining	0.3316557255368231
>>>>>>> main
