baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Significant	ENS_ID	geneSymbol	CTRL1	CTRL2	CTRL3	Treated1	Treated2	Treated3	Preference
1564.12039133786	-1.309828278759949	0.07284111205172994	-17.98199178823274	2.6963018659546555e-72	5.7014275848037056e-70	P-val < 0.05	ENSG00000002746.15	HECW1	2417	2359	2591	760	814	899	Up
197.69078343622724	-1.654363319153954	0.17242902184975506	-9.594459803845972	8.435782705323732e-22	2.0189771186568857e-20	P-val < 0.05	ENSG00000002933.9	TMEM176A	297	336	362	82	89	91	Up
272.06798902277444	-1.9656049363897892	0.200669084139654	-9.795255431682952	1.1799879374906468e-22	3.029127983212848e-21	P-val < 0.05	ENSG00000003989.18	SLC7A2	409	619	399	115	96	92	Up
33.66916900975649	-1.5144515710292183	0.4294090289232571	-3.526827497844432	4.205706771848505e-4	0.00147006222899428	P-val < 0.05	ENSG00000004468.13	CD38	69	44	50	14	16	18	Up
17.63652477105508	-1.6025558814391978	0.5856721424449872	-2.7362678968288603	0.00621404143884883	0.01649064613174129	P-val < 0.05	ENSG00000005421.9	PON1	23	36	29	6	12	6	Up
56.216647235974634	-1.1923757667214063	0.3346452972346489	-3.563103311400573	3.664963579770419e-4	0.00129944425911431	P-val < 0.05	ENSG00000005471.19	ABCB4	91	82	84	40	29	24	Up
34.32908489548793	-1.1686764619239145	0.4557976235574965	-2.5640249126408445	0.0103466117814932	0.02594685832622657	P-val < 0.05	ENSG00000006283.18	CACNA1G	63	39	54	13	32	13	Up
1395.7791611478276	1.507493236246525	0.1988909000935477	7.579498285429249	3.468937864601618e-14	4.552231896407152e-13	P-val < 0.05	ENSG00000006327.14	TNFRSF12A	636	784	1007	1510	1757	2456	Down
78.07486919531277	-1.056917949809144	0.26753499698251887	-3.950578285943669	7.796259092073007e-5	3.1274999068552604e-4	P-val < 0.05	ENSG00000006453.14	BAIAP2L1	110	102	138	47	47	45	Up
18.931098427096646	-1.6707862523675308	0.5737851108361345	-2.9118675629850657	0.00359274928549821	0.01015563687273512	P-val < 0.05	ENSG00000007933.13	FMO3	22	41	33	5	12	8	Up
11.738741376766646	2.4506323250817603	0.7962850943038917	3.0775815629502525	0.00208687720212098	0.00624328154794392	P-val < 0.05	ENSG00000008118.10	CAMK1G	3	5	4	29	17	7	Down
35.38754086938714	1.186044234071099	0.4032276352862004	2.9413763598550875	0.00326757258066148	0.00934614157048496	P-val < 0.05	ENSG00000008516.18	MMP25	23	16	33	42	50	43	Down
93.2326651321706	-1.0733520886472103	0.26558913360426434	-4.0414006178676605	5.313289822290976e-5	2.1927743972839075e-4	P-val < 0.05	ENSG00000009950.16	MLXIPL	110	132	181	39	69	58	Up
731.1119449397272	1.7776237309317655	0.10254124829829604	17.335694273592193	2.529936026196981e-67	4.360631750699687e-65	P-val < 0.05	ENSG00000013588.9	GPRC5A	289	397	412	993	1010	1109	Down
175.9217021020599	-1.3132407324882136	0.19843693350577848	-6.617924946164178	3.6427587763655966e-11	3.5094704209504346e-10	P-val < 0.05	ENSG00000017427.17	IGF1	285	299	240	79	94	105	Up
12.542897513329333	-2.216217093754512	0.7465727065432944	-2.9685214505306745	0.00299236215774911	0.00864212056006648	P-val < 0.05	ENSG00000021355.13	SERPINB1	28	22	17	7	2	3	Up
18.921040824206106	1.7756123086659077	0.5624983482037103	3.15665337389198	0.00159590933362332	0.00489878724063872	P-val < 0.05	ENSG00000021488.13	SLC7A9	13	6	9	27	29	24	Down
97.78401434044794	-2.4448685128642147	0.26736385102608734	-9.144349557658275	5.998977444623997e-20	1.2658953329905638e-18	P-val < 0.05	ENSG00000021852.13	C8B	169	179	199	33	25	25	Up
429.7668238438864	1.293674608976827	0.12394270392615468	10.43768263880705	1.6683359565133735e-25	5.1457501960971134e-24	P-val < 0.05	ENSG00000023445.16	BIRC3	252	261	313	574	506	595	Down
6578.04005237144	-1.014279537470372	0.04988458803533115	-20.33252307810983	6.630390321039861e-92	2.344757515083596e-89	P-val < 0.05	ENSG00000033178.13	UBA6	8713	10056	10392	3896	3804	4267	Up
85.46788868795748	-1.3669218994983492	0.2731343868797816	-5.004576373973708	5.598501240927196e-7	3.1773895670353545e-6	P-val < 0.05	ENSG00000039537.14	C6	125	158	123	39	53	39	Up
46.708848074242496	-1.278896595239534	0.35795118063589165	-3.572824073292914	3.531520269150366e-4	0.00125559043578684	P-val < 0.05	ENSG00000040731.10	CDH10	65	57	99	25	22	28	Up
25.21557236137692	-1.9702571561902813	0.5419724137810664	-3.635345833277375	2.7760797076711283e-4	0.00100832602946772	P-val < 0.05	ENSG00000046604.14	DSG2	57	45	28	8	14	6	Up
19721.050048826364	-1.016188181878939	0.05870180893807414	-17.31101988613228	3.8847251904955864e-67	6.585090775392972e-65	P-val < 0.05	ENSG00000047457.14	CP	27240.79	30130.75	29891.66	11140.92	10871.67	13932.56	Up
33.51895843598924	2.1384305442411526	0.47243191333916634	4.526431182700267	5.998812166600878e-6	2.910850162033371e-5	P-val < 0.05	ENSG00000049249.9	TNFRSF9	7	10	25	57	53	39	Down
14658.294051271809	1.0359696757754622	0.03877511542851109	26.717384702192803	2.9565855608085835e-157	2.246019497694254e-154	P-val < 0.05	ENSG00000050405.14	LIMA1	9439	10758	11687	16754	17922	19530	Down
53.31690766850348	1.8773578644353417	0.34566249364313834	5.431187643903085	5.5980232489542067e-8	3.6625535840286993e-7	P-val < 0.05	ENSG00000053108.17	FSTL4	32	17	26	74	75	81	Down
1190.867357037235	1.0514797601638	0.07626466941305524	13.787246024353763	3.0415095479068254e-43	2.446447150475173e-41	P-val < 0.05	ENSG00000053372.5	MRTO4	826	824	915	1364	1435	1621	Down
138.41400160473796	-1.1386246807673115	0.20999256035787467	-5.422214381437317	5.8865224201536227e-8	3.843949740839572e-7	P-val < 0.05	ENSG00000055118.17	KCNH2	191	235	203	75	69	94	Up
1027.6594341166062	-1.9330047627364144	0.08649251123760078	-22.34881072450677	1.2400270170866671e-110	6.693208986174901e-108	P-val < 0.05	ENSG00000055955.17	ITIH4	1579.45	1789.34	2043.55	342.83	393.71	438.08	Up
101.16655905897748	-2.257381254096702	0.2577172420157304	-8.759139421331062	1.9674664680937614e-18	3.681998606484593e-17	P-val < 0.05	ENSG00000055957.11	ITIH1	153	187	217	35	29	32	Up
96.84405453032372	1.730288902415107	0.26308057723987405	6.577030203326062	4.799373153729336e-11	4.5595156441010835e-10	P-val < 0.05	ENSG00000056558.11	TRAF1	35	48	67	151	128	128	Down
