SpliceID	geneSymbol	dPSI	Preference_psi	Preference_de	z	sample_id
ACHE:100892333-100892554	ACHE	0.118	Inclusion	Down	NA	NA
ACHE:100892333-100892643	ACHE	0.118	Inclusion	Down	NA	NA
ACHE:100892333-100892818	ACHE	0.115	Inclusion	Down	NA	NA
ADGRE5:14397076-14397223	ADGRE5	0.163	Inclusion	Down	NA	NA
ARID5B:62057116-62057318	ARID5B	0.21	Inclusion	Down	NA	NA
BABAM1:17268755-17269091	BABAM1	0.217	Inclusion	Down	NA	NA
BCAS3:61368326-61368494	BCAS3	0.128	Inclusion	Down	NA	NA
CAMK2G:73828088-73828121	CAMK2G	0.189	Inclusion	NA	NA	NA
CD44:35201667-35201787	CD44	0.205	Inclusion	Down	NA	NA
CD44:35201670-35201787	CD44	0.236	Inclusion	Down	NA	NA
CD74:150403120-150403312	CD74	0.153	Inclusion	Down	NA	NA
CD74:150403120-150403312	CD74	0.763	Inclusion	Down	NA	NA
CD74:150403120-150404767	CD74	0.156	Inclusion	Down	NA	NA
CD74:150403120-150404767	CD74	0.593	Inclusion	Down	NA	NA
CD74:150404679-150404767	CD74	0.277	Inclusion	Down	NA	NA
CDC25A:48180720-48180840	CDC25A	0.174	Inclusion	Down	NA	NA
CDK4:57750922-57751090	CDK4	0.323	Inclusion	Down	-3.63544	pHGG
CDK5:151055531-151055606	CDK5	0.27	Inclusion	Down	NA	NA
CHL1:390700-390816	CHL1	0.835	Inclusion	Down	NA	NA
CLK1:200860124-200860215	CLK1	0.525	Inclusion	Down	NA	NA
CLK4:178617343-178617434	CLK4	0.374	Inclusion	Down	NA	NA
CLTCL1:19208153-19208311	CLTCL1	0.526	Inclusion	Down	NA	NA
CREB5:28507615-28507737	CREB5	0.103	Inclusion	Down	NA	NA
CRTC2:153951259-153951666	CRTC2	0.305	Inclusion	Down	NA	NA
DNAJC11:6652828-6652951	DNAJC11	0.121	Inclusion	NA	NA	NA
DNAJC11:6652828-6653387	DNAJC11	0.157	Inclusion	NA	NA	NA
DNMT1:10180777-10180885	DNMT1	0.207	Inclusion	Down	-2.9949785714285713	pHGG
ELP3:28113018-28113173	ELP3	0.314	Inclusion	Down	NA	NA
EWSR1:29288605-29288755	EWSR1	0.12	Inclusion	NA	-2.9172291666666665	pHGG
FGFR3:1803691-1803836	FGFR3	0.173	Inclusion	Down	NA	NA
FGFR4:177090389-177090653	FGFR4	0.144	Inclusion	NA	NA	NA
GATAD2A:19492580-19492712	GATAD2A	0.177	Inclusion	NA	NA	NA
GGA1:37625796-37625949	GGA1	0.133	Inclusion	NA	NA	NA
GGA1:37625796-37625949	GGA1	0.284	Inclusion	NA	NA	NA
HCFC1:153958568-153958766	HCFC1	0.115	Inclusion	NA	NA	NA
HDAC9:18585280-18585522	HDAC9	0.142	Inclusion	Down	NA	NA
HDAC9:18585280-18585522	HDAC9	0.405	Inclusion	Down	NA	NA
HDAC9:18648465-18648683	HDAC9	0.185	Inclusion	Down	NA	NA
HJURP:233847396-233847461	HJURP	0.19	Inclusion	Down	NA	NA
HNRNPA2B1:26193598-26193694	HNRNPA2B1	0.528	Inclusion	Down	NA	NA
HNRNPAB:178209329-178209432	HNRNPAB	0.138	Inclusion	NA	NA	NA
IKBKE:206493265-206493378	IKBKE	0.161	Inclusion	Down	NA	NA
ITGB4:75755700-75755850	ITGB4	0.148	Inclusion	NA	NA	NA
KAT7:49796749-49796926	KAT7	0.102	Inclusion	Down	NA	NA
LOXL3:74536708-74536928	LOXL3	0.182	Inclusion	Down	NA	NA
MAP2:209692624-209696350	MAP2	0.276	Inclusion	Down	NA	NA
MAP2:209692636-209696350	MAP2	0.382	Inclusion	Down	NA	NA
MGA:41762128-41762362	MGA	0.105	Inclusion	Down	NA	NA
MNAT1:60796216-60796369	MNAT1	0.212	Inclusion	NA	NA	NA
MNAT1:60968228-60968397	MNAT1	0.119	Inclusion	NA	NA	NA
MRE11:94492781-94492897	MRE11	0.371	Inclusion	Down	NA	NA
