baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Significant	gene	CTRL1	CTRL2	CTRL3	Treated1	Treated2	Treated3
4066.145731721703	-0.2924352313341605	0.06051137301061206	-4.83273171281166	1.3467222194310896e-6	7.232945651414265e-6	P-val < 0.05	ENSG00000000003.15_TSPAN6	4334	5232	5280	2967	3279	3830
1766.1351704592064	0.10100871665378026	0.06844144741615414	1.475841328129763	0.13998649316239511	0.23674661619837453	Not Sig	ENSG00000000419.14_DPM1	1757	1923	1958	1550	1779	1692
2251.1118004184973	-0.07305857470950078	0.059452277888246995	-1.2288608158434176	0.2191239950116037	0.33869270999871914	Not Sig	ENSG00000000457.14_SCYL3	2298	2614	2736	1925	2040	2060
5905.65669465722	-0.23316977272960282	0.05074539129616327	-4.594895551573611	4.329660859146233e-6	2.1492176641323425e-5	P-val < 0.05	ENSG00000000460.17_C1orf112	6223	7452	7478	4560	5122	5249
647.3089740483636	-0.5792312451274001	0.11407226276495637	-5.077757125944758	3.8191646227503366e-7	2.2178619925603667e-6	P-val < 0.05	ENSG00000000971.16_CFH	875.85	875.13	801.21	454.99	437.92	533.95
6070.509834400675	0.2724445564255808	0.057904159025766296	4.705094780918032	2.53748038945721e-6	1.3076949816119808e-5	P-val < 0.05	ENSG00000001036.14_FUCA2	5336	6287	6623	5323	5946	7051
3061.317665711325	-0.667216002907787	0.060407996119929606	-11.045160339090629	2.313542676690509e-28	8.519402844093182e-27	P-val < 0.05	ENSG00000001084.13_GCLC	3609	4250	4614	2152	2065.84	2277
4919.146543976778	-0.09384368241292042	0.04710747624054004	-1.99211865933416	0.04635804011742711	0.09490465723610614	P-val < 0.05	ENSG00000001167.15_NFYA	5050	5658	6135	3935	4492.86	4668
2154.8363624950034	-0.08654157762065479	0.06014439313263725	-1.4388968466238152	0.15017975110809703	0.25065805801759117	Not Sig	ENSG00000001460.18_STPG1	2150	2484	2734	1785	1958	2003
7691.288013945755	-0.3397002698290539	0.04547531791429631	-7.469992193771131	8.019957846964463e-14	1.011047052237788e-12	P-val < 0.05	ENSG00000001461.17_NIPAL3	8456	9680	10365	5665	6125	6904
