samples	PSI	Group
BS_052PZFMK	0.697	Low
BS_063ERW0R	0.656	Low
BS_0RQ4P069	0.316	Low
BS_0SPCTBZY	0.306	Low
BS_0WQJP6ZG	0.595	Low
BS_1021ZGQT	0.569	Low
BS_1607397Q	0.702	Low
BS_1EBQ3T20	0.621	Low
BS_1EN5V3XW	0.551	Low
BS_1KYGSMA7	0.591	Low
BS_273HKCT4	0.434	Low
BS_1RXZ3BP7	0.554	Low
BS_1ZVXF5FE	0.54	Low
BS_2A162JH9	0.581	Low
BS_28CDASF7	0.473	Low
BS_29CPJ040	0.601	Low
BS_2EN3X6HB	0.419	Low
BS_2EMW8ZG3	0.58	Low
BS_2HN96129	0.652	Low
BS_2W3NC4K1	0.546	Low
BS_3BVVWHP5	0.615	Low
BS_3EVSN5QD	0.526	Low
BS_40MP5BWR	0.524	Low
BS_3P20Q2C3	0.554	Low
BS_3W07B2TG	0.582	Low
BS_3Y0QXZQB	0.642	Low
BS_46BZ2NNN	0.7	Low
BS_49VCQD19	0.451	Low
BS_4E1G7E3G	0.578	Low
BS_4EN8D8Y4	0.656	Low
BS_4JWBB28H	0.567	Low
BS_52MPKTJH	0.698	Low
BS_AJ6X83G5	0.702	Low
BS_5965SFPZ	0.705	Low
BS_52DAPP1Y	0.638	Low
BS_59ZJWJTF	0.548	Low
BS_53M8PP88	0.577	Low
BS_4GTESTSE	0.697	Low
BS_55P8HPYD	0.681	Low
BS_5GNQC2FF	0.138	Low
BS_5P1TN10Z	0.59	Low
BS_5P3CZQV8	0.586	Low
BS_5YJEPPTP	0.695	Low
BS_64HCD9K3	0.647	Low
BS_6VPKXXMR	0.677	Low
BS_69V8P8A0	0.693	Low
BS_699TN5RN	0.625	Low
BS_6NRTJSYK	0.669	Low
BS_6R7SFVV2	0.532	Low
BS_6VF6VPCG	0.631	Low
BS_6NTXGQAC	0.58	Low
BS_CQSAJ7BF	0.61	Low
BS_7P83Z28P	0.704	Low
BS_8ZD6J47V	0.688	Low
BS_8ZS9F31R	0.671	Low
BS_893A91ZM	0.572	Low
BS_8J09S6MZ	0.334	Low
BS_8NY9J9NQ	0.703	Low
BS_8Z3SCKB5	0.627	Low
BS_9RT63JD9	0.669	Low
BS_94MT16N2	0.651	Low
BS_9DZ253JY	0.482	Low
BS_9E7YVFJM	0.671	Low
BS_9GJ23RHH	0.597	Low
BS_A3QZB9Y2	0.358	Low
BS_B1C6GZ84	0.699	Low
BS_AA164D3A	0.668	Low
BS_BWBDH9GM	0.586	Low
