Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
MT-CO1	352941.506545199	0.224641487457665	0.388808229303052	0.577769374532891	0.563419834375291	0.794822246639036
MT-ND4	206710.752084917	-0.0571951660736519	0.493643142027926	-0.115863386329423	0.90776081368873	0.968283139850285
MT-RNR2	11488.6782043201	-0.422541971951615	0.957065469180075	-0.441497458176617	0.658852901265971	0.846125591712272
MT-CO3	92746.3998282979	0.535367762198132	0.40114678726971	1.33459316935319	0.182009534853429	0.479743220421288
MT-CYB	103203.850438938	0.299881007173539	0.470736586265199	0.637046314060228	0.524094676405638	0.773827693650186
MT-CO2	90846.3680569542	0.641969099911909	0.360163538187431	1.78243778685288	0.0746778680771866	0.315368634572334
MT-ND2	98895.2616394203	-0.0412811382636918	0.440493403275146	-0.0937156787292596	0.925335015267617	0.97471027792382
MT-ATP6	75683.2717802248	0.204190891880546	0.412324653360826	0.495218731686795	0.620445729591997	0.825132616600474
MT-ND1	91138.6325971281	0.0560989979636311	0.433918980998894	0.129284498766312	0.89713253668385	0.963313841041206
MT-ND5	114432.400397238	0.182293904053284	0.376079816902328	0.484721316753427	0.627874043300702	0.828649194263275
EEF1A1	166952.849100747	0.78069140683684	0.592347831067802	1.31796111320188	0.187516665834435	0.485544837385479
ACTB	186026.350150428	1.69780368259234	0.696128417140059	2.43892310784772	0.0147311023684939	0.138671274360381
FN1	609038.616107964	6.43766125618679	1.19127384382833	5.40401460968743	6.5165633203984e-08	3.87172723458761e-05
FLNA	122713.960074006	2.54172582537121	0.779718960397949	3.25979738144879	0.00111491831332654	0.0328963821072037
MT-RNR1	7250.15626574568	-0.15564285168372	0.96013762811858	-0.162104730744391	0.871223380876983	0.952791232550455
MT-ND3	20545.0213482405	-0.255616892507135	0.571781173092715	-0.447053706096206	0.654836283228527	0.844202096664373
DES	301.570090205242	0.57989637937907	0.896660679859138	0.646728904706929	0.517807412447772	0.769396137584289
MYH11	974.007224493695	1.77187524278253	1.31703818404498	1.34534842212443	NA	NA
MT-ND4L	18089.4711315792	-0.0768168900550444	0.553207807067785	-0.138857205327965	0.889562988474826	0.959996517697692
NEAT1	95585.3185054436	-0.843250755746977	0.914821542280242	-0.921765302602221	0.356651009632042	0.65125966037407
FTL	49380.0794636278	-0.779234579986733	0.759113273171386	-1.02650632985415	0.304652981512212	0.60957940474952
MBP	90311.1641275406	-0.0192538582490541	1.91248876414545	-0.0100674360080004	0.991967483929533	0.997685198055051
AHNAK	79645.349283807	0.642781227443112	0.882423475662023	0.728427161302431	0.466352141580832	0.733257271186342
EEF2	80016.4909957564	0.918179033918041	0.525278111123003	1.74798647511705	0.0804663694055316	0.327821800022425
MT-ND6	1664.84554808512	0.00618189925142197	0.497339102507654	0.0124299481385074	0.990082591668595	0.996716694061938
ACTG1	107485.483924451	1.52809383146772	0.631207420008041	2.42090600178346	0.0154818800157611	0.141387124263651
MT-ATP8	13787.3045556572	0.395907454726748	0.345982279445054	1.14429980449222	0.25249932435485	0.55855967270728
RPL3	22712.7366098515	0.768430829559766	0.45172151083509	1.70111630977941	0.0889211488633629	0.341147149044032
KRT10	285.290059502064	0.94367510251119	0.600553491218222	1.57134229724807	0.116103161370784	0.389224011869073
GLUL	32107.8995689187	-0.988680105905744	0.855686165761427	-1.15542373532003	0.247916946793667	0.553935454964105
TPT1	22927.603559325	0.324663979789061	0.631121881204304	0.514423583554953	0.606955874287803	0.819633817452475
B2M	13939.3304924307	0.513889997324717	0.766254107954648	0.670652192255695	0.502442125256379	0.757287777676031
GPX3	6271.50172685537	-2.62112439633457	1.24155154645609	-2.11116840361269	NA	NA
RPL13A	23511.6732245935	0.877221284560189	0.507802524656415	1.72748507927118	0.0840805825773209	0.332866387933112
TXNIP	11484.1602767283	1.200647849643	0.542024283905015	2.21511818805042	0.0267519533507069	0.189834300894185
TPM2	10604.8735257157	2.80608279619432	0.924203144784477	3.03621861928277	0.00239565594675582	0.0523639111706443
