Kinase	Epigenetic	SWISNF	Cancer	SF
AKT1	HDGFL2	SMARCD1	UTX	ACIN1
AKT2	A1CF	SMARCD2	H3F3A	AGGF1
AKT3	ACTB	SMARCD3	DDX3X	ALYREF
CRIK	ACTL6A	BCL11A	KMT2D	AQR
DMPK1	ACTL6B	BCL11B	CTNNB1	ARGLU1
MRCKa	ACTR3B	Bcl7a	SMARCA4	BAG2
MRCKb	ACTR5	Bcl7b	TP53	BCAS1
DMPK2	ACTR6	Bcl7c	PTCH1	BCAS2
ROCK1	ACTR8	PBRM1	KDM6A	BUB3
ROCK2	ADNP	DPF1	FGFR1	BUD13
BARK1	AEBP2	DPF3	PIK3CA	BUD31
BARK2	AICDA	SS18L1	KMT2C	C17orf85
GPRK4	AIRE	ARID1A	BRAF	C19orf43
GPRK5	ALKBH1	ARID1B	CREBBP	SDE2
GPRK6	ANKRD32	SMARCA4	ACVR1	C1QBP
RHOK	ANP32A	SMARCA2	ATRX	C9orf78
GPRK7	ANP32B	ACTL6B	NF1	CACTIN
MAST1	ANP32E	SMARCE1	PDGFRA	CCAR1
MAST3	APBB1	SMARCC2	HIST1H3B	CCDC12
MAST2	APEX1	SMARCC1	HIST1H3C	CCDC130
MAST4	APOBEC1		CHD6	CCDC75
MASTL	APOBEC2		CHD7	CCDC94
LATS1	APOBEC3A		CHD8	CD2BP2
NDR1	APOBEC3B		CHD2	CDC40
NDR2	APOBEC3C		CHD4	CDC5L
LATS2	APOBEC3D		SETD2	CDK10
PDK1	APOBEC3F		CDC27	CDK11A
PKACa	APOBEC3G		CDKN2A	CDK12
PKACb	APOBEC3H		CHRD	CELF1
PKACg	ARID1A		EGFR	CELF2
PRKX	ARID1B		RUNX1	CELF3
PRKY	ARID2		IGF2R	CELF4
PKCa	ARID4A		RELA	CELF5
PKCb	ARID4B		ALK	CELF6
PKCg	ARNTL		YAP1	CFAP20
PKCd	ARRB1		NFIA	CHERP
PKCt	ASF1A		EZH2	CIRBP
PKCe	ASF1B		HIST1H3A	CLASRP
PKCh	ASH1L		SMARCB1	CLK1
PKCi	ASH2L		MYCN	CLK2
PKCz	ASXL1		IDH2	CLK3
PKG1	ASXL2		IDH1	CLK4
PKG2	ASXL3		NF2	CLNS1A
PKN1	ATAD2		AKT1	CPSF6
PKN2	ATAD2B		SMO	CRNKL1
PKN3	ATF2		SUFU	CSN3
MSK2	ATF7IP		TRAF7	CTNNBL1
MSK1	ATM		POLR2A	CWC15
p70S6K	ATN1		TERT	CWC22
p70S6Kb	ATR		NRAS	CWC25
RSK3	ATRX		KRAS	CWC27
RSK1	ATXN7		RAF1	CXorf56
RSK2	ATXN7L3		PTPN11	DDX1
RSK4	AURKA		NTRK2	DDX17
RSKL1	AURKB		TSC1	DDX18
RSKL2	AURKC		TSC2	DDX19A
SgK494	BABAM1		GLI2	DDX19B
SGK1	BAHD1		APC	DDX20
SGK2	BANP		PTCH2	DDX21
SGK3	BAP1		PRDM6	DDX23
YANK2	BARD1		GFI1	DDX26B
YANK1	BAZ1A		CDK6	DDX27
YANK3	BAZ1B		MET	DDX39A
ADCK3	BAZ2A		KIT	DDX39B
ADCK4	BAZ2B		APOBEC3A	DDX3X
ADCK1	BCOR		APOBEC3B	DDX3Y
ADCK5	BCORL1		ETV6	DDX41
ADCK2	BMI1		NTRK3	DDX42
AlphaK1	BPTF		KMT2A	DDX46
AlphaK3	BRCA1		CR2	DDX5
AlphaK2	BRCA2		VWF	DDX50
ChaK1	BRCC3		ASXL1	DDX6
ChaK2	BRD1		BTNL3	DGCR14
eEF2K	BRD2		CDKN2B	DHX15
BCR	BRD3		MYC	DHX16
BRDT	BRD4		C11ORF70	DHX30
BRD2	BRD7		C11ORF95	DHX34
BRD3	BRD8		TTYH1	DHX35
BRD4	BRD9		DPRX	DHX36
FASTK	BRDT		CIC	DHX38
G11	BRE		DUX4	DHX40
H11	BRMS1		DNMT3B	DHX57
BCKDK	BRMS1L		CCND1	DHX8
PDHK1	BRPF1		CCND2	DHX9
PDHK2	BRPF3		LIN28A	DNAJC6
PDHK3	BRWD1		MIR519C	DNAJC8
PDHK4	BRWD3		MIR515-1	EEF1A1
ATM	BUB1		MIR515-2	EFTUD2
ATR	C11orf30		SNCAIP	EIF2S2
DNAPK	C14orf169		LRB1B	EIF3A
FRAP	C17orf49		OTX2	EIF4A3
SMG1	CARM1		DUX4L1	ELAVL1
TRRAP	CBX1		CFAP300	ELAVL2
RIOK1	CBX2		MLH1	ELAVL3
RIOK2	CBX3		MSH2	ELAVL4
RIOK3	CBX4		PMS2	FAM32A
TAF1	CBX5		MSH6	FAM50A
TAF1L	CBX6		PMS1	FAM50B
TIF1a	CBX7		POLE	FAM58A
TIF1b	CBX8		POLD1	FMR1
TIF1g	CCDC101		MLH3	FRA10AC1
CaMK4	CDC6		MSH4	FRG1
CaMK1a	CDC73		MSH5	FUBP1
CaMK1d	CDK1		KMT5B	FUBP3
CaMK1g	CDK17		EZHIP	FUS
CaMK1b	CDK2		CXORF67	GEMIN2
CaMK2a	CDK3		MYB	GEMIN5
CaMK2b	CDK5		BCOR	GNB2L1
CaMK2d	CDK7		FOXR2	GPATCH1
CaMK2g	CDK9		MYBL1	GPATCH3
AMPKa1	CDY1			GPATCH8
AMPKa2	CDY1B			GPKOW
BRSK2	CDY2A			GRSF1
BRSK1	CDY2B			HNRNPA0
CHK1	CDYL			HNRNPA1
HUNK	CDYL2			HNRNPA2B1
LKB1	CECR2			HNRNPA3
MARK2	CENPC			HNRNPAB
MARK1	CHAF1A			HNRNPC
MARK3	CHAF1B			HNRNPCL1
MARK4	CHD1			HNRNPD
MELK	CHD1L			HNRNPDL
NIM1	CHD2			HNRNPF
NuaK1	CHD3			HNRNPH1
NuaK2	CHD4			HNRNPH2
PASK	CHD5			HNRNPH3
QIK	CHD6			HNRNPK
QSK	CHD7			HNRNPL
SIK	CHD8			HNRNPLL
SNRK	CHD9			HNRNPM
STK33	CHEK1			HNRNPR
VACAMKL	CHRAC1			HNRNPU
CASK	CHTOP			HNRNPUL1
DAPK1	CHUK			HNRNPUL2
DAPK3	CIR1			HSPA1A
DAPK2	CIT			HSPA1B
DRAK2	CLNS1A			HSPA5
DRAK1	CLOCK			HSPA8
DCLK1	CRB2			HSPB1
DCLK3	CREBBP			HTATSF1
DCLK2	CSNK2A1			IGF2BP3
MAPKAPK3	CSRP2BP			IK
MAPKAPK5	CTBP1			ILF2
MAPKAPK2	CTBP2			ILF3
MNK2	CTCF			INTS1
MNK1	CTCFL			INTS3
smMLCK	CTR9			INTS4
TTN	CUL1			INTS5
skMLCK	CUL2			INTS6
caMLCK	CUL3			INTS7
SgK085	CUL4A			ISY1
PHKg1	CUL4B			JUP
PHKg2	CUL5			KHDRBS1
PIM1	CXXC1			KHDRBS3
PIM2	DAPK3			KHSRP
PIM3	DAXX			KIAA1429
PKD1	DDB1			KIAA1967
PKD3	DDB2			KIN
PKD2	DDX21			LENG1
PSKH1	DDX50			LOC649330
PSKH2	DEK			LSM1
CHK2	DMAP1			LSM10
SgK495	DNAJC1			LSM2
Trb1	DNAJC2			LSM3
Trb2	DND1			LSM4
Trb3	DNMT1			LSM5
Obscn	DNMT3A			LSM6
SPEG	DNMT3B			LSM7
Trio	DNMT3L			LSM8
Trad	DNTTIP2			LSMD1
TSSK2	DOT1L			LUC7L
TSSK3	DPF1			LUC7L2
TSSK1	DPF2			LUC7L3
SSTK	DPF3			MAGOH
TSSK4	DPPA3			MATR3
CK1a	DPY30			MBNL1
CK1a2	DR1			MBNL2
CK1d	DTX3L			MBNL3
CK1e	DZIP3			MFAP1
CK1g2	E2F6			MFSD11
CK1g3	EED			MOV10
CK1g1	EHMT1			MSI1
TTBK1	EHMT2			MSI2
TTBK2	EID1			MYEF2
VRK1	EID2			NCBP1
VRK2	EID2B			NCBP2
VRK3	ELP2			NELFE
CCRK	ELP3			NKAP
CDC2	ELP4			NONO
CDK2	ELP5			NOSIP
CDK3	ELP6			NOVA1
CDK10	ENY2			NOVA2
CDK4	EP300			NRIP2
CDK6	EP400			NSRP1
CDK5	EPC1			NUDT21
CDK7	EPC2			NUMA1
CDK8	ERBB4			PABPC1
CDK11	ERCC6			PAXBP1
CDK9	EXOSC1			PCBP1
CHED	EXOSC2			PCBP2
CRK7	EXOSC3			PCBP3
PCTAIRE1	EXOSC4			PCBP4
PCTAIRE2	EXOSC5			PDCD7
PCTAIRE3	EXOSC6			PHF5A
PFTAIRE1	EXOSC7			PLRG1
PFTAIRE2	EXOSC8			PNN
PITSLRE	EXOSC9			PPIE
CDKL5	EYA1			PPIG
CDKL1	EYA2			PPIH
CDKL2	EYA3			PPIL1
CDKL3	EYA4			PPIL2
CDKL4	EZH1			PPIL3
CK2a1	EZH2			PPIL4
CK2a2	FAM175A			PPM1G
CLK1	FAM175B			PPP1CA
CLK2	FBL			PPP1R8
CLK3	FBRS			PPWD1
CLK4	FBRSL1			PQBP1
DYRK1A	FOXA1			PRCC
DYRK1B	FOXO1			PRMT5
DYRK3	FOXP1			PRPF18
DYRK2	FOXP2			PRPF19
DYRK4	FOXP3			PRPF3
HIPK3	FOXP4			PRPF31
HIPK2	GADD45A			PRPF38A
HIPK4	GADD45B			PRPF38B
HIPK1	GADD45G			PRPF39
PRP4	GATAD1			PRPF4
GSK3A	GATAD2A			PRPF40A
GSK3B	GATAD2B			PRPF40B
Erk2	GFI1			PRPF4B
Erk1	GFI1B			PRPF6
Erk4	GLYR1			PRPF8
Erk3	GSE1			PSEN1
Erk5	GSG2			PSIP1
Erk7	GTF2I			PTBP1
JNK1	GTF3C4			PTBP2
JNK2	HAT1			PTBP3
JNK3	HCFC1			PUF60
NLK	HCFC2			QKI
p38a	HDAC1			RALY
p38b	HDAC10			RALYL
p38d	HDAC11			RAVER1
p38g	HDAC2			RAVER2
MAK	HDAC3			RBBP6
MOK	HDAC4			RBFOX2
ICK	HDAC5			RBM10
SRPK1	HDAC6			RBM14
SRPK2	HDAC7			RBM15
MSSK1	HDAC8			RBM15B
AurA	HDAC9			RBM17
AurC	HDGF			RBM22
AurB	HELLS			RBM23
BUB1	HIF1AN			RBM25
BUBR1	HINFP			RBM26
PRPK	HIRA			RBM27
CaMKK2	HIRIP3			RBM3
CaMKK1	HJURP			RBM39
CDC7	HLCS			RBM4
Haspin	HLTF			RBM42
IKKa	HMG20A			RBM45
IKKb	HMG20B			RBM47
IKKe	HMGB1			RBM4B
TBK1	HMGN1			RBM5
IRE1	HMGN2			RBM7
IRE2	HMGN3			RBM8A
KIS	HMGN4			RBMS1
MOS	HMGN5			RBMX
AAK1	HP1BP3			RBMX2
BIKE	HR			RBMXL1
GAK	HSPA1A			RBMXL2
MPSK1	HSPA1B			RNF113A
NEK1	HUWE1			RNF20
NEK3	IKBKAP			RNF213
NEK5	IKZF1			RNF34
NEK10	IKZF3			RNF40
NEK11	ING1			RNPC3
NEK2	ING2			RNPS1
NEK4	ING3			RNU1-1
NEK6	ING4			RNU2-1
NEK7	ING5			RNU4-1
NEK9	INO80			RNU5A-1
NEK8	INO80B			RNU6-1
SBK	INO80C			SAP18
SgK069	INO80D			SAP30BP
SgK110	INO80E			SART1
PINK1	JADE1			SEC31B
SgK269	JADE2			SF1
SgK223	JADE3			SF3A1
CLIK1	JAK2			SF3A2
CLIK1L	JARID2			SF3A3
SgK307	JDP2			SF3B1
SgK424	JMJD1C			SF3B2
NRBP1	JMJD6			SF3B3
NRBP2	KANSL1			SF3B4
RNAseL	KANSL2			SF3B5
SgK396	KANSL3			SF3B6
SgK196	KAT2A			SFPQ
GCN2	KAT2B			SKIV2L2
HRI	KAT5			SLU7
PEK	KAT6A			SMN1
PKR	KAT6B			SMNDC1
PLK1	KAT7			SMU1
PLK3	KAT8			SNIP1
PLK2	KDM1A			SNRNP200
PLK4	KDM1B			SNRNP25
SCYL2	KDM2A			SNRNP27
SCYL3	KDM2B			SNRNP35
SCYL1	KDM3A			SNRNP40
SgK071	KDM3B			SNRNP48
SgK493	KDM4A			SNRNP70
SgK496	KDM4B			SNRPA
Slob	KDM4C			SNRPA1
TBCK	KDM4D			SNRPB
TLK1	KDM4E			SNRPB2
TLK2	KDM5A			SNRPC
PBK	KDM5B			SNRPD1
TTK	KDM5C			SNRPD2
Fused	KDM5D			SNRPD3
ULK1	KDM6A			SNRPE
ULK2	KDM6B			SNRPF
