Sample	Total	AS_neg	AS_pos	AS_total	SI	Histology
BS_014EVM2D	9546	48	45	93	0.00974230043997486	LGAT
BS_02NZT8CE	9133	49	43	92	0.0100733603416183	LGAT
BS_03FT4S8B	18935	176	271	447	0.0236070768418273	Craniopharyngioma
BS_044XZ8ST	14444	55	55	110	0.0076156189421213	LGAT
BS_052PZFMK	6260	199	327	526	0.0840255591054313	HGAT
BS_063ERW0R	11171	63	37	100	0.00895175006713813	LGAT
BS_06AMMCXR	13178	64	44	108	0.0081954773106693	LGAT
BS_07ANYSYQ	10497	195	113	308	0.0293417166809565	Ependymoma
BS_09Z7TC35	13360	294	287	581	0.0434880239520958	Medulloblastoma
BS_0BXY0F9N	8676	92	248	340	0.0391885661595205	Ependymoma
BS_0C7VZC0A	14044	322	112	434	0.0309028766733124	HGAT
BS_0J9SHHSC	16604	48	92	140	0.00843170320404722	LGAT
BS_0QYS36NR	7836	105	138	243	0.031010719754977	Ependymoma
BS_0RQ4P069	8022	244	213	457	0.0569683370730491	HGAT
BS_0SCXXM6N	8996	40	38	78	0.00867052023121387	LGAT
BS_0T17SY47	14142	212	269	481	0.0340121623532739	LGAT
BS_0VXZCRJS	8070	110	119	229	0.0283767038413879	HGAT
BS_0WQJP6ZG	3548	70	192	262	0.0738444193912063	Ependymoma
BS_0WVJYM9R	13211	49	112	161	0.0121868140186208	LGAT
BS_0X9EGHY2	6276	165	172	337	0.0536966220522626	LGAT
BS_0XEG6SNV	12012	145	307	452	0.0376290376290376	Ependymoma
BS_0Y66ZBWE	11952	144	104	248	0.0207496653279786	LGAT
BS_0ZA67BBC	7879	109	158	267	0.0338875491813682	HGAT
BS_13CGKADW	12527	48	82	130	0.0103775844176579	LGAT
BS_15ETQ0E4	7791	187	116	303	0.0388910281093569	ATRT
BS_17WYVEEC	7938	60	51	111	0.0139833711262283	LGAT
BS_196BBNEJ	10058	191	78	269	0.026744879697753	Ependymoma
BS_1A6MQ9ZA	5839	90	79	169	0.028943312210995	HGAT
BS_1AYRM596	10379	329	289	618	0.0595433086039117	Medulloblastoma
BS_1BWP5MCT	11052	557	407	964	0.087224031849439	Medulloblastoma
BS_1D6PZNKN	10995	452	122	574	0.0522055479763529	HGAT
BS_1EBQ3T20	10765	215	454	669	0.0621458430097538	HGAT
BS_1EN5V3XW	12045	92	69	161	0.0133665421336654	HGAT
BS_1G3WYEN3	12865	77	75	152	0.0118150019432569	LGAT
BS_1HFK0SXV	8613	115	120	235	0.0272843376291652	Craniopharyngioma
BS_1J2WQ08M	12656	70	84	154	0.0121681415929204	Ependymoma
BS_1JDG6JV5	14161	180	95	275	0.0194195325188899	LGAT
BS_1KYGSMA7	10633	32	30	62	0.00583090379008746	LGAT
BS_1N7MQZGR	9252	47	203	250	0.0270211846087332	HGAT
BS_1NPD7PVG	11281	90	38	128	0.0113465118340573	Ganglioglioma
BS_1QNTEZPS	12652	157	116	273	0.0215776161871641	ATRT
BS_1QXEC43H	13290	417	229	646	0.0486079759217457	Medulloblastoma
BS_1RXZ3BP7	10310	60	61	121	0.0117361784675073	LGAT
BS_1TPWFSK6	7375	53	74	127	0.0172203389830508	LGAT
BS_1TWCV047	8336	237	306	543	0.0651391554702495	Medulloblastoma
BS_1ZVXF5FE	7959	110	76	186	0.023369770071617	LGAT
BS_21ET39G7	14613	86	309	395	0.0270307260658318	HGAT
BS_21RE8W46	10068	129	228	357	0.0354588796185936	LGAT
BS_23QW0BBA	11148	143	95	238	0.0213491209185504	HGAT
BS_23W9EPFE	7012	627	446	1073	0.153023388476897	Ganglioglioma
BS_24AHZ9ZW	13994	43	37	80	0.00571673574389024	LGAT
BS_258RRGDM	10662	53	88	141	0.0132245357343838	LGAT
BS_25T139TX	8496	144	150	294	0.0346045197740113	LGAT
BS_27QE6BV7	10511	198	132	330	0.031395680715441	Ganglioglioma
BS_29X4ZX6Q	10929	182	142	324	0.0296458962393632	HGAT
BS_2A162JH9	14716	631	474	1105	0.0750883392226148	HGAT
BS_2A5R9MEJ	13294	188	116	304	0.022867459004062	HGAT
BS_2ADZNNV4	10472	49	33	82	0.00783040488922842	LGAT
BS_2AR3AP0N	11789	82	75	157	0.0133174993638137	Ganglioglioma
BS_2EMW8ZG3	9131	118	91	209	0.0228890592487132	LGAT
BS_2EN3X6HB	4250	91	103	194	0.0456470588235294	HGAT
BS_2JP7RBMB	11119	180	245	425	0.0382228617681446	HGAT
BS_2KJ2YAZR	11960	54	35	89	0.00744147157190635	LGAT
BS_2R9TCR03	8933	156	149	305	0.0341430650397403	LGAT
BS_2SFTWNVE	16284	192	206	398	0.0244411692458855	Medulloblastoma
BS_2WPQ8YCW	6861	95	72	167	0.0243404751493951	LGAT
BS_2YCJV2VV	10922	54	33	87	0.00796557407068302	LGAT
BS_2Z1MKS84	13631	167	211	378	0.0277309074902795	Medulloblastoma
BS_30VC3R2Q	11882	127	30	157	0.0132132637603097	HGAT
BS_31TF0P1N	5627	535	328	863	0.153367691487471	ATRT
BS_34201DKZ	13142	117	255	372	0.0283061938822097	Ependymoma
BS_399RPKC9	10559	82	60	142	0.0134482432048489	HGAT
BS_3AC3SRWH	1835	238	215	453	0.246866485013624	HGAT
BS_3BDAG9YN	3407	94	216	310	0.0909891400058703	Medulloblastoma
BS_3F4FQJMR	4443	86	403	489	0.110060769750169	Ependymoma
BS_3F5PR9GS	8892	281	138	419	0.0471210076473234	Medulloblastoma
BS_3G3KWY18	11499	69	28	97	0.00843551613183755	LGAT
BS_3H71BH6Q	10777	55	65	120	0.0111348241625684	Ganglioglioma
BS_3MS8WVNR	13026	79	97	176	0.0135114386611393	HGAT
BS_3MYEMXPQ	11124	503	304	807	0.0725458468176915	Medulloblastoma
BS_3NWQXPQV	10558	603	327	930	0.0880848645576814	Medulloblastoma
BS_3P20Q2C3	13073	156	128	284	0.021724164308116	LGAT
BS_3PYESPHA	9895	127	165	292	0.0295098534613441	Ganglioglioma
BS_3Q0GTSYH	8969	68	68	136	0.0151633403946928	LGAT
BS_3TQSE8HF	12197	104	264	368	0.0301713536115438	LGAT
BS_3V3KE3VT	10840	319	238	557	0.0513837638376384	Medulloblastoma
BS_3W07B2TG	12536	113	67	180	0.0143586470963625	LGAT
BS_3X9WMZGJ	8957	100	168	268	0.0299207323880764	Ependymoma
BS_3XY76V8T	11929	71	53	124	0.0103948361136726	Ganglioglioma
BS_401R3KV0	10093	35	19	54	0.0053502427424948	LGAT
BS_40MP5BWR	12414	252	216	468	0.0376993716771387	HGAT
BS_42DY6WS7	11775	68	43	111	0.00942675159235669	LGAT
BS_42Y3YANN	13010	49	27	76	0.00584166026133743	LGAT
BS_44A3ES23	7240	632	267	899	0.124171270718232	Medulloblastoma
BS_45J79YTF	8837	220	163	383	0.0433405001697409	HGAT
BS_470DYRJQ	12570	32	58	90	0.00715990453460621	LGAT
BS_478TN841	10914	97	63	160	0.0146600696353308	Ganglioglioma
BS_47SJZ3PH	7734	64	65	129	0.0166795965865012	LGAT
BS_49852ZBH	15799	35	42	77	0.00487372618520159	LGAT
BS_49BQS7Z6	13360	68	125	193	0.0144461077844311	HGAT
BS_49CJNZ06	14423	681	575	1256	0.0870831311100326	HGAT
BS_49FQXT2E	12998	318	111	429	0.0330050777042622	HGAT
BS_4A45GGSW	11211	65	24	89	0.00793863170100794	LGAT
BS_4B0BAVTX	11973	100	92	192	0.016036081182661	HGAT
BS_4BWB0FA0	9435	250	198	448	0.0474827768945416	LGAT
BS_4C4MZ4NT	10005	87	26	113	0.0112943528235882	LGAT
BS_4CP4T22V	8431	325	216	541	0.064167951607164	Medulloblastoma
BS_4D9DD103	14459	138	244	382	0.0264195310879037	Medulloblastoma
BS_4E1G7E3G	11272	824	853	1677	0.148775727466288	ATRT
BS_4EN8D8Y4	9794	133	172	305	0.031141515213396	LGAT
BS_4FZS7TX4	6580	62	124	186	0.0282674772036474	Ependymoma
BS_4GTESTSE	12704	97	120	217	0.017081234256927	Ganglioglioma
BS_4HQ3T2NC	11164	31	20	51	0.00456825510569688	LGAT
BS_4NF35AF6	12516	139	42	181	0.0144614892937041	LGAT
BS_4NWHYH53	5489	169	255	424	0.0772453998906905	Ependymoma
BS_4PH1MBGR	15258	161	228	389	0.0254948223882553	Medulloblastoma
BS_4PPHAQXF	8150	61	161	222	0.027239263803681	HGAT
BS_4PWDGEB0	6807	202	143	345	0.0506831203173204	HGAT
BS_4QW2S1Q8	12784	125	89	214	0.0167396745932416	HGAT
BS_4SCWT0FX	8957	175	71	246	0.027464552863682	Ependymoma
BS_4T0HPZDC	10520	153	145	298	0.0283269961977186	Ependymoma
BS_4W68NV3M	10883	404	343	747	0.0686391619957732	Medulloblastoma
BS_4Y6BCYK5	11657	77	67	144	0.0123530925624089	LGAT
BS_4Z2F4P9N	13858	59	31	90	0.00649444364266128	LGAT
BS_51RA1PGE	13093	89	213	302	0.0230657603299473	HGAT
BS_52426AMF	11842	21	39	60	0.00506671170410404	LGAT
BS_52C576HH	12403	92	113	205	0.0165282592921067	HGAT
BS_52DAPP1Y	8022	59	56	115	0.0143355771628023	LGAT
BS_52MPKTJH	10502	367	440	807	0.0768425061892973	HGAT
BS_53GQKVEX	10867	87	35	122	0.0112266494892795	LGAT
BS_53M8PP88	10592	50	146	196	0.0185045317220544	Ependymoma
BS_55JW3HFM	16079	56	63	119	0.00740095777100566	Ganglioglioma
BS_55P8HPYD	8747	110	48	158	0.0180633360009146	LGAT
BS_58YXHGAJ	7592	110	133	243	0.0320073761854584	HGAT
BS_593HEWBF	9619	84	23	107	0.0111238174446408	Ganglioglioma
BS_5965SFPZ	11634	81	105	186	0.0159876224858174	HGAT
BS_59ZJWJTF	11482	224	234	458	0.0398885211635604	HGAT
BS_5CMGN56B	10786	50	30	80	0.00741702206564065	LGAT
BS_5CTVXVRX	5204	127	255	382	0.0734050730207533	HGAT
BS_5GNQC2FF	8200	265	266	531	0.0647560975609756	HGAT
BS_5JM573JC	10718	580	408	988	0.0921813771225975	Ganglioglioma
BS_5K3R0F5D	10976	123	77	200	0.0182215743440233	Ganglioglioma
BS_5NWDARXG	10770	48	54	102	0.00947075208913649	LGAT
BS_5P1TN10Z	7266	235	288	523	0.0719790806496009	HGAT
BS_5PJCHF6V	10191	314	311	625	0.0613286232950643	Medulloblastoma
BS_5PV5N4HQ	10877	33	27	60	0.00551622690079985	LGAT
BS_5VPM0F36	8045	65	193	258	0.0320696084524549	HGAT
BS_5VQP0E6K	10737	194	227	421	0.0392102076930241	Medulloblastoma
BS_5YJEPPTP	10007	31	33	64	0.00639552313380634	LGAT
BS_61E80SD6	13285	469	422	891	0.0670681219420399	Medulloblastoma
BS_66ABA973	8215	63	49	112	0.0136335970785149	LGAT
BS_66HQ3E4Z	11572	50	43	93	0.00803664016591773	LGAT
BS_67Z63A2K	10950	67	192	259	0.0236529680365297	Ependymoma
BS_680K119G	11172	73	59	132	0.0118152524167562	Ganglioglioma
BS_68BW2163	8661	103	101	204	0.0235538621406304	LGAT
BS_68KX6A42	16606	82	352	434	0.0261351318800434	HGAT
BS_699TN5RN	10339	88	107	195	0.0188606248186478	Ganglioglioma
BS_6DCSD5Y6	11770	2990	589	3579	0.304078164825828	HGAT
BS_6G6C7VPX	12738	329	194	523	0.0410582509028105	ATRT
BS_6H1C1ME9	11007	168	117	285	0.0258926137912238	Ependymoma
BS_6M2053M0	3896	62	99	161	0.0413244353182752	HGAT
BS_6MZ7FRZH	12642	107	117	224	0.017718715393134	Ependymoma
BS_6N3AFF66	6351	68	66	134	0.0210990395213352	LGAT
BS_6NTXGQAC	7912	133	199	332	0.0419615773508595	Ganglioglioma
BS_6P50QTPP	9048	34	45	79	0.00873121131741821	LGAT
BS_6VF6VPCG	7703	186	87	273	0.0354407373750487	LGAT
BS_6VPKXXMR	4370	80	216	296	0.0677345537757437	HGAT
BS_6WP1FHTE	11234	325	71	396	0.035250133523233	HGAT
BS_7327SDAQ	13582	89	68	157	0.0115594168752761	HGAT
BS_74FS6GMW	12289	168	195	363	0.0295386117666206	ATRT
BS_74G5K7JF	5100	89	165	254	0.0498039215686275	Ependymoma
BS_769BDPDB	9576	107	125	232	0.0242272347535505	LGAT
BS_77317DY4	9262	296	699	995	0.107428201252429	Medulloblastoma
BS_775HDFNY	12280	49	38	87	0.00708469055374593	LGAT
BS_77CDMEY4	11824	89	33	122	0.0103179972936401	Ganglioglioma
BS_78QX3XDF	7496	137	121	258	0.0344183564567769	Craniopharyngioma
BS_7B89YR6K	11776	1859	535	2394	0.203294836956522	Ependymoma
BS_7BTZQKYY	20209	93	638	731	0.036172002573111	Ependymoma
BS_7C40TRCY	11584	348	149	497	0.0429040055248619	Medulloblastoma
BS_7FWZ518S	13405	228	195	423	0.0315553897799329	Medulloblastoma
BS_7G42J2SK	9268	304	240	544	0.0586965904186448	Ependymoma
BS_7GJT4A6A	11179	2101	537	2638	0.235978173360766	HGAT
BS_7H4RFCW9	8785	80	97	177	0.0201479795105293	LGAT
BS_7N0B2CY1	8860	195	205	400	0.0451467268623025	Ganglioglioma
BS_7P83Z28P	11267	38	49	87	0.00772166503949587	LGAT
BS_7T1J3KET	8098	77	49	126	0.0155593973820696	Craniopharyngioma
BS_7WM3MNZ0	6914	119	284	403	0.0582875325426671	HGAT
BS_7XQRH69M	10039	157	110	267	0.0265962745293356	Medulloblastoma
BS_7XRN3CFX	12369	47	43	90	0.00727625515401407	LGAT
BS_7Z93ZYMS	12241	43	43	86	0.00702556980638837	LGAT
BS_81SP2HX4	12571	587	280	867	0.0689682602816005	Medulloblastoma
BS_84XCR9GG	12368	456	278	734	0.059346701164295	HGAT
BS_850BAHH9	8243	109	123	232	0.0281450928060172	ATRT
BS_86Q14TZG	13298	54	67	121	0.00909911264851857	Craniopharyngioma
BS_8D0NYM46	11164	128	149	277	0.0248118953780007	Craniopharyngioma
BS_8GW1TMV2	3935	120	163	283	0.0719186785260483	Medulloblastoma
BS_8J3B6ZB6	10734	40	26	66	0.00614868641699273	LGAT
BS_8MA5B8Y9	5429	743	436	1179	0.217167065757966	HGAT
BS_8PNA0V6R	12329	438	184	622	0.0504501581636791	HGAT
BS_8RCR7Y4B	12824	182	102	284	0.0221459762944479	LGAT
BS_8RHPJ740	11525	254	242	496	0.0430368763557484	Ependymoma
BS_8SKZ7BRN	12451	721	152	873	0.0701148502128343	LGAT
BS_8T7DZV2F	3217	98	260	358	0.111283804787069	Medulloblastoma
BS_8VAZSJEN	7984	52	28	80	0.0100200400801603	LGAT
BS_8Z3SCKB5	10927	85	144	229	0.0209572618284982	LGAT
BS_8ZD6J47V	11864	165	269	434	0.0365812542144302	HGAT
BS_8ZP3CBQA	15551	34	109	143	0.00919555012539387	Ependymoma
BS_8ZS9F31R	3731	169	173	342	0.0916644331278478	HGAT
BS_8ZY4GST0	6435	50	232	282	0.0438228438228438	HGAT
BS_90B22NGP	10996	794	1071	1865	0.169607129865406	ATRT
BS_912NX4Y0	11302	197	161	358	0.0316758095912228	Ganglioglioma
BS_91VYM11A	10148	92	165	257	0.0253251872290106	HGAT
BS_92VDQ0NE	15809	84	206	290	0.0183439812764881	Ganglioglioma
BS_94MT16N2	6725	155	150	305	0.0453531598513011	LGAT
BS_9755PSCS	6722	152	98	250	0.0371913121094912	LGAT
BS_97M1E2DW	7017	627	159	786	0.112013681060282	HGAT
BS_983Z6CA6	9214	1463	599	2062	0.223789884957673	ATRT
BS_996ZS2A4	11353	230	159	389	0.0342640711706157	ATRT
BS_99B1XRZQ	6161	155	186	341	0.0553481577665963	Ependymoma
BS_9BJARSX3	12290	106	88	194	0.0157851912123678	LGAT
BS_9CA93S6D	9466	2850	405	3255	0.343862243819987	HGAT
BS_9DFBHHB5	11315	59	14	73	0.00645161290322581	LGAT
BS_9DZ253JY	3381	429	425	854	0.252587991718426	LGAT
BS_9F09XV62	7573	220	230	450	0.0594216294731282	LGAT
BS_9FHSNVS0	10804	491	600	1091	0.100981118104406	ATRT
BS_9HSGV9TJ	10123	229	152	381	0.0376370641114294	LGAT
BS_9M5XJ10G	12902	360	380	740	0.0573554487676329	Medulloblastoma
BS_9NJHQE9F	8333	272	324	596	0.0715228609144366	Medulloblastoma
BS_9NZ2D6AD	10717	446	244	690	0.0643836894653354	Medulloblastoma
BS_9P9MB8X8	8715	61	45	106	0.0121629374641423	LGAT
BS_9PB3XH5D	12350	178	185	363	0.0293927125506073	Medulloblastoma
BS_9Q6Z6VJC	11038	84	28	112	0.0101467657184273	LGAT
BS_9RT63JD9	10447	62	51	113	0.0108165023451709	LGAT
BS_9SJWWYQ4	7344	68	39	107	0.0145697167755991	LGAT
BS_9V633J1X	13476	231	307	538	0.0399228257643218	Medulloblastoma
BS_9XVACXP0	10852	128	68	196	0.0180611868779948	HGAT
BS_A0DYVX9J	4432	377	159	536	0.120938628158845	HGAT
BS_A13BMEF5	9294	37	31	68	0.00731654831073811	LGAT
BS_A14Z8BBK	10626	367	245	612	0.0575945793337098	Medulloblastoma
BS_A1VEGWTR	11449	37	46	83	0.00724954144466766	LGAT
BS_A46RDWGM	9866	66	53	119	0.012061625785526	LGAT
BS_A7MC2KR2	11266	49	64	113	0.0100301793005503	Craniopharyngioma
BS_A7Q8G0Y1	3593	326	102	428	0.119120512106874	HGAT
BS_A87NPZAP	8044	809	503	1312	0.163102933863749	Medulloblastoma
BS_ABYF92Z9	9292	177	89	266	0.0286267757210504	Craniopharyngioma
BS_AD4JPN9Q	12723	68	36	104	0.00817417275799733	Ganglioglioma
BS_AG3D3435	9876	53	106	159	0.0160996354799514	LGAT
BS_AGTPCRR4	9469	61	84	145	0.0153131270461506	Ependymoma
BS_AHEFXG7W	9659	226	243	469	0.0485557511129516	Medulloblastoma
BS_AKRHBPNZ	9549	94	122	216	0.0226201696512724	Ganglioglioma
BS_AM70R8RG	15848	517	177	694	0.0437910146390712	Medulloblastoma
BS_AMZ70B6F	11636	236	148	384	0.0330010312822276	Medulloblastoma
BS_AP0SZ364	11472	37	34	71	0.00618898186889819	LGAT
BS_ARBQDTT5	8201	64	45	109	0.0132910620656018	LGAT
BS_AVYNZHSB	8004	116	113	229	0.0286106946526737	LGAT
