Vessel Name: 2024.05.30_Cirtuvivint
Metric: KNS-42 Confluence (%)
Cell Type: KNS-42, SMS-KAN
Passage: 1
Notes: Entered by user kconkrite on 6/3/2024 12:36:16 PM:
Cells plated 5/30. 12k/well for 3 day assay, 6k/well for 6 day. Allow to settle 30 minutes before placing in Incucyte. Wait 30 minutes in Incucyte before initiating scan.

5/31- 2 pm. Remove plates from Incucyte, remove 95 uL media from each well. Replace with 100 uL either fresh media, media + DMSO, or Media + Cirtuvivint in serial dilutions. Replace back into Incucyte and continue scanning.
Analysis: KNS-42_20x_klc

Date Time	Elapsed	KNS-42 (2) 12K / well Fresh Media 100% (B2)	KNS-42 (2) 12K / well Fresh Media 100% (B11)	KNS-42 (2) 12K / well Fresh Media 100% (C2)	KNS-42 (2) 12K / well Fresh Media 100% (C11)	KNS-42 (2) 12K / well Fresh Media 100% (D2)	KNS-42 (2) 12K / well Fresh Media 100% (D11)	KNS-42 (2) 12K / well DMSO Vehicle 2% (B3)	KNS-42 (2) 12K / well DMSO Vehicle 2% (C3)	KNS-42 (2) 12K / well DMSO Vehicle 2% (D3)	KNS-42 (2) 12K / well CIrtuvivint 10 µM (B4)	KNS-42 (2) 12K / well CIrtuvivint 10 µM (C4)	KNS-42 (2) 12K / well CIrtuvivint 10 µM (D4)	KNS-42 (2) 12K / well CIrtuvivint 5 µM (B5)	KNS-42 (2) 12K / well CIrtuvivint 5 µM (C5)	KNS-42 (2) 12K / well CIrtuvivint 5 µM (D5)	KNS-42 (2) 12K / well CIrtuvivint 1 µM (B6)	KNS-42 (2) 12K / well CIrtuvivint 1 µM (C6)	KNS-42 (2) 12K / well CIrtuvivint 1 µM (D6)	KNS-42 (2) 12K / well CIrtuvivint 0.5 µM (B7)	KNS-42 (2) 12K / well CIrtuvivint 0.5 µM (C7)	KNS-42 (2) 12K / well CIrtuvivint 0.5 µM (D7)	KNS-42 (2) 12K / well CIrtuvivint 0.1 µM (B8)	KNS-42 (2) 12K / well CIrtuvivint 0.1 µM (C8)	KNS-42 (2) 12K / well CIrtuvivint 0.1 µM (D8)	KNS-42 (2) 12K / well CIrtuvivint 0.05 µM (B9)	KNS-42 (2) 12K / well CIrtuvivint 0.05 µM (C9)	KNS-42 (2) 12K / well CIrtuvivint 0.05 µM (D9)	KNS-42 (2) 12K / well CIrtuvivint 0.01 µM (B10)	KNS-42 (2) 12K / well CIrtuvivint 0.01 µM (C10)	KNS-42 (2) 12K / well CIrtuvivint 0.01 µM (D10)
5/30/2024 3:23:00 PM	0	18.33083	18.50833	21.24519	19.09741	22.19465	20.94981	19.88373	23.34653	24.23927	20.69155	26.09993	20.58991	20.21571	24.30536	20.94416	19.87521	21.49231	16.80531	19.14245	21.31938	19.67056	18.1664	20.36765	20.91658	20.72177	21.92186	18.0892	19.99664	22.22818	19.68016
5/30/2024 5:23:00 PM	2	30.45036	29.32817	34.44139	29.46198	30.1192	32.14852	30.92126	31.38578	32.57951	30.09185	34.20023	29.87543	31.97334	36.2628	29.72876	31.25497	29.64941	25.94149	30.12082	34.86898	29.25923	27.82484	29.60502	32.75003	31.63448	32.13375	29.141	31.07669	36.6958	32.34805
5/30/2024 7:23:00 PM	4	30.82487	31.74878	36.30502	31.644	32.69731	35.22148	32.84849	33.36209	34.6825	32.1618	36.95497	32.13012	33.40719	34.81076	31.97883	32.60353	32.11202	27.64327	32.61969	33.43224	31.70275	29.77664	31.3882	35.16492	34.01763	32.24913	31.38037	33.27299	38.00276	32.49457
5/30/2024 9:23:00 PM	6	33.68941	34.58358	38.47337	34.93314	34.6917	38.54099	36.20443	35.47268	37.07149	35.14262	40.41789	34.65844	37.18212	39.9322	35.64996	35.70072	38.81827	30.26278	35.76769	36.60824	34.60729	32.6423	33.85693	38.1974	37.50475	38.59747	34.8895	36.45844	38.38816	35.90533
5/30/2024 11:23:00 PM	8	35.89038	38.92809	42.73907	40.01303	39.51296	43.70021	41.40977	39.76305	42.04289	39.76547	45.31629	39.83612	41.94833	42.55349	39.75463	41.02832	38.37573	34.44167	40.76902	38.81732	38.68164	36.96186	38.16536	43.10904	43.24529	41.92876	39.54494	41.57293	43.74214	38.90615
5/31/2024 1:23:00 AM	10	41.24356	43.57558	47.82061	45.21872	44.57343	48.87369	45.83906	43.2945	46.25201	43.97993	50.63821	43.61953	46.18381	47.09792	44.42435	46.36689	43.80833	38.85261	45.95049	42.58903	43.27592	41.49298	43.00894	48.80936	47.94787	45.03001	44.55473	46.42112	48.41552	44.47318
5/31/2024 3:23:00 AM	12	37.99646	48.01123	52.74887	49.81416	49.25839	53.77619	52.96194	47.69382	50.55053	48.82018	55.14005	48.10798	50.88768	50.56504	48.58185	51.66726	47.65831	42.86587	50.48166	48.32961	47.58707	46.11133	46.71461	53.55891	52.66417	48.772	49.1507	50.88797	51.70126	49.48222
5/31/2024 5:23:00 AM	14	43.52667	52.32201	57.68879	53.71882	43.48366	58.73236	56.03797	51.10319	53.99132	52.95034	59.31296	52.55861	54.66916	53.39871	51.92802	55.88686	50.71133	46.95235	54.32357	50.10662	52.66499	51.02619	49.95013	56.92589	58.10642	51.90689	53.1841	55.02776	53.439	52.9645
5/31/2024 7:23:00 AM	16	48.58059	55.92641	59.75977	56.96767	56.05699	61.98517	58.36506	53.62243	57.93523	55.36057	62.10558	54.99887	58.36642	56.43406	54.81904	58.9773	54.23934	49.81102	58.72398	55.42533	54.28424	53.799	53.94263	59.61143	62.07244	56.22763	56.40628	58.78872	58.89179	56.60239
5/31/2024 9:23:00 AM	18	54.56454	58.8721	60.39259	59.69941	57.90781	65.09212	62.29021	56.02045	60.09337	58.0342	65.53297	57.58372	62.10517	60.07761	57.32555	61.61467	51.99551	51.92774	61.88693	57.59371	57.03538	56.16897	57.5177	62.57904	65.16104	58.9518	59.15689	62.87435	60.73503	58.9358
