Kinase_name	r_scores	p_scores	RBP_gene_name
PKCD	0.051654812395706046	0.5192085792432333	PABPC1L_44938060
CAMK2A	-0.10370852430746696	0.19471909746636928	PABPC1L_44938060
CK2A1	0.1011048703675689	0.2062231983291558	PABPC1L_44938060
JNK1	-0.07772685215917341	0.3316861991912843	PABPC1L_44938060
AMPKA1	0.12425816558597572	0.1198190059757478	PABPC1L_44938060
GSK3B	-0.087502689041723	0.27428110780576787	PABPC1L_44938060
MAPKAPK2	0.09321569468350155	0.24404419553757073	PABPC1L_44938060
AKT1	0.1275238784285016	0.1103217698903558	PABPC1L_44938060
RSK2	-0.01361792858020351	0.8651490277121714	PABPC1L_44938060
ERK2	-0.036314436984088434	0.650555675410933	PABPC1L_44938060
P90RSK	0.02190140400614691	0.7847431397246978	PABPC1L_44938060
CHK1	0.1168181686360118	0.14381475672856991	PABPC1L_44938060
PKACA	-0.011635734927326577	0.8846299571980423	PABPC1L_44938060
ERK1	-0.11452082894160284	0.15191708963277128	PABPC1L_44938060
PKCB	-0.0836319183550744	0.29615184668272	PABPC1L_44938060
PAK1	-0.07871726072380146	0.3255432218172716	PABPC1L_44938060
PKCE	0.03745402303881065	0.64034568316976	PABPC1L_44938060
CDK1	0.10122789771592584	0.20566883891378196	PABPC1L_44938060
CK1A	0.02829297800056829	0.7241754054357623	PABPC1L_44938060
PKCA	-0.10335216634059526	0.19626550279920485	PABPC1L_44938060
PRKD1	0.14304668242792015	0.07296904762307688	PABPC1L_44938060
MTOR	0.14058226748778102	0.07809961012984612	PABPC1L_44938060
ROCK1	-0.12888611108810355	0.10653864961276782	PABPC1L_44938060
P38A	-0.04904973362164815	0.5405254809918509	PABPC1L_44938060
CDK2	0.11842006377278819	0.13836230380638304	PABPC1L_44938060
PLK1	0.01803895351365578	0.8220072854494145	PABPC1L_44938060
CDK5	-0.1362463794172958	0.08782929705315157	PABPC1L_44938060
PSI	1	NA	PABPC1L_44938060
