Kinase_name	r_scores	p_scores	RBP_gene_name
PKCD	0.04136400732510169	0.5709563384211884	ZC3H7A_11769030
CAMK2A	0.0019910259738851704	0.9782497112212851	ZC3H7A_11769030
CK2A1	-0.2188487018075257	0.0024167473719991506	ZC3H7A_11769030
JNK1	0.07968773386873727	0.2744332279298396	ZC3H7A_11769030
AMPKA1	0.14858421068665098	0.04076152844523695	ZC3H7A_11769030
GSK3B	0.012133592686131331	0.8680369595729092	ZC3H7A_11769030
MAPKAPK2	-0.11384958872220233	0.1178076593159374	ZC3H7A_11769030
AKT1	-0.13935693232575552	0.05516247145034958	ZC3H7A_11769030
RSK2	-0.0640145748957967	0.3802381239159047	ZC3H7A_11769030
ERK2	-0.03440280193189293	0.6374835360334998	ZC3H7A_11769030
P90RSK	-0.1446303371086848	0.046490086284493914	ZC3H7A_11769030
CHK1	-0.17697731414316573	0.014578696094929011	ZC3H7A_11769030
PKACA	-0.030844468993093708	0.6726917806272588	ZC3H7A_11769030
ERK1	0.09132045766824398	0.2101769121066166	ZC3H7A_11769030
PKCB	0.11090081804469731	0.12768932216279616	ZC3H7A_11769030
PAK1	-0.10782752225625478	0.13865650289544895	ZC3H7A_11769030
PKCE	-0.2534796703186276	4.1756299409101416e-4	ZC3H7A_11769030
CDK1	-0.13536958518354014	0.06257367174925821	ZC3H7A_11769030
CK1A	-0.14005528133446707	0.053942324945938314	ZC3H7A_11769030
PKCA	0.08473597681830201	0.24507746140098563	ZC3H7A_11769030
PRKD1	-0.10089217745130066	0.16603341753038436	ZC3H7A_11769030
MTOR	-0.14019709077665915	0.05369730711518228	ZC3H7A_11769030
ROCK1	0.04404776029248984	0.546214112346608	ZC3H7A_11769030
P38A	-0.06226759865899092	0.3934018740027949	ZC3H7A_11769030
CDK2	-0.07837810093892805	0.28242274450672156	ZC3H7A_11769030
PLK1	0.06122809128242918	0.4013630482831423	ZC3H7A_11769030
CDK5	0.07259016140337295	0.3195917244002746	ZC3H7A_11769030
PSI	1	NA	ZC3H7A_11769030
