Kinase_name	r_scores	p_scores	RBP_gene_name
PKCD	-0.45166124437416766	4.8485215842219986e-11	MBNL2_97366458
CAMK2A	-0.4962980115384788	2.469136006766348e-13	MBNL2_97366458
CK2A1	0.5660722617757488	0	MBNL2_97366458
JNK1	0.08043596242429274	0.26739850511203045	MBNL2_97366458
AMPKA1	-0.11495406500358343	0.11235039773018363	MBNL2_97366458
GSK3B	-0.14302110162814735	0.04781563904887198	MBNL2_97366458
MAPKAPK2	0.023762490049553418	0.7435477505605017	MBNL2_97366458
AKT1	-0.017567273224772303	0.8088976227813527	MBNL2_97366458
RSK2	-0.43813961824131903	2.0755086538315481e-10	MBNL2_97366458
ERK2	0.02124046828964044	0.7699596541889564	MBNL2_97366458
P90RSK	-0.3172988517940705	7.314071384989518e-6	MBNL2_97366458
CHK1	0.08305591374552111	0.2520760312156969	MBNL2_97366458
PKACA	-0.5248640253376501	5.551115123125783e-15	MBNL2_97366458
ERK1	-0.27841675220250867	9.2195726911104e-5	MBNL2_97366458
PKCB	-0.3669326400442383	1.6505493682927863e-7	MBNL2_97366458
PAK1	-0.1859419347567257	0.009816657176782595	MBNL2_97366458
PKCE	-0.13173421142976782	0.06854774021847909	MBNL2_97366458
CDK1	0.5030951056309391	1.0302869668521453e-13	MBNL2_97366458
CK1A	-0.16570235070862255	0.021621732666602167	MBNL2_97366458
PKCA	-0.6162220288724594	0	MBNL2_97366458
PRKD1	0.0180524703847724	0.803724986512419	MBNL2_97366458
MTOR	0.5474273608377833	2.220446049250313e-16	MBNL2_97366458
ROCK1	-0.49012067644765195	5.373479439185758e-13	MBNL2_97366458
P38A	-0.1274357010147986	0.07816075557006519	MBNL2_97366458
CDK2	0.6213071929826396	0	MBNL2_97366458
PLK1	-0.24100332705948876	7.587851186210415e-4	MBNL2_97366458
CDK5	0.058645868852414997	0.4190846388173801	MBNL2_97366458
PSI	1	NA	MBNL2_97366458
