Geneset	logFC	AveExpr	t	P.Value	adj.P.Val	B
HALLMARK_P53_PATHWAY	0.1225793149944744	0.003121060321930583	11.14707394483469	1.0015233307547159e-27	3.1047223253396196e-26	51.979392481404616
HALLMARK_OXIDATIVE_PHOSPHORYLATION	-0.15569012038658858	0.00397543874686483	-10.45072512177809	1.1076376609043144e-24	1.7168383744016873e-23	45.05216572505323
HALLMARK_INTERFERON_ALPHA_RESPONSE	0.23039842208081207	0.0024372946047532327	10.294749103512594	5.053794178670931e-24	5.2222539846266287e-23	43.55284195123755
HALLMARK_INTERFERON_GAMMA_RESPONSE	0.16203813395938446	0.03227507446072396	9.718222811069854	1.1673409765308852e-21	9.04689256811436e-21	38.18060052375439
HALLMARK_IL2_STAT5_SIGNALING	0.11586273955296116	0.04343864969442802	9.119856291933884	2.492056141303456e-19	1.3644830452003645e-18	32.89244254667348
HALLMARK_MYC_TARGETS_V1	-0.15897682707142743	3.360811502018989e-4	-9.11319806057613	2.6409349261942536e-19	1.3644830452003645e-18	32.83527332764862
HALLMARK_PI3K_AKT_MTOR_SIGNALING	0.11603555144090975	-0.03202999461326095	9.028633728762486	5.500784020123261e-19	2.436061494626016e-18	32.11241704991221
HALLMARK_TGF_BETA_SIGNALING	0.17789875580268932	-0.04112272946108455	8.833278592805357	2.928897948144497e-18	1.1349479549059926e-17	30.465527709920178
HALLMARK_WNT_BETA_CATENIN_SIGNALING	0.13672198642890446	0.01291460772196255	7.728284868234972	2.0465176920610522e-14	7.049116494876958e-14	21.764925695180924
HALLMARK_GLYCOLYSIS	-0.07716495677715836	-0.0017391930598854536	-7.656560387774578	3.506136987203113e-14	1.0869024660329652e-13	21.23686147050898
HALLMARK_TNFA_SIGNALING_VIA_NFKB	0.08726698402537515	0.06946520028961604	5.709796721820166	1.3747226256930201e-8	3.8742183087712385e-8	8.668750909650011
HALLMARK_DNA_REPAIR	-0.06809430270743816	-0.03510015432043215	-5.309418647667218	1.274440316827954e-7	3.292304151805548e-7	6.515510917887468
HALLMARK_MTORC1_SIGNALING	-0.05738312087160214	-0.021142246788934067	-4.57359271969827	5.210627788236939e-6	1.2425343187334239e-5	2.951889096425475
KEGG_SPLICEOSOME	-0.08316910717403524	-0.040002496577270355	-4.375855097181261	1.2977713369737047e-5	2.748178846740053e-5	2.081977702289457
HALLMARK_HEDGEHOG_SIGNALING	-0.09464495550833595	-0.03395698539468613	-4.3704690839613765	1.3297639581000256e-5	2.748178846740053e-5	2.0588060608084806
HALLMARK_IL6_JAK_STAT3_SIGNALING	0.07953292870535061	0.1318401287363543	4.213043468439537	2.677874489362086e-5	5.1883818231390416e-5	1.3938152896676268
HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.05617658489864181	-0.038745937738865505	3.7962546295997863	1.5307079500508105e-4	2.791290967739713e-4	-0.25167490291208416
HALLMARK_PROTEIN_SECRETION	-0.04944643357772706	-0.044925928911168894	-3.573489066433075	3.6401205880834864e-4	6.229977151323501e-4	-1.062336646652156
HALLMARK_NOTCH_SIGNALING	0.0925563002973108	-0.0574617080126187	3.560843962648505	3.8183730927466615e-4	6.229977151323501e-4	-1.1069102477310553
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	-0.04561250393170084	-7.792280221292319e-4	-3.50163616167798	4.7670204650256316e-4	7.388881720789729e-4	-1.313550666466793
HALLMARK_APOPTOSIS	0.04607447001699054	0.02803569956364218	3.4354250224621476	6.086409419955376e-4	8.984699619934127e-4	-1.5405993006162575
HALLMARK_MYC_TARGETS_V2	0.054712686178872844	0.0716242043404739	3.0828630762691427	0.0020895816742892504	0.0029444105410439438	-2.677703439849825
HALLMARK_E2F_TARGETS	-0.05397488906618674	-0.020082371338001895	-2.9739413493695324	0.002989493761457567	0.0040293176784862855	-3.0044710345175787
HALLMARK_KRAS_SIGNALING_DN	-0.039262288250594295	0.009117787233498311	-2.629983730111279	0.008630954215300642	0.011148315861429996	-3.960061923348814
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.042842765448304426	-0.02409696519318534	2.5100196649022	0.012182657866888276	0.015106495754941463	-4.266030500725325
