Geneset	logFC	AveExpr	t	P.Value	adj.P.Val	B
KEGG_PHENYLALANINE_METABOLISM	0.13889903612421972	0.06910390185059126	14.936781469352287	5.218317130571137e-47	9.653886691556603e-45	95.93116125124332
KEGG_NOTCH_SIGNALING_PATHWAY	-0.07761020352036695	0.09146523310838357	-12.495414872333638	4.331743365822902e-34	3.4257437491551083e-32	66.4123276167938
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	-0.06847431121103105	0.018634601915923917	-12.473468589948462	5.5552601337650405e-34	3.4257437491551083e-32	66.16570672627284
KEGG_COMPLEMENT_AND_COAGULATION_CASCADES	0.09383171889484818	0.01993523885329477	12.268958083624206	5.549475029989659e-33	2.5666322013702173e-31	63.88434240876912
KEGG_INSULIN_SIGNALING_PATHWAY	-0.03686237727750837	0.09342170835082036	-12.116822014722567	3.014819056000224e-32	1.1154830507200829e-30	62.2070571840402
KEGG_PATHWAYS_IN_CANCER	-0.031502672463738536	-0.004825129173619096	-11.885852029308758	3.81108608228497e-31	1.175084875371199e-29	59.693290923682234
KEGG_SMALL_CELL_LUNG_CANCER	-0.05698490604016555	-0.02567531964067677	-11.868734585700219	4.59222279532792e-31	1.2136588816223788e-29	59.50857039512186
KEGG_GLYCOSAMINOGLYCAN_DEGRADATION	-0.09624750129727346	-0.011570966431228277	-11.646946909713465	5.0423973488629644e-30	1.1660543869245604e-28	57.13501241997604
KEGG_PARKINSONS_DISEASE	0.05448712712191803	0.06290271817060704	11.596247343006198	8.675128568915229e-30	1.7832208724992416e-28	56.59762387925152
KEGG_TYPE_II_DIABETES_MELLITUS	-0.077282304850447	-0.014276067084261846	-10.682571578547863	1.0947561565135945e-25	2.02529888955015e-24	47.250700228290604
KEGG_MAPK_SIGNALING_PATHWAY	-0.0298942905390737	0.06100667680971746	-10.671815300798519	1.2187970262099958e-25	2.0497949986259017e-24	47.14452948313633
KEGG_ERBB_SIGNALING_PATHWAY	-0.037948052309279244	0.07947115266909553	-10.564630701698857	3.5341362938434075e-25	5.448460119675253e-24	46.09154581446876
KEGG_RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY	-0.05527982297892422	0.013539269049252688	-10.393520153126428	1.897834464549547e-24	2.700764430320509e-23	44.42943155289893
KEGG_OTHER_GLYCAN_DEGRADATION	-0.12448216412243154	-0.08542131088153199	-10.106242470655479	3.028042788384705e-23	4.0013422560797883e-22	41.691537392200324
KEGG_PANCREATIC_CANCER	-0.045847812487571686	0.05847781022064898	-9.665742163972693	1.861379937314459e-21	2.2957019226878326e-20	37.62310503578294
KEGG_OXIDATIVE_PHOSPHORYLATION	0.05027646189451408	0.050246919872507845	9.544720927723072	5.614178597941314e-21	6.491394003869644e-20	36.533182663701055
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	-0.055174383538000145	0.08581897412961256	-9.078281953909139	3.534516146947993e-19	3.846385218737522e-18	32.446125260685534
KEGG_HISTIDINE_METABOLISM	0.05008435109465718	0.0738233860215267	8.816476668776152	3.3401645581949524e-18	3.432946907033701e-17	30.23210059367115
KEGG_ADHERENS_JUNCTION	-0.033552469670903355	0.0922142000762147	-8.605520031290744	1.957019265138095e-17	1.9055187581607766e-16	28.490416346077453
KEGG_BASAL_CELL_CARCINOMA	-0.05396256744213585	-0.09415234902455218	-8.512925779429818	4.2020806459159264e-17	3.886924597472232e-16	27.737956407586246
KEGG_COLORECTAL_CANCER	-0.03477241177718285	0.07347166765482412	-8.500891605569533	4.638364443471351e-17	4.086178200200952e-16	27.64070164842888
KEGG_SPLICEOSOME	0.03926830972274658	0.062997680664645	8.423777794794878	8.709648996214518e-17	7.324023019544026e-16	27.020457291847322
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY	-0.025070517760301038	0.05871731976606592	-8.363338786868493	1.4221080696674179e-16	1.1438695342977056e-15	26.537911599627023
KEGG_P53_SIGNALING_PATHWAY	0.037792797256843744	0.09074366233080608	8.33066858659956	1.8512725095279568e-16	1.4270225594278e-15	26.27838461120473
KEGG_APOPTOSIS	-0.037390727267862335	0.024895822244674546	-8.218512019944157	4.546413271856291e-16	3.3643458211736553e-15	25.394453983403764
KEGG_LYSINE_DEGRADATION	-0.04069695187285056	0.04573884110438123	-8.008943445373308	2.3671977902399753e-15	1.6843522738245978e-14	23.772069425573925
KEGG_CELL_CYCLE	0.036326822915003214	0.069993435769923	7.973569106441772	3.1158125884230627e-15	2.1349086254009875e-14	23.50199418055564
KEGG_GLYCOLYSIS_GLUCONEOGENESIS	0.05114008031942935	-0.044325984065654744	7.878608378654232	6.480495562390668e-15	4.281755996579548e-14	22.782405120353538
KEGG_AXON_GUIDANCE	-0.02807296101392618	0.06297829930414346	-7.839401236101725	8.74846927324734e-15	5.580920053623303e-14	22.48760879745999
KEGG_LEISHMANIA_INFECTION	-0.04880627408814528	-0.05097061054033413	-7.667213800446946	3.21687678564313e-14	1.9837406844799304e-13	21.208948932474165
KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS	0.051716197428107825	0.008374114214208814	7.594733346990613	5.5224584668822874e-14	3.295660697978139e-13	20.67853339092529
KEGG_HUNTINGTONS_DISEASE	0.02590165789381652	0.043125096169470946	7.552293266933926	7.56197016204841e-14	4.3717639999342376e-13	20.370112747062016
KEGG_CHRONIC_MYELOID_LEUKEMIA	-0.03334992586614559	0.04695831127405729	-7.456147769166588	1.532318739410012e-13	8.590271720934916e-13	19.67731240734406
KEGG_ABC_TRANSPORTERS	-0.03855380775460046	-0.024822244200317724	-7.184612613874497	1.0779327493006079e-12	5.865222312370955e-12	17.76515635893402
KEGG_DNA_REPLICATION	0.050938806300948936	0.08329389659329878	7.041178752384619	2.942836089800437e-12	1.5554990760373738e-11	16.78173374035955
KEGG_ALLOGRAFT_REJECTION	0.07250577480924573	-0.08991317676227167	6.984016594422679	4.3691251583801304e-12	2.184562579190065e-11	16.394970441120606
