SpliceID	Histology
DELE1:141937198-141937357_141934493-141934586_141938520-141938760	Diffuse intrinsic pontine glioma
AHI1:135290423-135290525_135283406-135285647_135300499-135300558	Diffuse intrinsic pontine glioma
NDRG4:58500988-58501077_58500089-58500269_58503705-58503903	Diffuse intrinsic pontine glioma
NOL8:92311146-92311259_92310552-92310675_92314266-92316138	Diffuse intrinsic pontine glioma
AVL9:32570020-32570154_32558928-32559464_32573198-32573418	Diffuse intrinsic pontine glioma
RPS3:75400694-75400824_75399514-75399577_75401639-75401705	Diffuse intrinsic pontine glioma
PDZD8:117340980-117341102_117318871-117318974_117374355-117375440	Diffuse intrinsic pontine glioma
MAP4K3:39307943-39308005_39299742-39299801_39309460-39309519	Diffuse intrinsic pontine glioma
ZNF253:19878481-19878607_19865881-19865999_19880050-19880146	Diffuse intrinsic pontine glioma
FAHD2CP:96019538-96019700_96015108-96015325_96021124-96021233	Diffuse intrinsic pontine glioma
GIT2:109951167-109951316_109947255-109947504_109953091-109953234	Diffuse intrinsic pontine glioma
SH3YL1:233101-233229_230377-231191_234159-234272	Diffuse intrinsic pontine glioma
SCOC:140379569-140379652_140379120-140379192_140380961-140381126	Diffuse intrinsic pontine glioma
SLC30A6:32197344-32197392_32193888-32193983_32197706-32197784	Diffuse intrinsic pontine glioma
PON2:95424515-95424585_95415875-95416297_95434877-95434951	Diffuse intrinsic pontine glioma
MYEF2:48149032-48149083_48134631-48143071_48149162-48149326	Diffuse intrinsic pontine glioma
EMC8:85780379-85780473_85778623-85779867_85781210-85781258	Diffuse intrinsic pontine glioma
LGMN:92706483-92706653_92703808-92704361_92709671-92709872	Diffuse intrinsic pontine glioma
PARD3:34696318-34696419_34516978-34517159_34814875-34815296	Diffuse intrinsic pontine glioma
PFDN5:53295839-53295941_53295290-53295639_53297849-53297924	Diffuse intrinsic pontine glioma
GTF2A2:59652206-59652326_59642135-59642262_59657405-59657515	Diffuse intrinsic pontine glioma
UBE2Z:48912834-48913021_48910347-48910880_48916075-48916123	Diffuse intrinsic pontine glioma
CDK5RAP2:120460572-120460667_120458449-120458622_120467859-120467997	Diffuse intrinsic pontine glioma
MAP4:47869214-47869327_47867245-47867338_47870812-47871105	Diffuse intrinsic pontine glioma
RAP1GDS1:98379017-98379163_98352475-98352601_98391951-98392009	Diffuse intrinsic pontine glioma
LIMCH1:41676382-41676462_41671553-41671594_41680005-41680098	Diffuse intrinsic pontine glioma
SLC25A43:119406460-119406701_119399335-119399678_119410189-119410362	Diffuse intrinsic pontine glioma
RPGR:38287865-38288041_38276586-38276772_38290958-38291024	Diffuse intrinsic pontine glioma
APOO:23874403-23874457_23868592-23868688_23878914-23879034	Diffuse intrinsic pontine glioma
SMARCE1:40645576-40645619_40637491-40637572_40645795-40645836	Diffuse intrinsic pontine glioma
PCM1:17924713-17924780_17922987-17923188_17935588-17935706	Diffuse intrinsic pontine glioma
PCED1B-AS1:47206511-47206588_47205895-47206145_47209280-47209458	Diffuse intrinsic pontine glioma
OSTC:108657450-108657647_108655563-108655657_108667246-108667820	Diffuse intrinsic pontine glioma
ATG5:106308364-106308491_106293027-106293106_106316100-106316208	Diffuse intrinsic pontine glioma
C1orf43:154219836-154219937_154213892-154213946_154220341-154220533	Diffuse intrinsic pontine glioma
CNST:246621429-246621634_246591511-246591941_246631893-246631924	Diffuse intrinsic pontine glioma
GTF2A2:59650669-59650773_59642135-59642262_59657405-59657514	Diffuse intrinsic pontine glioma
YTHDF2:28742403-28743986_28738258-28738338_28768928-28769125	Diffuse intrinsic pontine glioma
SCG5:32691710-32691763_32684439-32684669_32696513-32696626	Diffuse intrinsic pontine glioma
MTHFD2:74201382-74205889_74198613-74198742_74207703-74207826	Diffuse intrinsic pontine glioma
MTHFD2:74205705-74205889_74198609-74198742_74207703-74207826	Diffuse intrinsic pontine glioma
NEPRO:113017448-113017602_113013948-113014032_113019541-113019644	Diffuse intrinsic pontine glioma
OLA1:174246715-174246815_174229307-174229451_174248451-174248475	Diffuse intrinsic pontine glioma
TRAPPC3:36137796-36137978_36136569-36137322_36149336-36149514	Diffuse intrinsic pontine glioma
NAP1L1:76067371-76067473_76060137-76060279_76084566-76084735	Diffuse intrinsic pontine glioma
MTMR10:30976819-30976955_30974930-30975003_30990776-30990837	Diffuse intrinsic pontine glioma
CMC2:80981806-80981877_80980769-80980879_81006733-81006873	Diffuse intrinsic pontine glioma
XPO6:28177220-28177332_28175897-28176095_28180940-28181031	Diffuse intrinsic pontine glioma
KIAA1191:176350613-176350737_176348249-176348356_176359810-176359918	Diffuse intrinsic pontine glioma
KIAA1191:176359481-176359567_176348249-176348356_176359810-176359918	Diffuse intrinsic pontine glioma
AMACR:34004574-34004734_33998640-33998827_34005755-34005899	Diffuse intrinsic pontine glioma
USP47:11880177-11880380_11841971-11842224_11884466-11884499	Diffuse intrinsic pontine glioma
C11orf58:16752785-16752894_16746703-16748157_16754870-16754906	Diffuse intrinsic pontine glioma
FAHD2CP:96019201-96019700_96015108-96015325_96021124-96021233	Diffuse intrinsic pontine glioma
MATR3:139307239-139308327_139293729-139293805_139314674-139314736	Diffuse intrinsic pontine glioma
PPP1R18:30684408-30684544_30679178-30679389_30687113-30687193	Diffuse intrinsic pontine glioma
PPP1R18:30684408-30686046_30679178-30679389_30687113-30687216	Diffuse intrinsic pontine glioma
MAVS:3861332-3861504_3857634-3857809_3862253-3862413	Diffuse intrinsic pontine glioma
REXO2:114443856-114443933_114440655-114440739_114445978-114446087	Diffuse intrinsic pontine glioma
NCOA4:46016540-46016694_46015125-46015266_46030525-46030623	Diffuse intrinsic pontine glioma
PSMD13:251546-251626_250802-250865_251819-251894	Diffuse intrinsic pontine glioma
LRRC51:72089029-72089165_72080336-72080885_72093495-72093701	Diffuse intrinsic pontine glioma
RPS3:75400694-75400777_75399518-75399577_75401639-75401733	Diffuse intrinsic pontine glioma
EPN2:19331853-19332068_19329560-19329647_19333955-19334330	Diffuse intrinsic pontine glioma
SH2B1:28871780-28871983_28869207-28869383_28872189-28872401	Diffuse intrinsic pontine glioma
WDR25:100380910-100381746_100376484-100376495_100468020-100468168	Diffuse intrinsic pontine glioma
TPM1:63061198-63061273_63060868-63060939_63061712-63061788	Diffuse intrinsic pontine glioma
TJP1:29719777-29720016_29718265-29719138_29720357-29720708	Diffuse intrinsic pontine glioma
UBFD1:23566987-23567069_23562624-23562730_23570479-23570575	Diffuse intrinsic pontine glioma
STARD3:39658709-39658820_39658404-39658522_39659050-39659106	Diffuse intrinsic pontine glioma
STARD3:39658722-39658820_39657972-39658522_39659050-39659106	Diffuse intrinsic pontine glioma
SP2-DT:47893905-47893958_47891228-47891581_47895702-47895796	Diffuse intrinsic pontine glioma
C1orf162:111477726-111477775_111477333-111477428_111477982-111478512	Diffuse intrinsic pontine glioma
EPS15L1:16377122-16377254_16355246-16355851_16385128-16385211	Diffuse intrinsic pontine glioma
PRDM2:13778418-13782831_13773077-13773188_13816426-13816570	Diffuse intrinsic pontine glioma
CYP20A1:203246755-203246921_203245845-203245895_203251966-203252109	Diffuse intrinsic pontine glioma
CFAP300:102066485-102066651_102058879-102058955_102075872-102076045	Diffuse intrinsic pontine glioma
TMEM62:43146493-43146634_43135511-43135649_43148754-43148788	Diffuse intrinsic pontine glioma
STXBP4:54990825-54990957_54986141-54986266_54999344-54999451	Diffuse intrinsic pontine glioma
PGS1:78414952-78415027_78403567-78404089_78419545-78419596	Diffuse intrinsic pontine glioma
ADK:74600379-74600493_74589281-74589317_74670182-74670269	Diffuse intrinsic pontine glioma
LSAMP:115816614-115816646_115809793-115810414_115834561-115834597	Diffuse intrinsic pontine glioma
PPIA:44799392-44799480_44796978-44799277_44799701-44799874	Diffuse intrinsic pontine glioma
BOD1:173613131-173613255_173607520-173608292_173616199-173616588	Diffuse intrinsic pontine glioma
CKLF-CMTM1:66563122-66563217_66552648-66552793_66577103-66577202	Diffuse intrinsic pontine glioma
PCM1:17980591-17980755_17972328-17972687_17983232-17983289	Diffuse intrinsic pontine glioma
RGS5:163319182-163319291_163306232-163306329_163321621-163321704	Diffuse intrinsic pontine glioma
MAGI2:78135021-78135206_78132888-78133060_78160024-78160273	Diffuse intrinsic pontine glioma
CEP70:138572859-138572914_138571265-138571356_138591853-138591956	Diffuse intrinsic pontine glioma
CEP70:138572859-138572932_138571265-138571356_138591853-138591956	Diffuse intrinsic pontine glioma
CEP70:138572859-138572984_138571265-138571356_138591853-138591956	Diffuse intrinsic pontine glioma
NCOA6:34740363-34743341_34736689-34736758_34746806-34746928	Diffuse intrinsic pontine glioma
PRIMPOL:184661774-184661903_184659339-184659437_184665916-184666064	Diffuse intrinsic pontine glioma
WSB1:27301788-27301956_27294092-27294435_27304779-27304911	Diffuse intrinsic pontine glioma
DEF8:89954289-89954376_89948754-89948814_89955168-89955266	Diffuse intrinsic pontine glioma
NCAN:19227281-19228639_19226485-19227073_19233788-19233905	Diffuse intrinsic pontine glioma
SMOC1:69992417-69992473_69977917-69977965_70010753-70010946	Diffuse intrinsic pontine glioma
TIA1:70236079-70236175_70230755-70230854_70248404-70248454	Diffuse intrinsic pontine glioma
PRUNE1:151017812-151017904_151008419-151008671_151024610-151024795	Diffuse intrinsic pontine glioma
RP9P:32918311-32918372_32916814-32917542_32921338-32921430	Diffuse intrinsic pontine glioma
PEX19:160283530-160283639_160282943-160283109_160285054-160285096	Diffuse intrinsic pontine glioma
METTL25B:156734009-156734052_156733376-156733520_156735724-156735800	Diffuse intrinsic pontine glioma
ACTR10:58219694-58219729_58215204-58215284_58223621-58223701	Diffuse intrinsic pontine glioma
ZNF35:44652557-44652701_44650940-44651259_44658700-44658765	Diffuse intrinsic pontine glioma
TRPT1:64224801-64224970_64224542-64224717_64225498-64225580	Diffuse intrinsic pontine glioma
COPS3:17270758-17270807_17267884-17267977_17270895-17270976	Diffuse intrinsic pontine glioma
NUDT22:64229247-64229344_64227567-64227666_64229477-64229539	Diffuse intrinsic pontine glioma
ATRX:77693824-77693937_77688817-77688924_77696576-77696704	Diffuse intrinsic pontine glioma
TRAPPC6A:45165127-45165194_45164724-45164970_45178134-45178237	Diffuse intrinsic pontine glioma
MIA3:222658722-222658823_222654654-222654793_222659452-222659513	Diffuse intrinsic pontine glioma
HERPUD2:35670215-35670328_35667433-35667588_35694183-35694566	Diffuse intrinsic pontine glioma
DYNLT1:158641319-158641360_158637219-158637894_158644681-158644738	Diffuse intrinsic pontine glioma
GTF2I:74718879-74718941_74716611-74716950_74728785-74728896	Diffuse intrinsic pontine glioma
SNHG5:85677954-85678032_85677008-85677492_85678135-85678188	Diffuse intrinsic pontine glioma
SMARCD1:50096850-50096972_50094436-50094572_50098713-50098815	Diffuse intrinsic pontine glioma
SEC22B:120168840-120168949_120163209-120163370_120176306-120176520	Diffuse intrinsic pontine glioma
PSMD9:121894739-121894841_121888731-121888994_121903005-121903107	Diffuse intrinsic pontine glioma
DCTN6:30175085-30175190_30164110-30164175_30177125-30177214	Diffuse intrinsic pontine glioma
ENSG00000287856:231370562-231370698_231367568-231367636_231373979-231374099	Diffuse intrinsic pontine glioma
PEF1:31635222-31635522_31633158-31633314_31644840-31644876	Diffuse intrinsic pontine glioma
ECHDC1:127316450-127316502_127314815-127314896_127327001-127327137	Diffuse intrinsic pontine glioma
ACADM:75728389-75728488_75724779-75724817_75732643-75732741	Diffuse intrinsic pontine glioma
DENND4C:19336686-19336832_19336269-19336414_19340991-19341114	Diffuse intrinsic pontine glioma
PRRC2C:171587648-171587751_171587002-171587221_171588378-171588505	Diffuse intrinsic pontine glioma
APTX:32988083-32988124_32987543-32987731_32989758-32989895	Diffuse intrinsic pontine glioma
FGFR2:121564502-121564579_121551289-121551459_121593708-121593967	Diffuse intrinsic pontine glioma
PSMD13:244041-244075_238997-239076_244160-244216	Diffuse intrinsic pontine glioma
RNH1:504824-504888_502061-502249_506608-506759	Diffuse intrinsic pontine glioma
RNH1:504824-504996_502061-502249_507112-507195	Diffuse intrinsic pontine glioma
PSMA4:78542576-78542645_78542176-78542219_78544189-78544267	Diffuse intrinsic pontine glioma
TRPT1:64225786-64225869_64224800-64225580_64226049-64226148	Diffuse intrinsic pontine glioma
CEP295:93702776-93702919_93702459-93702637_93706744-93706897	Diffuse intrinsic pontine glioma
PKNOX2:125385551-125385722_125367845-125367985_125397873-125398062	Diffuse intrinsic pontine glioma
FOXRED1:126274927-126275021_126271997-126273454_126275326-126275428	Diffuse intrinsic pontine glioma
PFDN5:53295839-53295941_53295290-53295639_53296429-53296467	Diffuse intrinsic pontine glioma
PTK2:140925661-140925749_140890542-140890769_141001124-141001158	Diffuse intrinsic pontine glioma
PCNP:101590215-101590270_101585436-101585511_101592626-101592771	Diffuse intrinsic pontine glioma
